"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"SDGODA","PUBLISHED","2014","EMR","AFG","8.26","8.25927","","",""
"SDGODA","PUBLISHED","2014","AFR","AGO","1.94","1.94118","","",""
"SDGODA","PUBLISHED","2014","EUR","ALB","0.76","0.75787","","",""
"SDGODA","PUBLISHED","2014","AMR","ARG","0.02","0.01745","","",""
"SDGODA","PUBLISHED","2014","EUR","ARM","2.03","2.02917","","",""
"SDGODA","PUBLISHED","2014","EUR","AZE","0.88","0.87852","","",""
"SDGODA","PUBLISHED","2014","AFR","BDI","4.27","4.26556","","",""
"SDGODA","PUBLISHED","2014","AFR","BEN","6.23","6.22825","","",""
"SDGODA","PUBLISHED","2014","AFR","BFA","4.88","4.87743","","",""
"SDGODA","PUBLISHED","2014","SEAR","BGD","1.02","1.01749","","",""
"SDGODA","PUBLISHED","2014","EUR","BIH","3.06","3.05955","","",""
"SDGODA","PUBLISHED","2014","EUR","BLR","0.63","0.63155","","",""
"SDGODA","PUBLISHED","2014","AMR","BLZ","3.3","3.29821","","",""
"SDGODA","PUBLISHED","2014","AMR","BOL","1.69","1.69004","","",""
"SDGODA","PUBLISHED","2014","AMR","BRA","0.01","0.01068","","",""
"SDGODA","PUBLISHED","2014","SEAR","BTN","4.55","4.54897","","",""
"SDGODA","PUBLISHED","2014","AFR","BWA","1.75","1.75230","","",""
"SDGODA","PUBLISHED","2014","AFR","CAF","8.43","8.42576","","",""
"SDGODA","PUBLISHED","2014","AMR","CHL","0.03","0.02590","","",""
"SDGODA","PUBLISHED","2014","WPR","CHN","0.06","0.05904","","",""
"SDGODA","PUBLISHED","2014","AFR","CIV","3.64","3.64488","","",""
"SDGODA","PUBLISHED","2014","AFR","CMR","3.23","3.23453","","",""
"SDGODA","PUBLISHED","2014","AFR","COD","6.18","6.17933","","",""
"SDGODA","PUBLISHED","2014","AFR","COG","1.38","1.38292","","",""
"SDGODA","PUBLISHED","2014","WPR","COK","2.9","2.89513","","",""
"SDGODA","PUBLISHED","2014","AMR","COL","0.20","0.20485","","",""
"SDGODA","PUBLISHED","2014","AFR","COM","6.03","6.02604","","",""
"SDGODA","PUBLISHED","2014","AFR","CPV","3.81","3.81393","","",""
"SDGODA","PUBLISHED","2014","AMR","CRI","0.09","0.08618","","",""
"SDGODA","PUBLISHED","2014","AMR","CUB","0.29","0.29352","","",""
"SDGODA","PUBLISHED","2014","EMR","DJI","4.87","4.87346","","",""
"SDGODA","PUBLISHED","2014","AMR","DOM","0.58","0.58332","","",""
"SDGODA","PUBLISHED","2014","AFR","DZA","<0.01","0.00488","","",""
"SDGODA","PUBLISHED","2014","AMR","ECU","0.44","0.44269","","",""
"SDGODA","PUBLISHED","2014","EMR","EGY","0.08","0.07971","","",""
"SDGODA","PUBLISHED","2014","AFR","ERI","3.1","3.09758","","",""
"SDGODA","PUBLISHED","2014","AFR","ETH","4.67","4.67333","","",""
"SDGODA","PUBLISHED","2014","WPR","FJI","12.04","12.03678","","",""
"SDGODA","PUBLISHED","2014","WPR","FSM","4.13","4.13287","","",""
"SDGODA","PUBLISHED","2014","AFR","GAB","1.38","1.38060","","",""
"SDGODA","PUBLISHED","2014","EUR","GEO","1.91","1.90841","","",""
"SDGODA","PUBLISHED","2014","AFR","GHA","4.98","4.98458","","",""
"SDGODA","PUBLISHED","2014","AFR","GIN","8.35","8.34506","","",""
"SDGODA","PUBLISHED","2014","AFR","GMB","11.44","11.44072","","",""
"SDGODA","PUBLISHED","2014","AFR","GNB","6.70","6.70365","","",""
"SDGODA","PUBLISHED","2014","AFR","GNQ","0.86","0.86492","","",""
"SDGODA","PUBLISHED","2014","AMR","GTM","1.65","1.65090","","",""
"SDGODA","PUBLISHED","2014","AMR","GUY","1.51","1.50545","","",""
"SDGODA","PUBLISHED","2014","AMR","HND","3.66","3.65626","","",""
"SDGODA","PUBLISHED","2014","AMR","HTI","4.34","4.33975","","",""
"SDGODA","PUBLISHED","2014","SEAR","IDN","0.32","0.31566","","",""
"SDGODA","PUBLISHED","2014","SEAR","IND","0.20","0.20209","","",""
"SDGODA","PUBLISHED","2014","EMR","IRN","0.06","0.05746","","",""
"SDGODA","PUBLISHED","2014","EMR","IRQ","0.34","0.33822","","",""
"SDGODA","PUBLISHED","2014","AMR","JAM","0.03","0.02874","","",""
