"GHO","PUBLISHSTATE","YEAR","REGION","UNREGION","COUNTRY","RESIDENCEAREATYPE","Display Value","Numeric","Low","High","Comments"
"SDGPM25","PUBLISHED","2016","GLOBAL","1","","TOTL","38","38.49307","","",""
"SDGPM25","PUBLISHED","2016","","53","","TOTL","7","6.95064","","",""
"SDGPM25","PUBLISHED","2016","","135","","TOTL","22","22.15817","","",""
"SDGPM25","PUBLISHED","2016","","143","","TOTL","22","22.41487","","",""
"SDGPM25","PUBLISHED","2016","","62","","TOTL","60","60.44708","","",""
"SDGPM25","PUBLISHED","2016","","514","","TOTL","11","11.45667","","",""
"SDGPM25","PUBLISHED","2016","","515","","TOTL","44","44.04279","","",""
"SDGPM25","PUBLISHED","2016","","30","","TOTL","45","45.09899","","",""
"SDGPM25","PUBLISHED","2016","","753","","TOTL","38","38.30267","","",""
"SDGPM25","PUBLISHED","2016","","518","","TOTL","48","47.98321","","",""
"SDGPM25","PUBLISHED","2016","","150","","TOTL","14","13.54623","","",""
"SDGPM25","PUBLISHED","2016","","419","","TOTL","16","15.79690","","",""
"SDGPM25","PUBLISHED","2016","","15","","TOTL","55","55.44453","","",""
"SDGPM25","PUBLISHED","2016","","746","","TOTL","57","57.01814","","",""
"SDGPM25","PUBLISHED","2016","","21","","TOTL","7","7.30244","","",""
"SDGPM25","PUBLISHED","2016","","513","","TOTL","12","11.51065","","",""
"SDGPM25","PUBLISHED","2016","","9","","TOTL","8","7.97570","","",""
"SDGPM25","PUBLISHED","2016","","543","","TOTL","11","10.78835","","",""
"SDGPM25","PUBLISHED","2016","","35","","TOTL","21","21.16454","","",""
"SDGPM25","PUBLISHED","2016","","34","","TOTL","62","61.88467","","",""
"SDGPM25","PUBLISHED","2016","","202","","TOTL","36","36.05705","","",""
"SDGPM25","PUBLISHED","2016","","738","","TOTL","37","36.51104","","",""
"SDGPM25","PUBLISHED","2016","","485","","TOTL","50","49.81080","","",""
"SDGPM25","PUBLISHED","2016","","145","","TOTL","47","46.85310","","",""
"SDGPM25","PUBLISHED","2016","","747","","TOTL","51","50.89035","","",""
"SDGPM25","PUBLISHED","2016","EMR","","AFG","RUR","48.7 [36.5-74.6]","48.71392","36.47919","74.62679",""
"SDGPM25","PUBLISHED","2016","AFR","","AGO","RUR","27.7 [16.3-53.8]","27.74770","16.31774","53.76492",""
"SDGPM25","PUBLISHED","2016","EUR","","ALB","RUR","16.9 [15.3-19.4]","16.88028","15.31547","19.40864",""
"SDGPM25","PUBLISHED","2016","EUR","","AND","RUR","9.1 [7.6-10.9]","9.07593","7.56873","10.90937",""
"SDGPM25","PUBLISHED","2016","EMR","","ARE","RUR","40.2 [29.9-57.1]","40.21803","29.91524","57.06538",""
"SDGPM25","PUBLISHED","2016","AMR","","ARG","RUR","12.3 [9.4-21.6]","12.26857","9.39806","21.58367",""
"SDGPM25","PUBLISHED","2016","EUR","","ARM","RUR","23.7 [16.4-33.0]","23.71152","16.44502","33.00434",""
"SDGPM25","PUBLISHED","2016","AMR","","ATG","RUR","14.9 [8.2-28.1]","14.90251","8.17409","28.09048",""
"SDGPM25","PUBLISHED","2016","WPR","","AUS","RUR","6.1 [6.0-7.8]","6.07386","5.97538","7.77948",""
"SDGPM25","PUBLISHED","2016","EUR","","AUT","RUR","10.9 [10.6-11.4]","10.91353","10.63305","11.41680",""
