"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"SDGPOLLUTINGFUELS","PUBLISHED","2018","EMR","AFG","37","37.00000","","",""
"SDGPOLLUTINGFUELS","PUBLISHED","2017","EMR","AFG","34","34.00000","","",""
"SDGPOLLUTINGFUELS","PUBLISHED","2016","EMR","AFG","31","31.00000","","",""
"SDGPOLLUTINGFUELS","PUBLISHED","2015","EMR","AFG","29","29.00000","","",""
"SDGPOLLUTINGFUELS","PUBLISHED","2014","EMR","AFG","27","27.00000","","",""
"SDGPOLLUTINGFUELS","PUBLISHED","2013","EMR","AFG","25","25.00000","","",""
"SDGPOLLUTINGFUELS","PUBLISHED","2012","EMR","AFG","23","23.00000","","",""
"SDGPOLLUTINGFUELS","PUBLISHED","2011","EMR","AFG","22","22.00000","","",""
"SDGPOLLUTINGFUELS","PUBLISHED","2010","EMR","AFG","20","20.00000","","",""
"SDGPOLLUTINGFUELS","PUBLISHED","2009","EMR","AFG","19","19.00000","","",""
"SDGPOLLUTINGFUELS","PUBLISHED","2008","EMR","AFG","18","18.00000","","",""
"SDGPOLLUTINGFUELS","PUBLISHED","2007","EMR","AFG","16","16.00000","","",""
"SDGPOLLUTINGFUELS","PUBLISHED","2006","EMR","AFG","15","15.00000","","",""
"SDGPOLLUTINGFUELS","PUBLISHED","2005","EMR","AFG","14","14.00000","","",""
"SDGPOLLUTINGFUELS","PUBLISHED","2004","EMR","AFG","14","14.00000","","",""
"SDGPOLLUTINGFUELS","PUBLISHED","2003","EMR","AFG","13","13.00000","","",""
"SDGPOLLUTINGFUELS","PUBLISHED","2002","EMR","AFG","12","12.00000","","",""
"SDGPOLLUTINGFUELS","PUBLISHED","2001","EMR","AFG","11","11.00000","","",""
"SDGPOLLUTINGFUELS","PUBLISHED","2000","EMR","AFG","11","11.00000","","",""
"SDGPOLLUTINGFUELS","PUBLISHED","2018","AFR","AGO","48","48.00000","","",""
"SDGPOLLUTINGFUELS","PUBLISHED","2017","AFR","AGO","48","48.00000","","",""
"SDGPOLLUTINGFUELS","PUBLISHED","2016","AFR","AGO","48","48.00000","","",""
"SDGPOLLUTINGFUELS","PUBLISHED","2015","AFR","AGO","48","48.00000","","",""
"SDGPOLLUTINGFUELS","PUBLISHED","2014","AFR","AGO","47","47.00000","","",""
"SDGPOLLUTINGFUELS","PUBLISHED","2013","AFR","AGO","47","47.00000","","",""
"SDGPOLLUTINGFUELS","PUBLISHED","2012","AFR","AGO","47","47.00000","","",""
"SDGPOLLUTINGFUELS","PUBLISHED","2011","AFR","AGO","47","47.00000","","",""
"SDGPOLLUTINGFUELS","PUBLISHED","2010","AFR","AGO","47","47.00000","","",""
