"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"SE_PRM_PRSL_ZS","PUBLISHED","2000","EUR","ALB","MLE","86.1","86.11458","","",""
"SE_PRM_PRSL_ZS","PUBLISHED","2010","EUR","ALB","MLE","97.8","97.83780","","",""
"SE_PRM_PRSL_ZS","PUBLISHED","2011","EUR","ALB","MLE","98.5","98.46882","","",""
"SE_PRM_PRSL_ZS","PUBLISHED","2012","EUR","ALB","MLE","97.6","97.61909","","",""
"SE_PRM_PRSL_ZS","PUBLISHED","2013","EUR","ALB","MLE","98.3","98.32625","","",""
"SE_PRM_PRSL_ZS","PUBLISHED","2014","EUR","ALB","MLE","95.1","95.12022","","",""
"SE_PRM_PRSL_ZS","PUBLISHED","2015","EUR","ALB","MLE","88.7","88.65686","","",""
"SE_PRM_PRSL_ZS","PUBLISHED","2016","EUR","ALB","MLE","92.7","92.73267","","",""
"SE_PRM_PRSL_ZS","PUBLISHED","2017","EUR","ALB","MLE","91.6","91.63765","","",""
"SE_PRM_PRSL_ZS","PUBLISHED","1990","AFR","DZA","MLE","92.2","92.22591","","",""
"SE_PRM_PRSL_ZS","PUBLISHED","2000","AFR","DZA","MLE","93.8","93.75427","","",""
"SE_PRM_PRSL_ZS","PUBLISHED","2010","AFR","DZA","MLE","94.0","94.01055","","",""
"SE_PRM_PRSL_ZS","PUBLISHED","2011","AFR","DZA","MLE","91.1","91.11802","","",""
"SE_PRM_PRSL_ZS","PUBLISHED","2012","AFR","DZA","MLE","94.8","94.84868","","",""
"SE_PRM_PRSL_ZS","PUBLISHED","2013","AFR","DZA","MLE","92.3","92.34756","","",""
"SE_PRM_PRSL_ZS","PUBLISHED","2014","AFR","DZA","MLE","93.0","93.01003","","",""
"SE_PRM_PRSL_ZS","PUBLISHED","2015","AFR","DZA","MLE","93.2","93.15712","","",""
"SE_PRM_PRSL_ZS","PUBLISHED","2016","AFR","DZA","MLE","93.8","93.78279","","",""
"SE_PRM_PRSL_ZS","PUBLISHED","2017","AFR","DZA","MLE","95.3","95.33046","","",""
"SE_PRM_PRSL_ZS","PUBLISHED","2013","EUR","AND","MLE","71.0","70.97962","","",""
"SE_PRM_PRSL_ZS","PUBLISHED","2016","EUR","AND","MLE","68.6","68.55610","","",""
"SE_PRM_PRSL_ZS","PUBLISHED","2000","AMR","ARG","MLE","91.2","91.17385","","",""
"SE_PRM_PRSL_ZS","PUBLISHED","2010","AMR","ARG","MLE","93.1","93.11933","","",""
"SE_PRM_PRSL_ZS","PUBLISHED","2011","AMR","ARG","MLE","97.4","97.42997","","",""
"SE_PRM_PRSL_ZS","PUBLISHED","2012","AMR","ARG","MLE","94.9","94.94988","","",""
"SE_PRM_PRSL_ZS","PUBLISHED","2013","AMR","ARG","MLE","95.8","95.80351","","",""
"SE_PRM_PRSL_ZS","PUBLISHED","2014","AMR","ARG","MLE","95.0","95.03454","","",""
"SE_PRM_PRSL_ZS","PUBLISHED","2015","AMR","ARG","MLE","97.1","97.06070","","",""
"SE_PRM_PRSL_ZS","PUBLISHED","2016","AMR","ARG","MLE","93.8","93.82600","","",""
"SE_PRM_PRSL_ZS","PUBLISHED","2010","EUR","ARM","MLE","96.0","95.98674","","",""
"SE_PRM_PRSL_ZS","PUBLISHED","2011","EUR","ARM","MLE","94.2","94.20866","","",""
"SE_PRM_PRSL_ZS","PUBLISHED","2013","EUR","ARM","MLE","90.0","90.03804","","",""
"SE_PRM_PRSL_ZS","PUBLISHED","2014","EUR","ARM","MLE","99.9","99.91310","","",""
"SE_PRM_PRSL_ZS","PUBLISHED","2015","EUR","ARM","MLE","94.9","94.88903","","",""
"SE_PRM_PRSL_ZS","PUBLISHED","2016","EUR","ARM","MLE","94.1","94.07715","","",""
"SE_PRM_PRSL_ZS","PUBLISHED","2017","EUR","ARM","MLE","95.2","95.16528","","",""
"SE_PRM_PRSL_ZS","PUBLISHED","2010","EUR","AUT","MLE","98.9","98.85854","","",""
"SE_PRM_PRSL_ZS","PUBLISHED","2011","EUR","AUT","MLE","99.5","99.49004","","",""
