"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"SE_PRM_RDNG","PUBLISHED","2013","EMR","AFG","BTSX","55","55.00000","","",""
"SE_PRM_RDNG","PUBLISHED","2014","EUR","ALB","BTSX","87","86.96000","","",""
"SE_PRM_RDNG","PUBLISHED","2016","EUR","ALB","BTSX","95.1","95.10000","","",""
"SE_PRM_RDNG","PUBLISHED","2013","AMR","ARG","BTSX","82.9","82.91979","","",""
"SE_PRM_RDNG","PUBLISHED","2013","AMR","ARG","FMLE","85.7","85.65000","","",""
"SE_PRM_RDNG","PUBLISHED","2013","AMR","ARG","MLE","80.2","80.22000","","",""
"SE_PRM_RDNG","PUBLISHED","2016","AMR","ARG","BTSX","66.8","66.80000","","",""
"SE_PRM_RDNG","PUBLISHED","2016","AMR","ARG","FMLE","70.5","70.50000","","",""
"SE_PRM_RDNG","PUBLISHED","2016","AMR","ARG","MLE","63.6","63.60000","","",""
"SE_PRM_RDNG","PUBLISHED","2015","AMR","ATG","BTSX","50","50.00000","","",""
"SE_PRM_RDNG","PUBLISHED","2015","AMR","ATG","FMLE","60","60.00000","","",""
"SE_PRM_RDNG","PUBLISHED","2015","AMR","ATG","MLE","40","40.00000","","",""
"SE_PRM_RDNG","PUBLISHED","2015","WPR","AUS","BTSX","95.4","95.40000","","",""
"SE_PRM_RDNG","PUBLISHED","2015","WPR","AUS","FMLE","96.7","96.70000","","",""
"SE_PRM_RDNG","PUBLISHED","2015","WPR","AUS","MLE","94.2","94.20000","","",""
"SE_PRM_RDNG","PUBLISHED","2016","WPR","AUS","BTSX","94.5","94.50000","","",""
"SE_PRM_RDNG","PUBLISHED","2016","WPR","AUS","FMLE","95.9","95.90000","","",""
"SE_PRM_RDNG","PUBLISHED","2016","WPR","AUS","MLE","93.2","93.20000","","",""
"SE_PRM_RDNG","PUBLISHED","2017","WPR","AUS","BTSX","94","94.00000","","",""
"SE_PRM_RDNG","PUBLISHED","2017","WPR","AUS","FMLE","95.9","95.90000","","",""
"SE_PRM_RDNG","PUBLISHED","2017","WPR","AUS","MLE","92.2","92.20000","","",""
"SE_PRM_RDNG","PUBLISHED","2015","EUR","AUT","BTSX","87","87.00000","","",""
"SE_PRM_RDNG","PUBLISHED","2015","EUR","AUT","FMLE","91","91.00000","","",""
"SE_PRM_RDNG","PUBLISHED","2015","EUR","AUT","MLE","84","84.00000","","",""
"SE_PRM_RDNG","PUBLISHED","2014","AFR","BDI","BTSX","56.5","56.46780","","",""
"SE_PRM_RDNG","PUBLISHED","2014","AFR","BDI","FMLE","62.6","62.65000","","",""
"SE_PRM_RDNG","PUBLISHED","2014","AFR","BDI","MLE","51.4","51.37000","","",""
"SE_PRM_RDNG","PUBLISHED","2014","AFR","BEN","BTSX","51.7","51.71392","","",""
"SE_PRM_RDNG","PUBLISHED","2014","AFR","BEN","FMLE","51.1","51.07000","","",""
"SE_PRM_RDNG","PUBLISHED","2014","AFR","BEN","MLE","52.4","52.43000","","",""
"SE_PRM_RDNG","PUBLISHED","2014","AFR","BFA","BTSX","56.9","56.94248","","",""
"SE_PRM_RDNG","PUBLISHED","2014","AFR","BFA","FMLE","55.9","55.91000","","",""
"SE_PRM_RDNG","PUBLISHED","2014","AFR","BFA","MLE","58","58.01000","","",""
"SE_PRM_RDNG","PUBLISHED","2013","SEAR","BGD","BTSX","97","97.00000","","",""
"SE_PRM_RDNG","PUBLISHED","2013","SEAR","BGD","FMLE","97","97.00000","","",""
"SE_PRM_RDNG","PUBLISHED","2013","SEAR","BGD","MLE","96","96.00000","","",""
"SE_PRM_RDNG","PUBLISHED","2015","SEAR","BGD","BTSX","91","91.00000","","",""
"SE_PRM_RDNG","PUBLISHED","2015","SEAR","BGD","FMLE","91","91.00000","","",""
"SE_PRM_RDNG","PUBLISHED","2015","SEAR","BGD","MLE","90","90.00000","","",""
"SE_PRM_RDNG","PUBLISHED","2013","AMR","BRA","BTSX","88.6","88.61967","","",""
"SE_PRM_RDNG","PUBLISHED","2013","AMR","BRA","FMLE","90.2","90.20000","","",""
"SE_PRM_RDNG","PUBLISHED","2013","AMR","BRA","MLE","86.9","86.88000","","",""
"SE_PRM_RDNG","PUBLISHED","2015","AMR","BRA","BTSX","96.6","96.57000","","",""
"SE_PRM_RDNG","PUBLISHED","2014","AMR","BRB","BTSX","86","86.00000","","",""
"SE_PRM_RDNG","PUBLISHED","2016","AMR","BRB","BTSX","87","87.00000","","",""
"SE_PRM_RDNG","PUBLISHED","2015","AFR","BWA","BTSX","63.2","63.20000","","",""
"SE_PRM_RDNG","PUBLISHED","2016","AFR","BWA","BTSX","65.6","65.60000","","",""
"SE_PRM_RDNG","PUBLISHED","2017","AFR","BWA","BTSX","66.2","66.15000","","",""
"SE_PRM_RDNG","PUBLISHED","2013","AMR","CHL","BTSX","93.8","93.81576","","",""
"SE_PRM_RDNG","PUBLISHED","2013","AMR","CHL","FMLE","95.1","95.07000","","",""
"SE_PRM_RDNG","PUBLISHED","2013","AMR","CHL","MLE","92.7","92.67000","","",""
