"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"SG_DMK_SRCR_FN_ZS","PUBLISHED","2009","EUR","ALB","FMLE","61.5","61.50000","","","""DHS 2008-2009. UNFPA Global Database, 2018."""
"SG_DMK_SRCR_FN_ZS","PUBLISHED","2010","EUR","ARM","FMLE","64.3","64.30000","","","""DHS 2010. UNFPA Global Database, 2018."""
"SG_DMK_SRCR_FN_ZS","PUBLISHED","2016","EUR","ARM","FMLE","66.0","66.00000","","","""DHS 2015-2016. UNFPA Global Database, 2018."""
"SG_DMK_SRCR_FN_ZS","PUBLISHED","2006","AFR","BEN","FMLE","41.1","41.10000","","","""DHS 2006. UNFPA Global Database, 2018."""
"SG_DMK_SRCR_FN_ZS","PUBLISHED","2012","AFR","BEN","FMLE","38.2","38.20000","","","""DHS 2011-2012. UNFPA Global Database, 2018."""
"SG_DMK_SRCR_FN_ZS","PUBLISHED","2010","AFR","BFA","FMLE","20.3","20.30000","","","""DHS 2010. UNFPA Global Database, 2018."""
"SG_DMK_SRCR_FN_ZS","PUBLISHED","2010","AFR","BDI","FMLE","49.0","49.00000","","","""DHS 2010. UNFPA Global Database, 2018."""
"SG_DMK_SRCR_FN_ZS","PUBLISHED","2010","WPR","KHM","FMLE","74.6","74.60000","","","""DHS 2010. UNFPA Global Database, 2018."""
"SG_DMK_SRCR_FN_ZS","PUBLISHED","2014","WPR","KHM","FMLE","75.6","75.60000","","","""DHS 2014. UNFPA Global Database, 2018."""
"SG_DMK_SRCR_FN_ZS","PUBLISHED","2011","AFR","CMR","FMLE","38.1","38.10000","","","""DHS 2011. UNFPA Global Database, 2018."""
"SG_DMK_SRCR_FN_ZS","PUBLISHED","2011","AFR","ETH","FMLE","53.4","53.40000","","","""DHS 2011. UNFPA Global Database, 2018."""
"SG_DMK_SRCR_FN_ZS","PUBLISHED","2016","AFR","ETH","FMLE","45.2","45.20000","","","""DHS 2016. UNFPA Global Database, 2018."""
"SG_DMK_SRCR_FN_ZS","PUBLISHED","2015","AFR","TCD","FMLE","27.1","27.10000","","","""DHS 2014-2015. UNFPA Global Database, 2018."""
"SG_DMK_SRCR_FN_ZS","PUBLISHED","2012","AFR","GAB","FMLE","48.0","48.00000","","","""DHS 2012. UNFPA Global Database, 2018."""
"SG_DMK_SRCR_FN_ZS","PUBLISHED","2013","AFR","GMB","FMLE","40.5","40.50000","","","""DHS 2013. UNFPA Global Database, 2018."""
"SG_DMK_SRCR_FN_ZS","PUBLISHED","2012","AFR","COM","FMLE","20.8","20.80000","","","""DHS 2012. UNFPA Global Database, 2018."""
"SG_DMK_SRCR_FN_ZS","PUBLISHED","2012","AFR","COG","FMLE","26.8","26.80000","","","""DHS 2011-2012. UNFPA Global Database, 2018."""
"SG_DMK_SRCR_FN_ZS","PUBLISHED","2012","AFR","CIV","FMLE","25.2","25.20000","","","""DHS 2011-2012. UNFPA Global Database, 2018."""
"SG_DMK_SRCR_FN_ZS","PUBLISHED","2007","AFR","COD","FMLE","19.3","19.30000","","","""DHS 2007. UNFPA Global Database, 2018."""
"SG_DMK_SRCR_FN_ZS","PUBLISHED","2014","AFR","COD","FMLE","30.7","30.70000","","","""DHS 2013-2014. UNFPA Global Database, 2018."""
"SG_DMK_SRCR_FN_ZS","PUBLISHED","2007","AMR","DOM","FMLE","77.0","77.00000","","","""DHS 2007. UNFPA Global Database, 2018."""
"SG_DMK_SRCR_FN_ZS","PUBLISHED","2007","AFR","SWZ","FMLE","48.9","48.90000","","","""DHS 2006-2007. UNFPA Global Database, 2018."""
"SG_DMK_SRCR_FN_ZS","PUBLISHED","2011","AFR","ZWE","FMLE","58.8","58.80000","","","""DHS 2010-2011. UNFPA Global Database, 2018."""
"SG_DMK_SRCR_FN_ZS","PUBLISHED","2015","AFR","ZWE","FMLE","59.9","59.90000","","","""DHS 2015. UNFPA Global Database, 2018."""
"SG_DMK_SRCR_FN_ZS","PUBLISHED","2008","AFR","GHA","FMLE","54.1","54.10000","","","""DHS 2008. UNFPA Global Database, 2018."""
"SG_DMK_SRCR_FN_ZS","PUBLISHED","2014","AFR","GHA","FMLE","52.0","52.00000","","","""DHS 2014. UNFPA Global Database, 2018."""
"SG_DMK_SRCR_FN_ZS","PUBLISHED","2015","AMR","GTM","FMLE","64.8","64.80000","","","""DHS 2014-2015. UNFPA Global Database, 2018."""
"SG_DMK_SRCR_FN_ZS","PUBLISHED","2012","AFR","GIN","FMLE","22.7","22.70000","","","""DHS 2012. UNFPA Global Database, 2018."""
"SG_DMK_SRCR_FN_ZS","PUBLISHED","2009","AMR","GUY","FMLE","71.3","71.30000","","","""DHS 2009. UNFPA Global Database, 2018."""
"SG_DMK_SRCR_FN_ZS","PUBLISHED","2006","AMR","HTI","FMLE","53.6","53.60000","","","""DHS 2006. UNFPA Global Database, 2018."""
"SG_DMK_SRCR_FN_ZS","PUBLISHED","2012","AMR","HTI","FMLE","56.3","56.30000","","","""DHS 2012. UNFPA Global Database, 2018."""
"SG_DMK_SRCR_FN_ZS","PUBLISHED","2012","AMR","HND","FMLE","70.3","70.30000","","","""DHS 2011-2012. UNFPA Global Database, 2018."""
"SG_DMK_SRCR_FN_ZS","PUBLISHED","2012","EMR","JOR","FMLE","72.6","72.60000","","","""DHS 2012. UNFPA Global Database, 2018."""
"SG_DMK_SRCR_FN_ZS","PUBLISHED","2014","AFR","KEN","FMLE","56.0","56.00000","","","""DHS 2014. UNFPA Global Database, 2018."""
"SG_DMK_SRCR_FN_ZS","PUBLISHED","2012","EUR","KGZ","FMLE","76.6","76.60000","","","""DHS 2012. UNFPA Global Database, 2018."""
"SG_DMK_SRCR_FN_ZS","PUBLISHED","2014","AFR","LSO","FMLE","60.9","60.90000","","","""DHS 2014. UNFPA Global Database, 2018."""
"SG_DMK_SRCR_FN_ZS","PUBLISHED","2013","AFR","LBR","FMLE","67.2","67.20000","","","""DHS 2013. UNFPA Global Database, 2018."""
"SG_DMK_SRCR_FN_ZS","PUBLISHED","2009","AFR","MDG","FMLE","73.6","73.60000","","","""DHS 2008-2009. UNFPA Global Database, 2018."""
"SG_DMK_SRCR_FN_ZS","PUBLISHED","2010","AFR","MWI","FMLE","42.2","42.20000","","","""DHS 2010. UNFPA Global Database, 2018."""
"SG_DMK_SRCR_FN_ZS","PUBLISHED","2016","AFR","MWI","FMLE","46.7","46.70000","","","""DHS 2015-2016. UNFPA Global Database, 2018."""
"SG_DMK_SRCR_FN_ZS","PUBLISHED","2006","AFR","MLI","FMLE","9.6","9.60000","","","""DHS 2006. UNFPA Global Database, 2018."""
"SG_DMK_SRCR_FN_ZS","PUBLISHED","2013","AFR","MLI","FMLE","6.5","6.50000","","","""DHS 2012-2013. UNFPA Global Database, 2018."""
"SG_DMK_SRCR_FN_ZS","PUBLISHED","2011","AFR","MOZ","FMLE","49.1","49.10000","","","""DHS 2011. UNFPA Global Database, 2018."""
"SG_DMK_SRCR_FN_ZS","PUBLISHED","2016","SEAR","MMR","FMLE","67.5","67.50000","","","""DHS 2015-2016. UNFPA Global Database, 2018."""
"SG_DMK_SRCR_FN_ZS","PUBLISHED","2007","AFR","NAM","FMLE","67.1","67.10000","","","""DHS 2006-2007. UNFPA Global Database, 2018."""
"SG_DMK_SRCR_FN_ZS","PUBLISHED","2013","AFR","NAM","FMLE","71.2","71.20000","","","""DHS 2013. UNFPA Global Database, 2018."""
"SG_DMK_SRCR_FN_ZS","PUBLISHED","2011","SEAR","NPL","FMLE","59.5","59.50000","","","""DHS 2011. UNFPA Global Database, 2018."""
"SG_DMK_SRCR_FN_ZS","PUBLISHED","2016","SEAR","NPL","FMLE","47.7","47.70000","","","""DHS 2016. UNFPA Global Database, 2018."""
"SG_DMK_SRCR_FN_ZS","PUBLISHED","2006","AFR","NER","FMLE","9.3","9.30000","","","""DHS 2006. UNFPA Global Database, 2018."""
"SG_DMK_SRCR_FN_ZS","PUBLISHED","2012","AFR","NER","FMLE","7.3","7.30000","","","""DHS 2012. UNFPA Global Database, 2018."""
"SG_DMK_SRCR_FN_ZS","PUBLISHED","2008","AFR","NGA","FMLE","47.1","47.10000","","","""DHS 2008. UNFPA Global Database, 2018."""
"SG_DMK_SRCR_FN_ZS","PUBLISHED","2013","AFR","NGA","FMLE","50.8","50.80000","","","""DHS 2013. UNFPA Global Database, 2018."""
"SG_DMK_SRCR_FN_ZS","PUBLISHED","2010","AFR","RWA","FMLE","60.1","60.10000","","","""DHS 2010. UNFPA Global Database, 2018."""
"SG_DMK_SRCR_FN_ZS","PUBLISHED","2015","AFR","RWA","FMLE","69.5","69.50000","","","""DHS 2014-2015. UNFPA Global Database, 2018."""
"SG_DMK_SRCR_FN_ZS","PUBLISHED","2011","AFR","SEN","FMLE","13.2","13.20000","","","""DHS 2011. UNFPA Global Database, 2018."""
"SG_DMK_SRCR_FN_ZS","PUBLISHED","2015","AFR","SEN","FMLE","7.1","7.10000","","","""DHS Continuous 2015. UNFPA Global Database, 2018."""
"SG_DMK_SRCR_FN_ZS","PUBLISHED","2016","AFR","SEN","FMLE","4.9","4.90000","","","""DHS Continuous 2016. UNFPA Global Database, 2018."""
