"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"SUNBEDEXISTSUBNATIONAL","PUBLISHED","2017","EMR","ARE","Yes","","","","Dubai: https://www.dha.gov.ae/Documents/Regulations/Guidelines/Beauty%20Salons%20Cosmetic%20Procedures%20Therapies%20Guidelines.pdf"
"SUNBEDEXISTSUBNATIONAL","PUBLISHED","2017","AMR","ARG","Yes","","","","Santa Fe (2010) https://www.santafe.gov.ar/index.php/web/content/download/133779/658968/file/Resolucion%20Prov%203327_2010%20CAMAS%20SOLARES.pdf"
"SUNBEDEXISTSUBNATIONAL","PUBLISHED","2017","EUR","AUT","No","","","",""
"SUNBEDEXISTSUBNATIONAL","PUBLISHED","2017","EUR","BEL","No","","","",""
"SUNBEDEXISTSUBNATIONAL","PUBLISHED","2017","EUR","BGR","No","","","",""
"SUNBEDEXISTSUBNATIONAL","PUBLISHED","2017","EMR","BHR","No","","","",""
"SUNBEDEXISTSUBNATIONAL","PUBLISHED","2017","AMR","BOL","No","","","",""
"SUNBEDEXISTSUBNATIONAL","PUBLISHED","2017","AMR","BRA","No","","","",""
"SUNBEDEXISTSUBNATIONAL","PUBLISHED","2017","AMR","CAN","Yes","","","","Alberta (2015) http://www.qp.alberta.ca/1266.cfm?page=s07p9.cfm&leg_type=Acts&isbncln=9780779786084; Manitoba (2016) http://www.gov.mb.ca/health/publichealth/tanning.html; New Brunswick (2013) http://www.gnb.ca/legis/bill/FILE/57/3/Bill-54-e.htm; Northwest Territories (2013) https://www.justice.gov.nt.ca/en/files/legislation/public-health/public-health.a.pdf and https://www.justice.gov.nt.ca/en/files/legislation/public-health/public-health.r1.pdf; Nova Scotia (2010) http://nslegislature.ca/legc/PDFs/annual%20statutes/2010%20Fall/c044.pdf and http://www.novascotia.ca/just/regulations/regs/tbtanfac.htm; Nunavut (no legislation); Ontario (2014) https://www.ontario.ca/laws/statute/13s05; Prince Edward Island (2013) http://www.gov.pe.ca/law/regulations/pdf/P&30-1-11.pdf and https://www.princeedwardisland.ca/sites/default/files/legislation/p30-1-11.pdf"
"SUNBEDEXISTSUBNATIONAL","PUBLISHED","2017","EUR","CHE","Yes","","","",""
"SUNBEDEXISTSUBNATIONAL","PUBLISHED","2017","AMR","CHL","No","","","",""
"SUNBEDEXISTSUBNATIONAL","PUBLISHED","2017","WPR","CHN","No","","","",""
"SUNBEDEXISTSUBNATIONAL","PUBLISHED","2017","AMR","COL","No","","","",""
"SUNBEDEXISTSUBNATIONAL","PUBLISHED","2017","AMR","CUB","No","","","",""
"SUNBEDEXISTSUBNATIONAL","PUBLISHED","2017","EUR","CYP","No","","","",""
"SUNBEDEXISTSUBNATIONAL","PUBLISHED","2017","EUR","DEU","No","","","",""
"SUNBEDEXISTSUBNATIONAL","PUBLISHED","2017","EUR","DNK","No","","","",""
"SUNBEDEXISTSUBNATIONAL","PUBLISHED","2017","EMR","EGY","No","","","",""
"SUNBEDEXISTSUBNATIONAL","PUBLISHED","2017","EUR","ESP","Yes","","","",""
"SUNBEDEXISTSUBNATIONAL","PUBLISHED","2017","EUR","FIN","No","","","",""
"SUNBEDEXISTSUBNATIONAL","PUBLISHED","2017","EUR","FRA","No","","","",""
"SUNBEDEXISTSUBNATIONAL","PUBLISHED","2017","EUR","GBR","Yes","","","","England: Sunbeds (Regulation) Act 2010, http://www.legislation.gov.uk/ukpga/2010/20/contents; Northern Ireland: Sunbeds Act (2011) and Regulations (2012) https://www.dhsspsni.gov.uk/articles/sunbeds-policy; Scotland: The Public Health etc. (Scotland) Act 2008 - http://www.legislation.gov.uk/asp/2008/5/pdfs/asp_20080005_en.pdf, Regulations 2009 - http://www.legislation.gov.uk/ssi/2009/388/pdfs/ssi_20090388_en.pdf, Amendment Regulations 2013 - http://www.legislation.gov.uk/ssi/2013/201/pdfs/ssi_20130201_en.pdf; Wales: The Sunbeds (Regulation) Act 2010: http://gov.wales/topics/health/protection/environmental/ionisation/sunbeds-wales11/sunbeds/?lang=en, The Sunbeds (Regulation) Act 2010 (Wales) Regulations 2011: http://gov.wales/topics/health/protection/environmental/ionisation/sunbeds-wales11/?lang=en"
"SUNBEDEXISTSUBNATIONAL","PUBLISHED","2017","EUR","GRC","No","","","",""
"SUNBEDEXISTSUBNATIONAL","PUBLISHED","2017","EUR","IRL","Yes","","","",""
"SUNBEDEXISTSUBNATIONAL","PUBLISHED","2017","EMR","IRN","No","","","",""
"SUNBEDEXISTSUBNATIONAL","PUBLISHED","2017","EMR","IRQ","No","","","",""
"SUNBEDEXISTSUBNATIONAL","PUBLISHED","2017","EUR","ISL","No","","","",""
"SUNBEDEXISTSUBNATIONAL","PUBLISHED","2017","EUR","ISR","No","","","",""
"SUNBEDEXISTSUBNATIONAL","PUBLISHED","2017","EUR","ITA","Yes","","","",""
"SUNBEDEXISTSUBNATIONAL","PUBLISHED","2017","EUR","LUX","No","","","",""
"SUNBEDEXISTSUBNATIONAL","PUBLISHED","2017","EUR","LVA","No","","","",""
"SUNBEDEXISTSUBNATIONAL","PUBLISHED","2017","EMR","MAR","No","","","",""
"SUNBEDEXISTSUBNATIONAL","PUBLISHED","2017","WPR","MYS","No","","","",""
"SUNBEDEXISTSUBNATIONAL","PUBLISHED","2017","EUR","NLD","No","","","",""
"SUNBEDEXISTSUBNATIONAL","PUBLISHED","2017","EUR","NOR","No","","","",""
"SUNBEDEXISTSUBNATIONAL","PUBLISHED","2017","WPR","NZL","Yes","","","","Auckland County (2013)  http://www.aucklandcouncil.govt.nz/en/licencesregulations/bylaws/pages/healthandhygienebylaw.aspx"
"SUNBEDEXISTSUBNATIONAL","PUBLISHED","2017","WPR","PHL","No","","","",""
"SUNBEDEXISTSUBNATIONAL","PUBLISHED","2017","EMR","QAT","No","","","",""
"SUNBEDEXISTSUBNATIONAL","PUBLISHED","2017","EMR","SAU","No","","","",""
"SUNBEDEXISTSUBNATIONAL","PUBLISHED","2017","EUR","SVK","No","","","",""
"SUNBEDEXISTSUBNATIONAL","PUBLISHED","2017","EUR","SVN","No","","","",""
"SUNBEDEXISTSUBNATIONAL","PUBLISHED","2017","EUR","SWE","No","","","",""
"SUNBEDEXISTSUBNATIONAL","PUBLISHED","2017","AMR","USA","Yes","","","","http://www.ncsl.org/research/health/indoor-tanning-restrictions.aspx"
"SUNBEDEXISTSUBNATIONAL","PUBLISHED","2017","AFR","ZAF","No","","","",""
"SUNBEDEXISTSUBNATIONAL","PUBLISHED","2017","WPR","AUS","Yes","","","","Australian Capital Territory (2006, amended 2015) http://www.legislation.act.gov.au/a/2006-33/default.asp   New South Wales (2014) http://www.legislation.nsw.gov.au/;   Northern Territory: Radiation Protection Act (2016) https://legislation.nt.gov.au/;   Queensland: Radiation Safety Act 1999 (amended 2015) https://www.legislation.qld.gov.au/LEGISLTN/CURRENT/R/RadiatSafA99.pdf  and Radiation Safety Regulation 2010 (amended 2016) https://www.legislation.qld.gov.au/LEGISLTN/CURRENT/R/RadiatSafyR10.pdf; "
"SUNBEDEXISTSUBNATIONAL","PUBLISHED","2017","WPR","AUS","Yes","","","","South Australia: Radiation Protection and Control (Non-Ionising Radiation) Regulations 2013 (amended 2014) https://www.legislation.sa.gov.au/lz/c/r/radiation%20protection%20and%20control%20(non-ionising%20radiation)%20regulations%202013/current/2013.254.un.pdf;   Tasmania (2014) http://www.dhhs.tas.gov.au/__data/assets/pdf_file/0019/53317/Guidelines_for_the_Operation_of_Solaria_in_Tasmania_final_28nov14.pdf;   Victoria (2015) http://www.legislation.vic.gov.au/domino/Web_Notes/LDMS/LTObject_Store/ltobjst9.nsf/DDE300B846EED9C7CA257616000A3571/DFEF237A695FDA45CA257DBD007A1BF3/$FILE/05-62aa030%20authorised.pdf;   Western Australia: Radiation Safety Act 1975 (amended 2017) and Radiation Safety (General) Regulations 1983 (amended 2017) https://www.slp.wa.gov.au/"
