"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SUNBED_CONTROL","Display Value","Numeric","Low","High","Comments"
"SUNBEDREG_CONTROL","PUBLISHED","2017","EUR","AUT","REGISTRATION","Yes","","","",""
"SUNBEDREG_CONTROL","PUBLISHED","2017","EUR","BEL","REGISTRATION","No","","","",""
"SUNBEDREG_CONTROL","PUBLISHED","2017","AMR","BRA","REGISTRATION","NA","","","","not applicable because sunbeds are banned"
"SUNBEDREG_CONTROL","PUBLISHED","2017","AMR","CAN","REGISTRATION","No","","","",""
"SUNBEDREG_CONTROL","PUBLISHED","2017","EUR","CHE","REGISTRATION","No","","","",""
"SUNBEDREG_CONTROL","PUBLISHED","2017","AMR","CHL","REGISTRATION","No","","","",""
"SUNBEDREG_CONTROL","PUBLISHED","2017","AMR","COL","REGISTRATION","Yes","","","",""
"SUNBEDREG_CONTROL","PUBLISHED","2017","EUR","DEU","REGISTRATION","No","","","",""
"SUNBEDREG_CONTROL","PUBLISHED","2017","EUR","DNK","REGISTRATION","Yes","","","","A general permission for a commercial operation is required"
"SUNBEDREG_CONTROL","PUBLISHED","2017","EUR","ESP","REGISTRATION","Yes","","","",""
"SUNBEDREG_CONTROL","PUBLISHED","2017","EUR","FIN","REGISTRATION","No","","","",""
"SUNBEDREG_CONTROL","PUBLISHED","2017","EUR","FRA","REGISTRATION","No","","","","The UV2 and UV4 devices are restricted for medical use. The sale of UV1 devices is restricted for professional use. The sale of UV3 devices is authorized for professional or private use. The sunbeds must be registered before first use (all new sunbeds and second-hand sunbeds when bought by new owner)."
"SUNBEDREG_CONTROL","PUBLISHED","2017","EUR","IRL","REGISTRATION","Yes","","","","Owners of sunbed businesses are required to notify the Health Service Executive."
"SUNBEDREG_CONTROL","PUBLISHED","2017","EUR","ISL","REGISTRATION","No","","","",""
"SUNBEDREG_CONTROL","PUBLISHED","2017","EUR","ISR","REGISTRATION","Yes","","","","Business license renewal every 5 years"
"SUNBEDREG_CONTROL","PUBLISHED","2017","EUR","ITA","REGISTRATION","Yes","","","",""
"SUNBEDREG_CONTROL","PUBLISHED","2017","EUR","LVA","REGISTRATION","No","","","",""
"SUNBEDREG_CONTROL","PUBLISHED","2017","EUR","NLD","REGISTRATION","No","","","",""
"SUNBEDREG_CONTROL","PUBLISHED","2017","EUR","NOR","REGISTRATION","No","","","",""
"SUNBEDREG_CONTROL","PUBLISHED","2017","WPR","NZL","REGISTRATION","No","","","",""
"SUNBEDREG_CONTROL","PUBLISHED","2017","EUR","SVK","REGISTRATION","Yes","","","",""
"SUNBEDREG_CONTROL","PUBLISHED","2017","EUR","SVN","REGISTRATION","Yes","","","",""
"SUNBEDREG_CONTROL","PUBLISHED","2017","EUR","SWE","REGISTRATION","No","","","",""
"SUNBEDREG_CONTROL","PUBLISHED","2017","AMR","USA","REGISTRATION","No","","","",""
"SUNBEDREG_CONTROL","PUBLISHED","2017","AFR","ZAF","REGISTRATION","No","","","","Records of the sale of sunbeds must be kept by the importer as a condition of the import licence."
"SUNBEDREG_CONTROL","PUBLISHED","2017","EUR","AUT","FINES","No","","","",""
"SUNBEDREG_CONTROL","PUBLISHED","2017","EUR","BEL","FINES","Yes","","","",""
"SUNBEDREG_CONTROL","PUBLISHED","2017","AMR","BRA","FINES","NA","","","","not applicable because sunbeds are banned"
"SUNBEDREG_CONTROL","PUBLISHED","2017","AMR","CAN","FINES","No","","","",""
"SUNBEDREG_CONTROL","PUBLISHED","2017","EUR","CHE","FINES","Yes","","","",""
"SUNBEDREG_CONTROL","PUBLISHED","2017","AMR","CHL","FINES","Yes","","","",""
"SUNBEDREG_CONTROL","PUBLISHED","2017","AMR","COL","FINES","Yes","","","",""
"SUNBEDREG_CONTROL","PUBLISHED","2017","EUR","DEU","FINES","Yes","","","",""
"SUNBEDREG_CONTROL","PUBLISHED","2017","EUR","DNK","FINES","Yes","","","",""
"SUNBEDREG_CONTROL","PUBLISHED","2017","EUR","ESP","FINES","Yes","","","",""
"SUNBEDREG_CONTROL","PUBLISHED","2017","EUR","FIN","FINES","No","","","",""
"SUNBEDREG_CONTROL","PUBLISHED","2017","EUR","FRA","FINES","Yes","","","",""
"SUNBEDREG_CONTROL","PUBLISHED","2017","EUR","IRL","FINES","Yes","","","",""
"SUNBEDREG_CONTROL","PUBLISHED","2017","EUR","ISL","FINES","No","","","",""
"SUNBEDREG_CONTROL","PUBLISHED","2017","EUR","ISR","FINES","Yes","","","",""
"SUNBEDREG_CONTROL","PUBLISHED","2017","EUR","ITA","FINES","Yes","","","","Sanctions system is related with general hygiene requirements for licensing of cosmetology activity"
"SUNBEDREG_CONTROL","PUBLISHED","2017","EUR","LVA","FINES","Yes","","","",""
"SUNBEDREG_CONTROL","PUBLISHED","2017","EUR","NLD","FINES","Yes","","","",""
"SUNBEDREG_CONTROL","PUBLISHED","2017","EUR","NOR","FINES","Yes","","","",""
"SUNBEDREG_CONTROL","PUBLISHED","2017","WPR","NZL","FINES","Yes","","","",""
"SUNBEDREG_CONTROL","PUBLISHED","2017","EUR","SVK","FINES","Yes","","","",""
