"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","Display Value","Numeric","Low","High","Comments"
"TB_c_dst_rlt_ret_pct","PUBLISHED","2008","","WB_HI","","31","31.00000","","",""
"TB_c_dst_rlt_ret_pct","PUBLISHED","2010","","WB_HI","","34","34.00000","","",""
"TB_c_dst_rlt_ret_pct","PUBLISHED","2017","","WB_HI","","62","62.00000","","",""
"TB_c_dst_rlt_ret_pct","PUBLISHED","2019","","WB_HI","","81","81.00000","","",""
"TB_c_dst_rlt_ret_pct","PUBLISHED","2009","","WB_LI","","4.1","4.10000","","",""
"TB_c_dst_rlt_ret_pct","PUBLISHED","2011","","WB_LI","","5.4","5.40000","","",""
"TB_c_dst_rlt_ret_pct","PUBLISHED","2018","","WB_LI","","50","50.00000","","",""
"TB_c_dst_rlt_ret_pct","PUBLISHED","2005","","WB_LMI","","1.4","1.40000","","",""
"TB_c_dst_rlt_ret_pct","PUBLISHED","2012","","WB_LMI","","4.8","4.80000","","",""
"TB_c_dst_rlt_ret_pct","PUBLISHED","2014","","WB_LMI","","66","66.00000","","",""
"TB_c_dst_rlt_ret_pct","PUBLISHED","2019","","WB_LMI","","85","85.00000","","",""
"TB_c_dst_rlt_ret_pct","PUBLISHED","2006","","WB_UMI","","4.8","4.80000","","",""
"TB_c_dst_rlt_ret_pct","PUBLISHED","2013","","WB_UMI","","26","26.00000","","",""
"TB_c_dst_rlt_ret_pct","PUBLISHED","2015","","WB_UMI","","51","51.00000","","",""
"TB_c_dst_rlt_ret_pct","PUBLISHED","2007","AFR","","","5.3","5.30000","","",""
"TB_c_dst_rlt_ret_pct","PUBLISHED","2009","AFR","","","3","3.00000","","",""
"TB_c_dst_rlt_ret_pct","PUBLISHED","2014","AFR","","","33","33.00000","","",""
"TB_c_dst_rlt_ret_pct","PUBLISHED","2016","AFR","","","29","29.00000","","",""
"TB_c_dst_rlt_ret_pct","PUBLISHED","2008","AMR","","","19","19.00000","","",""
"TB_c_dst_rlt_ret_pct","PUBLISHED","2010","AMR","","","19","19.00000","","",""
"TB_c_dst_rlt_ret_pct","PUBLISHED","2017","AMR","","","46","46.00000","","",""
"TB_c_dst_rlt_ret_pct","PUBLISHED","2019","AMR","","","49","49.00000","","",""
"TB_c_dst_rlt_ret_pct","PUBLISHED","2009","EMR","","","7.1","7.10000","","",""
"TB_c_dst_rlt_ret_pct","PUBLISHED","2011","EMR","","","7","7.00000","","",""
