"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","Display Value","Numeric","Low","High","Comments"
"TB_c_lab_sm_100k","PUBLISHED","2006","EUR","WB_HI","MLT","0.0","0.00000","","",""
"TB_c_lab_sm_100k","PUBLISHED","2006","EUR","WB_HI","AUT","0.1","0.10000","","",""
"TB_c_lab_sm_100k","PUBLISHED","2012","AMR","WB_UMI","JAM","0.1","0.10000","","",""
"TB_c_lab_sm_100k","PUBLISHED","2013","AMR","WB_UMI","JAM","0.1","0.10000","","",""
"TB_c_lab_sm_100k","PUBLISHED","2005","EUR","WB_HI","LTU","0.1","0.10000","","",""
"TB_c_lab_sm_100k","PUBLISHED","2013","EUR","WB_HI","HUN","0.1","0.10000","","",""
"TB_c_lab_sm_100k","PUBLISHED","2010","EUR","WB_HI","SVK","0.1","0.10000","","",""
"TB_c_lab_sm_100k","PUBLISHED","2006","EMR","WB_HI","QAT","0.1","0.10000","","",""
"TB_c_lab_sm_100k","PUBLISHED","2014","EUR","WB_HI","SVN","0.1","0.10000","","",""
"TB_c_lab_sm_100k","PUBLISHED","2009","AMR","WB_UMI","JAM","0.1","0.10000","","",""
"TB_c_lab_sm_100k","PUBLISHED","2005","WPR","WB_UMI","CHN","0.2","0.20000","","",""
"TB_c_lab_sm_100k","PUBLISHED","2007","EUR","WB_HI","FIN","0.2","0.20000","","",""
"TB_c_lab_sm_100k","PUBLISHED","2012","EUR","WB_HI","IRL","0.2","0.20000","","",""
"TB_c_lab_sm_100k","PUBLISHED","2014","EUR","WB_HI","MLT","0.2","0.20000","","",""
"TB_c_lab_sm_100k","PUBLISHED","2013","EUR","WB_HI","FIN","0.2","0.20000","","",""
"TB_c_lab_sm_100k","PUBLISHED","2006","EUR","WB_UMI","MNE","0.2","0.20000","","",""
"TB_c_lab_sm_100k","PUBLISHED","2014","WPR","WB_UMI","CHN","0.2","0.20000","","",""
"TB_c_lab_sm_100k","PUBLISHED","2013","EMR","WB_UMI","JOR","0.2","0.20000","","",""
"TB_c_lab_sm_100k","PUBLISHED","2009","EUR","WB_UMI","MNE","0.2","0.20000","","",""
"TB_c_lab_sm_100k","PUBLISHED","2007","WPR","WB_HI","NZL","0.2","0.20000","","",""
"TB_c_lab_sm_100k","PUBLISHED","2012","EUR","WB_HI","FIN","0.2","0.20000","","",""
"TB_c_lab_sm_100k","PUBLISHED","2012","EUR","WB_HI","ISR","0.2","0.20000","","",""
"TB_c_lab_sm_100k","PUBLISHED","2007","EUR","WB_HI","POL","0.2","0.20000","","",""
"TB_c_lab_sm_100k","PUBLISHED","2014","EUR","WB_HI","POL","0.2","0.20000","","",""
"TB_c_lab_sm_100k","PUBLISHED","2007","WPR","WB_UMI","CHN","0.2","0.20000","","",""
"TB_c_lab_sm_100k","PUBLISHED","2011","EUR","WB_HI","MLT","0.2","0.20000","","",""
"TB_c_lab_sm_100k","PUBLISHED","2008","EUR","WB_UMI","MNE","0.2","0.20000","","",""
"TB_c_lab_sm_100k","PUBLISHED","2014","WPR","WB_HI","BRN","0.2","0.20000","","",""
