"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","Display Value","Numeric","Low","High","Comments"
"TB_c_mdr_tsr","PUBLISHED","2000","","WB_HI","","68","68.00000","","",""
"TB_c_mdr_tsr","PUBLISHED","2002","","WB_HI","","50","50.00000","","",""
"TB_c_mdr_tsr","PUBLISHED","2007","","WB_HI","","31","31.00000","","",""
"TB_c_mdr_tsr","PUBLISHED","2009","","WB_HI","","35","35.00000","","",""
"TB_c_mdr_tsr","PUBLISHED","2016","","WB_HI","","60","60.00000","","",""
"TB_c_mdr_tsr","PUBLISHED","2002","","WB_LI","","53","53.00000","","",""
"TB_c_mdr_tsr","PUBLISHED","2010","","WB_LI","","65","65.00000","","",""
"TB_c_mdr_tsr","PUBLISHED","2012","","WB_LI","","67","67.00000","","",""
"TB_c_mdr_tsr","PUBLISHED","2017","","WB_LI","","74","74.00000","","",""
"TB_c_mdr_tsr","PUBLISHED","2003","","WB_LMI","","29","29.00000","","",""
"TB_c_mdr_tsr","PUBLISHED","2011","","WB_LMI","","48","48.00000","","",""
"TB_c_mdr_tsr","PUBLISHED","2013","","WB_LMI","","50","50.00000","","",""
"TB_c_mdr_tsr","PUBLISHED","2004","","WB_UMI","","60","60.00000","","",""
"TB_c_mdr_tsr","PUBLISHED","2007","","WB_UMI","","49","49.00000","","",""
"TB_c_mdr_tsr","PUBLISHED","2012","","WB_UMI","","51","51.00000","","",""
"TB_c_mdr_tsr","PUBLISHED","2014","","WB_UMI","","55","55.00000","","",""
"TB_c_mdr_tsr","PUBLISHED","2006","AFR","","","65","65.00000","","",""
"TB_c_mdr_tsr","PUBLISHED","2008","AFR","","","50","50.00000","","",""
"TB_c_mdr_tsr","PUBLISHED","2015","AFR","","","61","61.00000","","",""
"TB_c_mdr_tsr","PUBLISHED","2017","AFR","","","64","64.00000","","",""
"TB_c_mdr_tsr","PUBLISHED","2007","AMR","","","38","38.00000","","",""
"TB_c_mdr_tsr","PUBLISHED","2009","AMR","","","47","47.00000","","",""
"TB_c_mdr_tsr","PUBLISHED","2016","AMR","","","59","59.00000","","",""
"TB_c_mdr_tsr","PUBLISHED","2002","EMR","","","57","57.00000","","",""
"TB_c_mdr_tsr","PUBLISHED","2010","EMR","","","56","56.00000","","",""
"TB_c_mdr_tsr","PUBLISHED","2012","EMR","","","65","65.00000","","",""
"TB_c_mdr_tsr","PUBLISHED","2017","EMR","","","64","64.00000","","",""
"TB_c_mdr_tsr","PUBLISHED","2000","EUR","","","68","68.00000","","",""
"TB_c_mdr_tsr","PUBLISHED","2002","EUR","","","45","45.00000","","",""
"TB_c_mdr_tsr","PUBLISHED","2007","EUR","","","53","53.00000","","",""
"TB_c_mdr_tsr","PUBLISHED","2009","EUR","","","48","48.00000","","",""
"TB_c_mdr_tsr","PUBLISHED","2016","EUR","","","57","57.00000","","",""
"TB_c_mdr_tsr","PUBLISHED","2006","SEAR","","","57","57.00000","","",""
"TB_c_mdr_tsr","PUBLISHED","2011","SEAR","","","54","54.00000","","",""
"TB_c_mdr_tsr","PUBLISHED","2013","SEAR","","","49","49.00000","","",""
"TB_c_mdr_tsr","PUBLISHED","2015","SEAR","","","50","50.00000","","",""
"TB_c_mdr_tsr","PUBLISHED","2004","WPR","","","57","57.00000","","",""
"TB_c_mdr_tsr","PUBLISHED","2007","WPR","","","64","64.00000","","",""
"TB_c_mdr_tsr","PUBLISHED","2014","WPR","","","52","52.00000","","",""
"TB_c_mdr_tsr","PUBLISHED","2016","WPR","","","59","59.00000","","",""
"TB_c_mdr_tsr","PUBLISHED","2015","EMR","","AFG","64","64.00000","","",""
"TB_c_mdr_tsr","PUBLISHED","2017","EMR","","AFG","64","64.00000","","",""
"TB_c_mdr_tsr","PUBLISHED","2015","AFR","","AGO","72","72.00000","","",""
"TB_c_mdr_tsr","PUBLISHED","2017","AFR","","AGO","0","0.00000","","",""
"TB_c_mdr_tsr","PUBLISHED","2012","EMR","","ARE","50","50.00000","","",""
"TB_c_mdr_tsr","PUBLISHED","2016","EMR","","ARE","0","0.00000","","",""
"TB_c_mdr_tsr","PUBLISHED","2017","AMR","","ARG","39","39.00000","","",""
"TB_c_mdr_tsr","PUBLISHED","2007","EUR","","ARM","53","53.00000","","",""
"TB_c_mdr_tsr","PUBLISHED","2012","EUR","","ARM","44","44.00000","","",""
"TB_c_mdr_tsr","PUBLISHED","2014","EUR","","ARM","58","58.00000","","",""
"TB_c_mdr_tsr","PUBLISHED","2006","WPR","","AUS","74","74.00000","","",""
