"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","Display Value","Numeric","Low","High","Comments"
"TB_c_new_snep_tsr","PUBLISHED","2011","AFR","WB_LMI","AGO","0","0.00000","","",""
"TB_c_new_snep_tsr","PUBLISHED","2004","AFR","WB_LI","BDI","69","69.00000","","",""
"TB_c_new_snep_tsr","PUBLISHED","2005","AFR","WB_LI","BDI","64","64.00000","","",""
"TB_c_new_snep_tsr","PUBLISHED","2006","AFR","WB_LI","BDI","72","72.00000","","",""
"TB_c_new_snep_tsr","PUBLISHED","2008","AFR","WB_LI","BEN","78","78.00000","","",""
"TB_c_new_snep_tsr","PUBLISHED","2009","AFR","WB_LI","BEN","81","81.00000","","",""
"TB_c_new_snep_tsr","PUBLISHED","2010","AFR","WB_LI","BEN","86","86.00000","","",""
"TB_c_new_snep_tsr","PUBLISHED","2011","AFR","WB_LI","BEN","86","86.00000","","",""
"TB_c_new_snep_tsr","PUBLISHED","2011","AFR","WB_LI","BFA","74","74.00000","","",""
"TB_c_new_snep_tsr","PUBLISHED","2007","AFR","WB_LMI","CIV","69","69.00000","","",""
"TB_c_new_snep_tsr","PUBLISHED","2010","AFR","WB_LMI","CMR","77","77.00000","","",""
"TB_c_new_snep_tsr","PUBLISHED","2011","AFR","WB_LMI","CMR","78","78.00000","","",""
"TB_c_new_snep_tsr","PUBLISHED","2008","AFR","WB_LI","ERI","87","87.00000","","",""
"TB_c_new_snep_tsr","PUBLISHED","2009","AFR","WB_LI","ERI","87","87.00000","","",""
"TB_c_new_snep_tsr","PUBLISHED","2010","AFR","WB_LI","ERI","86","86.00000","","",""
"TB_c_new_snep_tsr","PUBLISHED","2011","AFR","WB_LI","ERI","71","71.00000","","",""
"TB_c_new_snep_tsr","PUBLISHED","2009","AFR","WB_LI","ETH","80","80.00000","","",""
"TB_c_new_snep_tsr","PUBLISHED","2010","AFR","WB_LI","ETH","75","75.00000","","",""
"TB_c_new_snep_tsr","PUBLISHED","2011","AFR","WB_LI","ETH","87","87.00000","","",""
"TB_c_new_snep_tsr","PUBLISHED","2006","AFR","WB_UMI","GAB","39","39.00000","","",""
"TB_c_new_snep_tsr","PUBLISHED","2007","AFR","WB_UMI","GAB","26","26.00000","","",""
"TB_c_new_snep_tsr","PUBLISHED","2008","AFR","WB_UMI","GAB","68","68.00000","","",""
"TB_c_new_snep_tsr","PUBLISHED","2011","AFR","WB_LI","GIN","86","86.00000","","",""
"TB_c_new_snep_tsr","PUBLISHED","2005","AFR","WB_LI","GNB","69","69.00000","","",""
