"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","Display Value","Numeric","Low","High","Comments"
"TB_c_newinc","PUBLISHED","2000","","WB_HI","","195977","195977.00000","","",""
"TB_c_newinc","PUBLISHED","2005","","WB_HI","","188429","188429.00000","","",""
"TB_c_newinc","PUBLISHED","2007","","WB_HI","","177110","177110.00000","","",""
"TB_c_newinc","PUBLISHED","2014","","WB_HI","","143813","143813.00000","","",""
"TB_c_newinc","PUBLISHED","2016","","WB_HI","","139986","139986.00000","","",""
"TB_c_newinc","PUBLISHED","2003","","WB_LI","","513298","513298.00000","","",""
"TB_c_newinc","PUBLISHED","2005","","WB_LI","","544612","544612.00000","","",""
"TB_c_newinc","PUBLISHED","2010","","WB_LI","","674533","674533.00000","","",""
"TB_c_newinc","PUBLISHED","2012","","WB_LI","","684652","684652.00000","","",""
"TB_c_newinc","PUBLISHED","2019","","WB_LI","","851803","851803.00000","","",""
"TB_c_newinc","PUBLISHED","2001","","WB_LMI","","2025689","2025689.00000","","",""
"TB_c_newinc","PUBLISHED","2008","","WB_LMI","","2825752","2825752.00000","","",""
"TB_c_newinc","PUBLISHED","2010","","WB_LMI","","2895144","2895144.00000","","",""
"TB_c_newinc","PUBLISHED","2015","","WB_LMI","","3431160","3431160.00000","","",""
"TB_c_newinc","PUBLISHED","2017","","WB_LMI","","3525174","3525174.00000","","",""
"TB_c_newinc","PUBLISHED","2004","","WB_UMI","","1775647","1775647.00000","","",""
"TB_c_newinc","PUBLISHED","2006","","WB_UMI","","2019724","2019724.00000","","",""
"TB_c_newinc","PUBLISHED","2013","","WB_UMI","","1951439","1951439.00000","","",""
"TB_c_newinc","PUBLISHED","2015","","WB_UMI","","1865795","1865795.00000","","",""
"TB_c_newinc","PUBLISHED","2004","AFR","","","1179912","1179912.00000","","",""
"TB_c_newinc","PUBLISHED","2006","AFR","","","1244707","1244707.00000","","",""
"TB_c_newinc","PUBLISHED","2013","AFR","","","1337693","1337693.00000","","",""
"TB_c_newinc","PUBLISHED","2015","AFR","","","1296730","1296730.00000","","",""
"TB_c_newinc","PUBLISHED","2000","AMR","","","238636","238636.00000","","",""
"TB_c_newinc","PUBLISHED","2002","AMR","","","233742","233742.00000","","",""
"TB_c_newinc","PUBLISHED","2009","AMR","","","217882","217882.00000","","",""
"TB_c_newinc","PUBLISHED","2011","AMR","","","221188","221188.00000","","",""
"TB_c_newinc","PUBLISHED","2018","AMR","","","236244","236244.00000","","",""
"TB_c_newinc","PUBLISHED","2000","EMR","","","141748","141748.00000","","",""
"TB_c_newinc","PUBLISHED","2005","EMR","","","287178","287178.00000","","",""
"TB_c_newinc","PUBLISHED","2007","EMR","","","379025","379025.00000","","",""
"TB_c_newinc","PUBLISHED","2014","EMR","","","453744","453744.00000","","",""
"TB_c_newinc","PUBLISHED","2016","EMR","","","514477","514477.00000","","",""
"TB_c_newinc","PUBLISHED","2003","EUR","","","443438","443438.00000","","",""
"TB_c_newinc","PUBLISHED","2005","EUR","","","368624","368624.00000","","",""
"TB_c_newinc","PUBLISHED","2010","EUR","","","329909","329909.00000","","",""
"TB_c_newinc","PUBLISHED","2012","EUR","","","299302","299302.00000","","",""
"TB_c_newinc","PUBLISHED","2019","EUR","","","215934","215934.00000","","",""
"TB_c_newinc","PUBLISHED","2001","SEAR","","","1414141","1414141.00000","","",""
"TB_c_newinc","PUBLISHED","2008","SEAR","","","2078370","2078370.00000","","",""
"TB_c_newinc","PUBLISHED","2010","SEAR","","","2124237","2124237.00000","","",""
"TB_c_newinc","PUBLISHED","2015","SEAR","","","2566133","2566133.00000","","",""
"TB_c_newinc","PUBLISHED","2017","SEAR","","","2689499","2689499.00000","","",""
"TB_c_newinc","PUBLISHED","2019","SEAR","","","3378887","3378887.00000","","",""
"TB_c_newinc","PUBLISHED","2004","WPR","","","1168385","1168385.00000","","",""
"TB_c_newinc","PUBLISHED","2006","WPR","","","1340152","1340152.00000","","",""
"TB_c_newinc","PUBLISHED","2013","WPR","","","1342404","1342404.00000","","",""
"TB_c_newinc","PUBLISHED","2015","WPR","","","1336746","1336746.00000","","",""
"TB_c_newinc","PUBLISHED","2002","EMR","","AFG","13794","13794.00000","","",""
"TB_c_newinc","PUBLISHED","2004","EMR","","AFG","18404","18404.00000","","",""
"TB_c_newinc","PUBLISHED","2006","EMR","","AFG","25475","25475.00000","","",""
"TB_c_newinc","PUBLISHED","2011","EMR","","AFG","27983","27983.00000","","",""
"TB_c_newinc","PUBLISHED","2013","EMR","","AFG","30507","30507.00000","","",""
"TB_c_newinc","PUBLISHED","2000","AFR","","AGO","16062","16062.00000","","",""
"TB_c_newinc","PUBLISHED","2002","AFR","","AGO","29996","29996.00000","","",""
"TB_c_newinc","PUBLISHED","2007","AFR","","AGO","41292","41292.00000","","",""
"TB_c_newinc","PUBLISHED","2009","AFR","","AGO","41221","41221.00000","","",""
"TB_c_newinc","PUBLISHED","2011","AFR","","AGO","47240","47240.00000","","",""
"TB_c_newinc","PUBLISHED","2016","AFR","","AGO","59513","59513.00000","","",""
"TB_c_newinc","PUBLISHED","2018","AFR","","AGO","66189","66189.00000","","",""
"TB_c_newinc","PUBLISHED","2005","EUR","","ALB","506","506.00000","","",""
"TB_c_newinc","PUBLISHED","2007","EUR","","ALB","438","438.00000","","",""
"TB_c_newinc","PUBLISHED","2014","EUR","","ALB","408","408.00000","","",""
"TB_c_newinc","PUBLISHED","2016","EUR","","ALB","415","415.00000","","",""
"TB_c_newinc","PUBLISHED","2001","EUR","","AND","10","10.00000","","",""
"TB_c_newinc","PUBLISHED","2003","EUR","","AND","11","11.00000","","",""
"TB_c_newinc","PUBLISHED","2010","EUR","","AND","7","7.00000","","",""
"TB_c_newinc","PUBLISHED","2012","EUR","","AND","9","9.00000","","",""
"TB_c_newinc","PUBLISHED","2019","EUR","","AND","5","5.00000","","",""
"TB_c_newinc","PUBLISHED","2001","EMR","","ARE","74","74.00000","","",""
"TB_c_newinc","PUBLISHED","2006","EMR","","ARE","90","90.00000","","",""
"TB_c_newinc","PUBLISHED","2008","EMR","","ARE","93","93.00000","","",""
"TB_c_newinc","PUBLISHED","2015","EMR","","ARE","63","63.00000","","",""
"TB_c_newinc","PUBLISHED","2017","EMR","","ARE","66","66.00000","","",""
"TB_c_newinc","PUBLISHED","2004","AMR","","ARG","11413","11413.00000","","",""
"TB_c_newinc","PUBLISHED","2006","AMR","","ARG","9675","9675.00000","","",""
"TB_c_newinc","PUBLISHED","2011","AMR","","ARG","9733","9733.00000","","",""
"TB_c_newinc","PUBLISHED","2013","AMR","","ARG","8933","8933.00000","","",""
"TB_c_newinc","PUBLISHED","2000","EUR","","ARM","1333","1333.00000","","",""
"TB_c_newinc","PUBLISHED","2002","EUR","","ARM","1433","1433.00000","","",""
"TB_c_newinc","PUBLISHED","2009","EUR","","ARM","1560","1560.00000","","",""
"TB_c_newinc","PUBLISHED","2011","EUR","","ARM","1261","1261.00000","","",""
"TB_c_newinc","PUBLISHED","2016","EUR","","ARM","1027","1027.00000","","",""
"TB_c_newinc","PUBLISHED","2018","EUR","","ARM","734","734.00000","","",""
"TB_c_newinc","PUBLISHED","2006","AMR","","ATG","4","4.00000","","",""
"TB_c_newinc","PUBLISHED","2008","AMR","","ATG","1","1.00000","","",""
"TB_c_newinc","PUBLISHED","2016","AMR","","ATG","3","3.00000","","",""
"TB_c_newinc","PUBLISHED","2018","AMR","","ATG","5","5.00000","","",""
"TB_c_newinc","PUBLISHED","2003","WPR","","AUS","949","949.00000","","",""
"TB_c_newinc","PUBLISHED","2005","WPR","","AUS","1046","1046.00000","","",""
"TB_c_newinc","PUBLISHED","2012","WPR","","AUS","1305","1305.00000","","",""
"TB_c_newinc","PUBLISHED","2014","WPR","","AUS","1330","1330.00000","","",""
"TB_c_newinc","PUBLISHED","2001","EUR","","AUT","1013","1013.00000","","",""
"TB_c_newinc","PUBLISHED","2003","EUR","","AUT","946","946.00000","","",""
"TB_c_newinc","PUBLISHED","2009","EUR","","AUT","663","663.00000","","",""
"TB_c_newinc","PUBLISHED","2011","EUR","","AUT","673","673.00000","","",""
"TB_c_newinc","PUBLISHED","2018","EUR","","AUT","470","470.00000","","",""
"TB_c_newinc","PUBLISHED","2000","EUR","","AZE","5187","5187.00000","","",""
"TB_c_newinc","PUBLISHED","2007","EUR","","AZE","5521","5521.00000","","",""
"TB_c_newinc","PUBLISHED","2009","EUR","","AZE","9462","9462.00000","","",""
"TB_c_newinc","PUBLISHED","2014","EUR","","AZE","5788","5788.00000","","",""
"TB_c_newinc","PUBLISHED","2016","EUR","","AZE","5159","5159.00000","","",""
"TB_c_newinc","PUBLISHED","2003","AFR","","BDI","6822","6822.00000","","",""
"TB_c_newinc","PUBLISHED","2005","AFR","","BDI","6585","6585.00000","","",""
"TB_c_newinc","PUBLISHED","2012","AFR","","BDI","6921","6921.00000","","",""
"TB_c_newinc","PUBLISHED","2014","AFR","","BDI","7226","7226.00000","","",""
"TB_c_newinc","PUBLISHED","2019","AFR","","BDI","6753","6753.00000","","",""
"TB_c_newinc","PUBLISHED","2001","EUR","","BEL","1321","1321.00000","","",""
"TB_c_newinc","PUBLISHED","2003","EUR","","BEL","1064","1064.00000","","",""
"TB_c_newinc","PUBLISHED","2008","EUR","","BEL","939","939.00000","","",""
"TB_c_newinc","PUBLISHED","2010","EUR","","BEL","1001","1001.00000","","",""
"TB_c_newinc","PUBLISHED","2017","EUR","","BEL","916","916.00000","","",""
"TB_c_newinc","PUBLISHED","2019","EUR","","BEL","895","895.00000","","",""
"TB_c_newinc","PUBLISHED","2004","AFR","","BEN","3116","3116.00000","","",""
"TB_c_newinc","PUBLISHED","2006","AFR","","BEN","3608","3608.00000","","",""
"TB_c_newinc","PUBLISHED","2008","AFR","","BEN","3872","3872.00000","","",""
"TB_c_newinc","PUBLISHED","2013","AFR","","BEN","3866","3866.00000","","",""
"TB_c_newinc","PUBLISHED","2015","AFR","","BEN","3985","3985.00000","","",""
"TB_c_newinc","PUBLISHED","2002","AFR","","BFA","2376","2376.00000","","",""
"TB_c_newinc","PUBLISHED","2004","AFR","","BFA","2876","2876.00000","","",""
"TB_c_newinc","PUBLISHED","2011","AFR","","BFA","5286","5286.00000","","",""
"TB_c_newinc","PUBLISHED","2013","AFR","","BFA","5326","5326.00000","","",""
"TB_c_newinc","PUBLISHED","2018","AFR","","BFA","5995","5995.00000","","",""
"TB_c_newinc","PUBLISHED","2000","SEAR","","BGD","75557","75557.00000","","",""
"TB_c_newinc","PUBLISHED","2007","SEAR","","BGD","147342","147342.00000","","",""
"TB_c_newinc","PUBLISHED","2009","SEAR","","BGD","160875","160875.00000","","",""
"TB_c_newinc","PUBLISHED","2016","SEAR","","BGD","222248","222248.00000","","",""
"TB_c_newinc","PUBLISHED","2018","SEAR","","BGD","267143","267143.00000","","",""
"TB_c_newinc","PUBLISHED","2003","EUR","","BGR","3263","3263.00000","","",""
"TB_c_newinc","PUBLISHED","2005","EUR","","BGR","3225","3225.00000","","",""
"TB_c_newinc","PUBLISHED","2012","EUR","","BGR","2081","2081.00000","","",""
"TB_c_newinc","PUBLISHED","2014","EUR","","BGR","1825","1825.00000","","",""
"TB_c_newinc","PUBLISHED","2001","EMR","","BHR","188","188.00000","","",""
"TB_c_newinc","PUBLISHED","2003","EMR","","BHR","261","261.00000","","",""
"TB_c_newinc","PUBLISHED","2008","EMR","","BHR","304","304.00000","","",""
"TB_c_newinc","PUBLISHED","2010","EMR","","BHR","246","246.00000","","",""
"TB_c_newinc","PUBLISHED","2019","EMR","","BHR","178","178.00000","","",""
"TB_c_newinc","PUBLISHED","2002","AMR","","BHS","44","44.00000","","",""
"TB_c_newinc","PUBLISHED","2009","AMR","","BHS","45","45.00000","","",""
"TB_c_newinc","PUBLISHED","2011","AMR","","BHS","41","41.00000","","",""
"TB_c_newinc","PUBLISHED","2016","AMR","","BHS","89","89.00000","","",""
"TB_c_newinc","PUBLISHED","2018","AMR","","BHS","47","47.00000","","",""
"TB_c_newinc","PUBLISHED","2005","EUR","","BIH","2111","2111.00000","","",""
"TB_c_newinc","PUBLISHED","2007","EUR","","BIH","2373","2373.00000","","",""
"TB_c_newinc","PUBLISHED","2014","EUR","","BIH","1196","1196.00000","","",""
"TB_c_newinc","PUBLISHED","2016","EUR","","BIH","907","907.00000","","",""
"TB_c_newinc","PUBLISHED","2001","EUR","","BLR","5505","5505.00000","","",""
"TB_c_newinc","PUBLISHED","2003","EUR","","BLR","5963","5963.00000","","",""
"TB_c_newinc","PUBLISHED","2010","EUR","","BLR","5098","5098.00000","","",""
"TB_c_newinc","PUBLISHED","2012","EUR","","BLR","4783","4783.00000","","",""
"TB_c_newinc","PUBLISHED","2019","EUR","","BLR","2207","2207.00000","","",""
"TB_c_newinc","PUBLISHED","2001","AMR","","BLZ","136","136.00000","","",""
"TB_c_newinc","PUBLISHED","2006","AMR","","BLZ","85","85.00000","","",""
"TB_c_newinc","PUBLISHED","2008","AMR","","BLZ","88","88.00000","","",""
"TB_c_newinc","PUBLISHED","2015","AMR","","BLZ","78","78.00000","","",""
"TB_c_newinc","PUBLISHED","2017","AMR","","BLZ","117","117.00000","","",""
"TB_c_newinc","PUBLISHED","2004","AMR","","BOL","9801","9801.00000","","",""
"TB_c_newinc","PUBLISHED","2006","AMR","","BOL","9014","9014.00000","","",""
"TB_c_newinc","PUBLISHED","2011","AMR","","BOL","8521","8521.00000","","",""
"TB_c_newinc","PUBLISHED","2013","AMR","","BOL","8327","8327.00000","","",""
"TB_c_newinc","PUBLISHED","2000","AMR","","BRA","77899","77899.00000","","",""
"TB_c_newinc","PUBLISHED","2002","AMR","","BRA","81436","81436.00000","","",""
"TB_c_newinc","PUBLISHED","2009","AMR","","BRA","76348","76348.00000","","",""
"TB_c_newinc","PUBLISHED","2011","AMR","","BRA","76246","76246.00000","","",""
"TB_c_newinc","PUBLISHED","2016","AMR","","BRA","76298","76298.00000","","",""
"TB_c_newinc","PUBLISHED","2018","AMR","","BRA","83180","83180.00000","","",""
"TB_c_newinc","PUBLISHED","2000","AMR","","BRB","3","3.00000","","",""
"TB_c_newinc","PUBLISHED","2007","AMR","","BRB","16","16.00000","","",""
"TB_c_newinc","PUBLISHED","2009","AMR","","BRB","2","2.00000","","",""
"TB_c_newinc","PUBLISHED","2016","AMR","","BRB","3","3.00000","","",""
"TB_c_newinc","PUBLISHED","2018","AMR","","BRB","1","1.00000","","",""
"TB_c_newinc","PUBLISHED","2003","WPR","","BRN","209","209.00000","","",""
"TB_c_newinc","PUBLISHED","2005","WPR","","BRN","163","163.00000","","",""
"TB_c_newinc","PUBLISHED","2007","WPR","","BRN","209","209.00000","","",""
"TB_c_newinc","PUBLISHED","2012","WPR","","BRN","243","243.00000","","",""
"TB_c_newinc","PUBLISHED","2014","WPR","","BRN","198","198.00000","","",""
"TB_c_newinc","PUBLISHED","2001","SEAR","","BTN","1037","1037.00000","","",""
"TB_c_newinc","PUBLISHED","2003","SEAR","","BTN","1026","1026.00000","","",""
"TB_c_newinc","PUBLISHED","2008","SEAR","","BTN","961","961.00000","","",""
"TB_c_newinc","PUBLISHED","2010","SEAR","","BTN","1311","1311.00000","","",""
