"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","Display Value","Numeric","Low","High","Comments"
"TB_c_notified","PUBLISHED","2014","AFR","WB_UMI","AGO"," 55 206","55206.00000","","",""
"TB_c_notified","PUBLISHED","2013","AFR","WB_UMI","AGO"," 60 807","60807.00000","","",""
"TB_c_notified","PUBLISHED","2012","AFR","WB_UMI","AGO"," 53 426","53426.00000","","",""
"TB_c_notified","PUBLISHED","2011","AFR","WB_UMI","AGO"," 48 926","48926.00000","","",""
"TB_c_notified","PUBLISHED","2013","EUR","WB_HI","AND","5","5.00000","","",""
"TB_c_notified","PUBLISHED","2012","EUR","WB_HI","AND","9","9.00000","","",""
"TB_c_notified","PUBLISHED","2011","EUR","WB_HI","AND","4","4.00000","","",""
"TB_c_notified","PUBLISHED","2010","EUR","WB_HI","AND","7","7.00000","","",""
"TB_c_notified","PUBLISHED","2009","EMR","WB_HI","ARE","116","116.00000","","",""
"TB_c_notified","PUBLISHED","2008","EMR","WB_HI","ARE","93","93.00000","","",""
"TB_c_notified","PUBLISHED","2007","EMR","WB_HI","ARE","97","97.00000","","",""
"TB_c_notified","PUBLISHED","2006","EMR","WB_HI","ARE","90","90.00000","","",""
"TB_c_notified","PUBLISHED","2004","AMR","WB_HI","ARG"," 12 079","12079.00000","","",""
"TB_c_notified","PUBLISHED","2003","AMR","WB_HI","ARG"," 12 278","12278.00000","","",""
"TB_c_notified","PUBLISHED","2014","EUR","WB_LMI","ARM"," 1 342","1342.00000","","",""
"TB_c_notified","PUBLISHED","2013","EUR","WB_LMI","ARM"," 1 417","1417.00000","","",""
"TB_c_notified","PUBLISHED","2011","AMR","WB_HI","ATG","8","8.00000","","",""
"TB_c_notified","PUBLISHED","2010","AMR","WB_HI","ATG","7","7.00000","","",""
"TB_c_notified","PUBLISHED","2009","AMR","WB_HI","ATG","4","4.00000","","",""
"TB_c_notified","PUBLISHED","2008","AMR","WB_HI","ATG","1","1.00000","","",""
"TB_c_notified","PUBLISHED","2006","WPR","WB_HI","AUS"," 1 203","1203.00000","","",""
"TB_c_notified","PUBLISHED","2005","WPR","WB_HI","AUS"," 1 073","1073.00000","","",""
"TB_c_notified","PUBLISHED","2004","WPR","WB_HI","AUS"," 1 082","1082.00000","","",""
"TB_c_notified","PUBLISHED","2003","WPR","WB_HI","AUS","949","949.00000","","",""
"TB_c_notified","PUBLISHED","2014","EUR","WB_HI","AUT","582","582.00000","","",""
"TB_c_notified","PUBLISHED","2012","EUR","WB_UMI","AZE"," 8 140","8140.00000","","",""
"TB_c_notified","PUBLISHED","2011","EUR","WB_UMI","AZE"," 10 100","10100.00000","","",""
"TB_c_notified","PUBLISHED","2010","EUR","WB_UMI","AZE"," 8 394","8394.00000","","",""
"TB_c_notified","PUBLISHED","2009","EUR","WB_UMI","AZE"," 10 417","10417.00000","","",""
"TB_c_notified","PUBLISHED","2007","AFR","WB_LI","BDI"," 6 343","6343.00000","","",""
"TB_c_notified","PUBLISHED","2006","AFR","WB_LI","BDI"," 6 176","6176.00000","","",""
"TB_c_notified","PUBLISHED","2005","AFR","WB_LI","BDI"," 6 627","6627.00000","","",""
"TB_c_notified","PUBLISHED","2004","AFR","WB_LI","BDI"," 6 886","6886.00000","","",""
"TB_c_notified","PUBLISHED","2014","AFR","WB_LI","BEN"," 3 977","3977.00000","","",""
"TB_c_notified","PUBLISHED","2013","AFR","WB_LI","BEN"," 3 957","3957.00000","","",""
"TB_c_notified","PUBLISHED","2012","AFR","WB_LI","BEN"," 4 075","4075.00000","","",""
"TB_c_notified","PUBLISHED","2011","AFR","WB_LI","BEN"," 4 320","4320.00000","","",""
"TB_c_notified","PUBLISHED","2010","AFR","WB_LI","BFA"," 5 135","5135.00000","","",""
"TB_c_notified","PUBLISHED","2009","AFR","WB_LI","BFA"," 5 111","5111.00000","","",""
"TB_c_notified","PUBLISHED","2008","AFR","WB_LI","BFA"," 4 549","4549.00000","","",""
"TB_c_notified","PUBLISHED","2007","AFR","WB_LI","BFA"," 4 219","4219.00000","","",""
"TB_c_notified","PUBLISHED","2005","SEAR","WB_LMI","BGD"," 123 118","123118.00000","","",""
"TB_c_notified","PUBLISHED","2004","SEAR","WB_LMI","BGD"," 99 428","99428.00000","","",""
"TB_c_notified","PUBLISHED","2003","SEAR","WB_LMI","BGD"," 88 156","88156.00000","","",""
"TB_c_notified","PUBLISHED","2014","EUR","WB_UMI","BGR"," 1 872","1872.00000","","",""
"TB_c_notified","PUBLISHED","2011","EMR","WB_HI","BHR","225","225.00000","","",""
"TB_c_notified","PUBLISHED","2010","EMR","WB_HI","BHR","246","246.00000","","",""
"TB_c_notified","PUBLISHED","2009","EMR","WB_HI","BHR","326","326.00000","","",""
"TB_c_notified","PUBLISHED","2008","EMR","WB_HI","BHR","304","304.00000","","",""
"TB_c_notified","PUBLISHED","2007","AMR","WB_HI","BHS","48","48.00000","","",""
"TB_c_notified","PUBLISHED","2006","AMR","WB_HI","BHS","64","64.00000","","",""
"TB_c_notified","PUBLISHED","2005","AMR","WB_HI","BHS","50","50.00000","","",""
"TB_c_notified","PUBLISHED","2004","AMR","WB_HI","BHS","53","53.00000","","",""
