"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","Display Value","Numeric","Low","High","Comments"
"TB_c_ret_tsr","PUBLISHED","1997","","WB_HI","","67","67.00000","","",""
"TB_c_ret_tsr","PUBLISHED","1999","","WB_HI","","50","50.00000","","",""
"TB_c_ret_tsr","PUBLISHED","2004","","WB_HI","","52","52.00000","","",""
"TB_c_ret_tsr","PUBLISHED","2006","","WB_HI","","56","56.00000","","",""
"TB_c_ret_tsr","PUBLISHED","2013","","WB_HI","","64","64.00000","","",""
"TB_c_ret_tsr","PUBLISHED","2015","","WB_HI","","67","67.00000","","",""
"TB_c_ret_tsr","PUBLISHED","1998","","WB_LI","","47","47.00000","","",""
"TB_c_ret_tsr","PUBLISHED","2000","","WB_LI","","69","69.00000","","",""
"TB_c_ret_tsr","PUBLISHED","2005","","WB_LI","","73","73.00000","","",""
"TB_c_ret_tsr","PUBLISHED","2007","","WB_LI","","75","75.00000","","",""
"TB_c_ret_tsr","PUBLISHED","2014","","WB_LI","","76","76.00000","","",""
"TB_c_ret_tsr","PUBLISHED","2016","","WB_LI","","76","76.00000","","",""
"TB_c_ret_tsr","PUBLISHED","1999","","WB_LMI","","72","72.00000","","",""
"TB_c_ret_tsr","PUBLISHED","2001","","WB_LMI","","62","62.00000","","",""
"TB_c_ret_tsr","PUBLISHED","2006","","WB_LMI","","71","71.00000","","",""
"TB_c_ret_tsr","PUBLISHED","2008","","WB_LMI","","73","73.00000","","",""
"TB_c_ret_tsr","PUBLISHED","2010","","WB_LMI","","74","74.00000","","",""
"TB_c_ret_tsr","PUBLISHED","2015","","WB_LMI","","71","71.00000","","",""
"TB_c_ret_tsr","PUBLISHED","2017","","WB_LMI","","61","61.00000","","",""
"TB_c_ret_tsr","PUBLISHED","2000","","WB_UMI","","71","71.00000","","",""
"TB_c_ret_tsr","PUBLISHED","2002","","WB_UMI","","73","73.00000","","",""
"TB_c_ret_tsr","PUBLISHED","2007","","WB_UMI","","69","69.00000","","",""
"TB_c_ret_tsr","PUBLISHED","2009","","WB_UMI","","68","68.00000","","",""
"TB_c_ret_tsr","PUBLISHED","2011","","WB_UMI","","67","67.00000","","",""
"TB_c_ret_tsr","PUBLISHED","2016","","WB_UMI","","59","59.00000","","",""
"TB_c_ret_tsr","PUBLISHED","2018","","WB_UMI","","58","58.00000","","",""
"TB_c_ret_tsr","PUBLISHED","1996","AFR","","","56","56.00000","","",""
"TB_c_ret_tsr","PUBLISHED","1998","AFR","","","56","56.00000","","",""
"TB_c_ret_tsr","PUBLISHED","2005","AFR","","","62","62.00000","","",""
"TB_c_ret_tsr","PUBLISHED","2007","AFR","","","67","67.00000","","",""
"TB_c_ret_tsr","PUBLISHED","2012","AFR","","","48","48.00000","","",""
