"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","Display Value","Numeric","Low","High","Comments"
"TB_e_inc_tbhiv_100k","PUBLISHED","2001","","WB_LMI","","33","33.00000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2007","","WB_LMI","","31","31.00000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2010","","WB_HI","","0.59","0.59000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2007","","WB_UMI","","20","20.00000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2018","","WB_LI","","26","26.00000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2004","","WB_LMI","","29","29.00000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2007","","WB_HI","","0.65","0.65000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2004","","WB_UMI","","19","19.00000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2013","","WB_HI","","0.45","0.45000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2001","","WB_LI","","69","69.00000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2010","","WB_UMI","","20","20.00000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2016","","WB_UMI","","14","14.00000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2013","","WB_LMI","","22","22.00000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2019","","WB_HI","","0.35","0.35000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2016","","WB_HI","","0.45","0.45000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2004","","WB_LI","","56","56.00000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2010","","WB_LI","","50","50.00000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2013","","WB_UMI","","18","18.00000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2010","","WB_LMI","","26","26.00000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2007","","WB_LI","","48","48.00000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2019","","WB_LI","","24","24.00000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2002","","WB_HI","","1.4","1.40000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2008","","WB_HI","","0.66","0.66000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2005","","WB_UMI","","20","20.00000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2019","","WB_UMI","","11","11.00000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2016","","WB_LI","","31","31.00000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2005","","WB_HI","","0.89","0.89000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2019","","WB_LMI","","12","12.00000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2016","","WB_LMI","","16","16.00000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2002","","WB_UMI","","17","17.00000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2013","","WB_LI","","39","39.00000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2005","","WB_LMI","","30","30.00000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2014","","WB_HI","","0.44","0.44000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2002","","WB_LI","","62","62.00000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2011","","WB_UMI","","20","20.00000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2002","","WB_LMI","","31","31.00000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2008","","WB_LMI","","29","29.00000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2011","","WB_HI","","0.57","0.57000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2005","","WB_LI","","56","56.00000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2008","","WB_UMI","","20","20.00000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2011","","WB_LMI","","25","25.00000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2017","","WB_HI","","0.41","0.41000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2008","","WB_LI","","48","48.00000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2000","","WB_HI","","1.8","1.80000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2014","","WB_LI","","36","36.00000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2017","","WB_UMI","","13","13.00000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2003","","WB_HI","","1.3","1.30000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2000","","WB_UMI","","15","15.00000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2014","","WB_LMI","","20","20.00000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2017","","WB_LMI","","15","15.00000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2011","","WB_LI","","47","47.00000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2014","","WB_UMI","","17","17.00000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2017","","WB_LI","","26","26.00000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2003","","WB_LMI","","30","30.00000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2006","","WB_HI","","0.75","0.75000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2000","","WB_LI","","77","77.00000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2003","","WB_UMI","","18","18.00000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2009","","WB_HI","","0.77","0.77000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2006","","WB_UMI","","20","20.00000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2000","","WB_LMI","","35","35.00000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2009","","WB_LMI","","28","28.00000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2012","","WB_HI","","0.53","0.53000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2006","","WB_LI","","58","58.00000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2009","","WB_UMI","","20","20.00000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2015","","WB_UMI","","15","15.00000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2006","","WB_LMI","","31","31.00000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2012","","WB_LMI","","24","24.00000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2018","","WB_HI","","0.38","0.38000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2015","","WB_HI","","0.44","0.44000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2003","","WB_LI","","58","58.00000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2012","","WB_UMI","","19","19.00000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2004","","WB_HI","","1","1.00000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2015","","WB_LMI","","18","18.00000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2018","","WB_LMI","","14","14.00000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2001","","WB_UMI","","16","16.00000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2012","","WB_LI","","42","42.00000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2001","","WB_HI","","1.6","1.60000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2009","","WB_LI","","52","52.00000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2015","","WB_LI","","33","33.00000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2018","","WB_UMI","","12","12.00000","","",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2000","AFR","","","159 [132-189]","159.00000","132.00000","189.00000",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2001","AFR","","","154 [126-184]","154.00000","126.00000","184.00000",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2002","AFR","","","150 [122-182]","150.00000","122.00000","182.00000",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2003","AFR","","","150 [121-183]","150.00000","121.00000","183.00000",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2004","AFR","","","150 [119-184]","150.00000","119.00000","184.00000",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2005","AFR","","","152 [121-187]","152.00000","121.00000","187.00000",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2006","AFR","","","155 [124-189]","155.00000","124.00000","189.00000",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2007","AFR","","","145 [115-178]","145.00000","115.00000","178.00000",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2008","AFR","","","142 [117-170]","142.00000","117.00000","170.00000",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2009","AFR","","","140 [116-167]","140.00000","116.00000","167.00000",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2010","AFR","","","132 [109-158]","132.00000","109.00000","158.00000",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2011","AFR","","","124 [109-140]","124.00000","109.00000","140.00000",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2012","AFR","","","115 [99-133]","115.00000","99.00000","133.00000",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2013","AFR","","","105 [90-122]","105.00000","90.00000","122.00000",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2014","AFR","","","97 [83-113]","97.00000","83.00000","113.00000",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2015","AFR","","","87 [74-100]","87.00000","74.00000","100.00000",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2016","AFR","","","77 [66-88]","77.00000","66.00000","88.00000",""
"TB_e_inc_tbhiv_100k","PUBLISHED","2017","AFR","","","69 [59-79]","69.00000","59.00000","79.00000",""
