"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","Display Value","Numeric","Low","High","Comments"
"TB_e_inc_tbhiv_num","PUBLISHED","2001","","WB_LMI","","714000","714000.00000","","",""
"TB_e_inc_tbhiv_num","PUBLISHED","2007","","WB_LMI","","757000","757000.00000","","",""
"TB_e_inc_tbhiv_num","PUBLISHED","2010","","WB_HI","","6800","6800.00000","","",""
"TB_e_inc_tbhiv_num","PUBLISHED","2007","","WB_UMI","","531000","531000.00000","","",""
"TB_e_inc_tbhiv_num","PUBLISHED","2018","","WB_LI","","167000","167000.00000","","",""
"TB_e_inc_tbhiv_num","PUBLISHED","2004","","WB_LMI","","681000","681000.00000","","",""
"TB_e_inc_tbhiv_num","PUBLISHED","2007","","WB_HI","","7300","7300.00000","","",""
"TB_e_inc_tbhiv_num","PUBLISHED","2004","","WB_UMI","","480000","480000.00000","","",""
"TB_e_inc_tbhiv_num","PUBLISHED","2013","","WB_HI","","5300","5300.00000","","",""
"TB_e_inc_tbhiv_num","PUBLISHED","2001","","WB_LI","","284000","284000.00000","","",""
"TB_e_inc_tbhiv_num","PUBLISHED","2010","","WB_UMI","","533000","533000.00000","","",""
"TB_e_inc_tbhiv_num","PUBLISHED","2016","","WB_UMI","","384000","384000.00000","","",""
"TB_e_inc_tbhiv_num","PUBLISHED","2013","","WB_LMI","","597000","597000.00000","","",""
"TB_e_inc_tbhiv_num","PUBLISHED","2019","","WB_HI","","4200","4200.00000","","",""
"TB_e_inc_tbhiv_num","PUBLISHED","2016","","WB_HI","","5300","5300.00000","","",""
"TB_e_inc_tbhiv_num","PUBLISHED","2004","","WB_LI","","250000","250000.00000","","",""
"TB_e_inc_tbhiv_num","PUBLISHED","2010","","WB_LI","","266000","266000.00000","","",""
"TB_e_inc_tbhiv_num","PUBLISHED","2013","","WB_UMI","","488000","488000.00000","","",""
"TB_e_inc_tbhiv_num","PUBLISHED","2010","","WB_LMI","","666000","666000.00000","","",""
"TB_e_inc_tbhiv_num","PUBLISHED","2007","","WB_LI","","237000","237000.00000","","",""
"TB_e_inc_tbhiv_num","PUBLISHED","2019","","WB_LI","","162000","162000.00000","","",""
"TB_e_inc_tbhiv_num","PUBLISHED","2002","","WB_HI","","16000","16000.00000","","",""
"TB_e_inc_tbhiv_num","PUBLISHED","2008","","WB_HI","","7500","7500.00000","","",""
"TB_e_inc_tbhiv_num","PUBLISHED","2005","","WB_UMI","","507000","507000.00000","","",""
"TB_e_inc_tbhiv_num","PUBLISHED","2019","","WB_UMI","","308000","308000.00000","","",""
"TB_e_inc_tbhiv_num","PUBLISHED","2016","","WB_LI","","189000","189000.00000","","",""
"TB_e_inc_tbhiv_num","PUBLISHED","2005","","WB_HI","","9900","9900.00000","","",""
"TB_e_inc_tbhiv_num","PUBLISHED","2019","","WB_LMI","","339000","339000.00000","","",""
"TB_e_inc_tbhiv_num","PUBLISHED","2016","","WB_LMI","","448000","448000.00000","","",""
"TB_e_inc_tbhiv_num","PUBLISHED","2002","","WB_UMI","","426000","426000.00000","","",""
"TB_e_inc_tbhiv_num","PUBLISHED","2013","","WB_LI","","224000","224000.00000","","",""
"TB_e_inc_tbhiv_num","PUBLISHED","2005","","WB_LMI","","709000","709000.00000","","",""
"TB_e_inc_tbhiv_num","PUBLISHED","2014","","WB_HI","","5200","5200.00000","","",""
"TB_e_inc_tbhiv_num","PUBLISHED","2002","","WB_LI","","263000","263000.00000","","",""
"TB_e_inc_tbhiv_num","PUBLISHED","2011","","WB_UMI","","535000","535000.00000","","",""
"TB_e_inc_tbhiv_num","PUBLISHED","2002","","WB_LMI","","682000","682000.00000","","",""
"TB_e_inc_tbhiv_num","PUBLISHED","2008","","WB_LMI","","718000","718000.00000","","",""
"TB_e_inc_tbhiv_num","PUBLISHED","2011","","WB_HI","","6600","6600.00000","","",""
"TB_e_inc_tbhiv_num","PUBLISHED","2005","","WB_LI","","257000","257000.00000","","",""
"TB_e_inc_tbhiv_num","PUBLISHED","2008","","WB_UMI","","533000","533000.00000","","",""
"TB_e_inc_tbhiv_num","PUBLISHED","2011","","WB_LMI","","645000","645000.00000","","",""
"TB_e_inc_tbhiv_num","PUBLISHED","2017","","WB_HI","","4900","4900.00000","","",""
"TB_e_inc_tbhiv_num","PUBLISHED","2008","","WB_LI","","242000","242000.00000","","",""
"TB_e_inc_tbhiv_num","PUBLISHED","2000","","WB_HI","","19000","19000.00000","","",""
"TB_e_inc_tbhiv_num","PUBLISHED","2014","","WB_LI","","213000","213000.00000","","",""
"TB_e_inc_tbhiv_num","PUBLISHED","2017","","WB_UMI","","360000","360000.00000","","",""
"TB_e_inc_tbhiv_num","PUBLISHED","2003","","WB_HI","","14000","14000.00000","","",""
"TB_e_inc_tbhiv_num","PUBLISHED","2000","","WB_UMI","","376000","376000.00000","","",""
"TB_e_inc_tbhiv_num","PUBLISHED","2014","","WB_LMI","","550000","550000.00000","","",""
"TB_e_inc_tbhiv_num","PUBLISHED","2017","","WB_LMI","","412000","412000.00000","","",""
"TB_e_inc_tbhiv_num","PUBLISHED","2011","","WB_LI","","254000","254000.00000","","",""
"TB_e_inc_tbhiv_num","PUBLISHED","2014","","WB_UMI","","474000","474000.00000","","",""
"TB_e_inc_tbhiv_num","PUBLISHED","2017","","WB_LI","","168000","168000.00000","","",""
"TB_e_inc_tbhiv_num","PUBLISHED","2003","","WB_LMI","","678000","678000.00000","","",""
"TB_e_inc_tbhiv_num","PUBLISHED","2006","","WB_HI","","8400","8400.00000","","",""
"TB_e_inc_tbhiv_num","PUBLISHED","2000","","WB_LI","","310000","310000.00000","","",""
"TB_e_inc_tbhiv_num","PUBLISHED","2003","","WB_UMI","","454000","454000.00000","","",""
