"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","Display Value","Numeric","Low","High","Comments"
"TB_e_prev_num","PUBLISHED","2014","AMR","",""," 350 000 [ 270 000- 440 000]","350000.00000","270000.00000","440000.00000",""
"TB_e_prev_num","PUBLISHED","2012","AMR","",""," 360 000 [ 280 000- 450 000]","360000.00000","280000.00000","450000.00000",""
"TB_e_prev_num","PUBLISHED","2013","AMR","",""," 360 000 [ 280 000- 450 000]","360000.00000","280000.00000","450000.00000",""
"TB_e_prev_num","PUBLISHED","2010","AMR","",""," 370 000 [ 290 000- 460 000]","370000.00000","290000.00000","460000.00000",""
"TB_e_prev_num","PUBLISHED","2008","AMR","",""," 370 000 [ 290 000- 460 000]","370000.00000","290000.00000","460000.00000",""
"TB_e_prev_num","PUBLISHED","2011","AMR","",""," 370 000 [ 290 000- 460 000]","370000.00000","290000.00000","460000.00000",""
"TB_e_prev_num","PUBLISHED","2007","AMR","",""," 380 000 [ 300 000- 480 000]","380000.00000","300000.00000","480000.00000",""
"TB_e_prev_num","PUBLISHED","2009","AMR","",""," 380 000 [ 300 000- 470 000]","380000.00000","300000.00000","470000.00000",""
"TB_e_prev_num","PUBLISHED","2006","AMR","",""," 390 000 [ 310 000- 490 000]","390000.00000","310000.00000","490000.00000",""
"TB_e_prev_num","PUBLISHED","2005","AMR","",""," 400 000 [ 310 000- 490 000]","400000.00000","310000.00000","490000.00000",""
"TB_e_prev_num","PUBLISHED","2004","AMR","",""," 410 000 [ 320 000- 500 000]","410000.00000","320000.00000","500000.00000",""
"TB_e_prev_num","PUBLISHED","2003","AMR","",""," 410 000 [ 330 000- 510 000]","410000.00000","330000.00000","510000.00000",""
"TB_e_prev_num","PUBLISHED","2014","EUR","",""," 440 000 [ 330 000- 560 000]","440000.00000","330000.00000","560000.00000",""
"TB_e_prev_num","PUBLISHED","2002","AMR","",""," 430 000 [ 340 000- 530 000]","430000.00000","340000.00000","530000.00000",""
"TB_e_prev_num","PUBLISHED","2013","EUR","",""," 460 000 [ 340 000- 590 000]","460000.00000","340000.00000","590000.00000",""
"TB_e_prev_num","PUBLISHED","2001","AMR","",""," 440 000 [ 350 000- 540 000]","440000.00000","350000.00000","540000.00000",""
"TB_e_prev_num","PUBLISHED","2000","AMR","",""," 450 000 [ 360 000- 560 000]","450000.00000","360000.00000","560000.00000",""
"TB_e_prev_num","PUBLISHED","2012","EUR","",""," 470 000 [ 360 000- 610 000]","470000.00000","360000.00000","610000.00000",""
"TB_e_prev_num","PUBLISHED","1999","AMR","",""," 470 000 [ 370 000- 580 000]","470000.00000","370000.00000","580000.00000",""
"TB_e_prev_num","PUBLISHED","2011","EUR","",""," 510 000 [ 380 000- 650 000]","510000.00000","380000.00000","650000.00000",""
"TB_e_prev_num","PUBLISHED","1998","AMR","",""," 490 000 [ 390 000- 600 000]","490000.00000","390000.00000","600000.00000",""
"TB_e_prev_num","PUBLISHED","1997","AMR","",""," 500 000 [ 400 000- 620 000]","500000.00000","400000.00000","620000.00000",""
"TB_e_prev_num","PUBLISHED","1996","AMR","",""," 520 000 [ 410 000- 640 000]","520000.00000","410000.00000","640000.00000",""
"TB_e_prev_num","PUBLISHED","2010","EUR","",""," 540 000 [ 410 000- 690 000]","540000.00000","410000.00000","690000.00000",""
"TB_e_prev_num","PUBLISHED","1995","AMR","",""," 530 000 [ 430 000- 650 000]","530000.00000","430000.00000","650000.00000",""
"TB_e_prev_num","PUBLISHED","1994","AMR","",""," 550 000 [ 440 000- 670 000]","550000.00000","440000.00000","670000.00000",""
"TB_e_prev_num","PUBLISHED","1993","AMR","",""," 570 000 [ 450 000- 690 000]","570000.00000","450000.00000","690000.00000",""
"TB_e_prev_num","PUBLISHED","2009","EUR","",""," 580 000 [ 450 000- 740 000]","580000.00000","450000.00000","740000.00000",""
