"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"TB_effective_treatment_coverage","PUBLISHED","2016","AMR","ATG","44","44.00000","","",""
"TB_effective_treatment_coverage","PUBLISHED","2010","AMR","BLZ","0","0.00000","","",""
"TB_effective_treatment_coverage","PUBLISHED","2001","WPR","COK","0","0.00000","","",""
"TB_effective_treatment_coverage","PUBLISHED","2004","WPR","COK","0","0.00000","","",""
"TB_effective_treatment_coverage","PUBLISHED","2011","WPR","COK","0","0.00000","","",""
"TB_effective_treatment_coverage","PUBLISHED","2012","WPR","COK","0","0.00000","","",""
"TB_effective_treatment_coverage","PUBLISHED","2014","WPR","COK","0","0.00000","","",""
"TB_effective_treatment_coverage","PUBLISHED","2016","AFR","DZA","72","72.00000","","",""
"TB_effective_treatment_coverage","PUBLISHED","2012","AMR","GRD","87","87.00000","","",""
"TB_effective_treatment_coverage","PUBLISHED","2002","AMR","KNA","0","0.00000","","",""
"TB_effective_treatment_coverage","PUBLISHED","2004","AMR","KNA","0","0.00000","","",""
"TB_effective_treatment_coverage","PUBLISHED","2016","SEAR","PRK","78","78.00000","","",""
"TB_effective_treatment_coverage","PUBLISHED","2000","EMR","SDN","43","43.00000","","",""
"TB_effective_treatment_coverage","PUBLISHED","2001","EMR","SDN","44","44.00000","","",""
"TB_effective_treatment_coverage","PUBLISHED","2002","EMR","SDN","43","43.00000","","",""
"TB_effective_treatment_coverage","PUBLISHED","2003","EMR","SDN","46","46.00000","","",""
"TB_effective_treatment_coverage","PUBLISHED","2004","EMR","SDN","46","46.00000","","",""
"TB_effective_treatment_coverage","PUBLISHED","2005","EMR","SDN","47","47.00000","","",""
"TB_effective_treatment_coverage","PUBLISHED","2006","EMR","SDN","52","52.00000","","",""
"TB_effective_treatment_coverage","PUBLISHED","2007","EMR","SDN","47","47.00000","","",""
"TB_effective_treatment_coverage","PUBLISHED","2008","EMR","SDN","40","40.00000","","",""
"TB_effective_treatment_coverage","PUBLISHED","2009","EMR","SDN","42","42.00000","","",""
"TB_effective_treatment_coverage","PUBLISHED","2000","EUR","SMR","0","0.00000","","",""
"TB_effective_treatment_coverage","PUBLISHED","2009","AMR","VCT","0","0.00000","","",""
"TB_effective_treatment_coverage","PUBLISHED","2010","AMR","VCT","0","0.00000","","",""
"TB_effective_treatment_coverage","PUBLISHED","1999","AFR","ZWE","51.8","51.80000","","",""
"TB_effective_treatment_coverage","PUBLISHED","2000","AFR","ZWE","52.4","52.40000","","",""
"TB_effective_treatment_coverage","PUBLISHED","2001","AFR","ZWE","56.8","56.80000","","",""
"TB_effective_treatment_coverage","PUBLISHED","2002","AFR","ZWE","51.6","51.60000","","",""
