"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","Display Value","Numeric","Low","High","Comments"
"TB_hivtest_pct","PUBLISHED","2004","","WB_HI","","37","37.00000","","",""
"TB_hivtest_pct","PUBLISHED","2011","","WB_HI","","53","53.00000","","",""
"TB_hivtest_pct","PUBLISHED","2013","","WB_HI","","52","52.00000","","",""
"TB_hivtest_pct","PUBLISHED","2003","","WB_LI","","4.8","4.80000","","",""
"TB_hivtest_pct","PUBLISHED","2005","","WB_LI","","11","11.00000","","",""
"TB_hivtest_pct","PUBLISHED","2010","","WB_LI","","49","49.00000","","",""
"TB_hivtest_pct","PUBLISHED","2012","","WB_LI","","58","58.00000","","",""
"TB_hivtest_pct","PUBLISHED","2014","","WB_LI","","65","65.00000","","",""
"TB_hivtest_pct","PUBLISHED","2019","","WB_LI","","79","79.00000","","",""
"TB_hivtest_pct","PUBLISHED","2004","","WB_LMI","","16","16.00000","","",""
"TB_hivtest_pct","PUBLISHED","2011","","WB_LMI","","41","41.00000","","",""
"TB_hivtest_pct","PUBLISHED","2013","","WB_LMI","","49","49.00000","","",""
"TB_hivtest_pct","PUBLISHED","2018","","WB_LMI","","62","62.00000","","",""
"TB_hivtest_pct","PUBLISHED","2003","","WB_UMI","","21","21.00000","","",""
"TB_hivtest_pct","PUBLISHED","2005","","WB_UMI","","36","36.00000","","",""
"TB_hivtest_pct","PUBLISHED","2010","","WB_UMI","","31","31.00000","","",""
"TB_hivtest_pct","PUBLISHED","2012","","WB_UMI","","46","46.00000","","",""
"TB_hivtest_pct","PUBLISHED","2019","","WB_UMI","","67","67.00000","","",""
"TB_hivtest_pct","PUBLISHED","2004","AFR","","","7.6","7.60000","","",""
"TB_hivtest_pct","PUBLISHED","2011","AFR","","","70","70.00000","","",""
"TB_hivtest_pct","PUBLISHED","2013","AFR","","","79","79.00000","","",""
"TB_hivtest_pct","PUBLISHED","2018","AFR","","","87","87.00000","","",""
"TB_hivtest_pct","PUBLISHED","2003","AMR","","","46","46.00000","","",""
"TB_hivtest_pct","PUBLISHED","2010","AMR","","","54","54.00000","","",""
"TB_hivtest_pct","PUBLISHED","2012","AMR","","","62","62.00000","","",""
"TB_hivtest_pct","PUBLISHED","2019","AMR","","","80","80.00000","","",""
"TB_hivtest_pct","PUBLISHED","2004","EMR","","","9.2","9.20000","","",""
"TB_hivtest_pct","PUBLISHED","2009","EMR","","","11","11.00000","","",""
"TB_hivtest_pct","PUBLISHED","2011","EMR","","","11","11.00000","","",""
"TB_hivtest_pct","PUBLISHED","2018","EMR","","","30","30.00000","","",""
"TB_hivtest_pct","PUBLISHED","2003","EUR","","","79","79.00000","","",""
"TB_hivtest_pct","PUBLISHED","2010","EUR","","","58","58.00000","","",""
"TB_hivtest_pct","PUBLISHED","2012","EUR","","","64","64.00000","","",""
"TB_hivtest_pct","PUBLISHED","2017","EUR","","","91","91.00000","","",""
"TB_hivtest_pct","PUBLISHED","2019","EUR","","","92","92.00000","","",""
"TB_hivtest_pct","PUBLISHED","2009","SEAR","","","14","14.00000","","",""
"TB_hivtest_pct","PUBLISHED","2011","SEAR","","","34","34.00000","","",""
"TB_hivtest_pct","PUBLISHED","2018","SEAR","","","61","61.00000","","",""
"TB_hivtest_pct","PUBLISHED","2003","WPR","","","14","14.00000","","",""
"TB_hivtest_pct","PUBLISHED","2008","WPR","","","11","11.00000","","",""
"TB_hivtest_pct","PUBLISHED","2010","WPR","","","20","20.00000","","",""
"TB_hivtest_pct","PUBLISHED","2017","WPR","","","51","51.00000","","",""
"TB_hivtest_pct","PUBLISHED","2019","WPR","","","58","58.00000","","",""
"TB_hivtest_pct","PUBLISHED","2012","EMR","","AFG","25","25.00000","","",""
"TB_hivtest_pct","PUBLISHED","2014","EMR","","AFG","32","32.00000","","",""
"TB_hivtest_pct","PUBLISHED","2007","AFR","","AGO","9","9.00000","","",""
"TB_hivtest_pct","PUBLISHED","2010","AFR","","AGO","4.9","4.90000","","",""
"TB_hivtest_pct","PUBLISHED","2015","AFR","","AGO","23","23.00000","","",""
"TB_hivtest_pct","PUBLISHED","2017","AFR","","AGO","59","59.00000","","",""
"TB_hivtest_pct","PUBLISHED","2019","AFR","","AGO","79","79.00000","","",""
"TB_hivtest_pct","PUBLISHED","2008","EUR","","ALB","41","41.00000","","",""
"TB_hivtest_pct","PUBLISHED","2010","EUR","","ALB","42","42.00000","","",""
"TB_hivtest_pct","PUBLISHED","2017","EUR","","ALB","47","47.00000","","",""
