"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","Display Value","Numeric","Low","High","Comments"
"TB_hivtest_pos_pct","PUBLISHED","2003","","WB_HI","","11","11.00000","","",""
"TB_hivtest_pos_pct","PUBLISHED","2010","","WB_HI","","5.2","5.20000","","",""
"TB_hivtest_pos_pct","PUBLISHED","2012","","WB_HI","","5.6","5.60000","","",""
"TB_hivtest_pos_pct","PUBLISHED","2019","","WB_HI","","4.4","4.40000","","",""
"TB_hivtest_pos_pct","PUBLISHED","2004","","WB_LI","","69","69.00000","","",""
"TB_hivtest_pos_pct","PUBLISHED","2009","","WB_LI","","33","33.00000","","",""
"TB_hivtest_pos_pct","PUBLISHED","2011","","WB_LI","","27","27.00000","","",""
"TB_hivtest_pos_pct","PUBLISHED","2018","","WB_LI","","17","17.00000","","",""
"TB_hivtest_pos_pct","PUBLISHED","2003","","WB_LMI","","13","13.00000","","",""
"TB_hivtest_pos_pct","PUBLISHED","2010","","WB_LMI","","22","22.00000","","",""
"TB_hivtest_pos_pct","PUBLISHED","2012","","WB_LMI","","15","15.00000","","",""
"TB_hivtest_pos_pct","PUBLISHED","2017","","WB_LMI","","8.6","8.60000","","",""
"TB_hivtest_pos_pct","PUBLISHED","2019","","WB_LMI","","6.2","6.20000","","",""
"TB_hivtest_pos_pct","PUBLISHED","2009","","WB_UMI","","25","25.00000","","",""
"TB_hivtest_pos_pct","PUBLISHED","2011","","WB_UMI","","30","30.00000","","",""
"TB_hivtest_pos_pct","PUBLISHED","2018","","WB_UMI","","14","14.00000","","",""
"TB_hivtest_pos_pct","PUBLISHED","2003","AFR","","","36","36.00000","","",""
"TB_hivtest_pos_pct","PUBLISHED","2008","AFR","","","47","47.00000","","",""
"TB_hivtest_pos_pct","PUBLISHED","2010","AFR","","","44","44.00000","","",""
"TB_hivtest_pos_pct","PUBLISHED","2017","AFR","","","32","32.00000","","",""
"TB_hivtest_pos_pct","PUBLISHED","2019","AFR","","","26","26.00000","","",""
"TB_hivtest_pos_pct","PUBLISHED","2009","AMR","","","16","16.00000","","",""
"TB_hivtest_pos_pct","PUBLISHED","2011","AMR","","","16","16.00000","","",""
"TB_hivtest_pos_pct","PUBLISHED","2016","AMR","","","11","11.00000","","",""
"TB_hivtest_pos_pct","PUBLISHED","2018","AMR","","","10","10.00000","","",""
"TB_hivtest_pos_pct","PUBLISHED","2008","EMR","","","4.7","4.70000","","",""
"TB_hivtest_pos_pct","PUBLISHED","2010","EMR","","","3.1","3.10000","","",""
"TB_hivtest_pos_pct","PUBLISHED","2017","EMR","","","1.3","1.30000","","",""
"TB_hivtest_pos_pct","PUBLISHED","2019","EMR","","","0.77","0.77000","","",""
"TB_hivtest_pos_pct","PUBLISHED","2007","EUR","","","2.9","2.90000","","",""
"TB_hivtest_pos_pct","PUBLISHED","2009","EUR","","","4.8","4.80000","","",""
"TB_hivtest_pos_pct","PUBLISHED","2016","EUR","","","14","14.00000","","",""
"TB_hivtest_pos_pct","PUBLISHED","2018","EUR","","","13","13.00000","","",""
"TB_hivtest_pos_pct","PUBLISHED","2009","SEAR","","","15","15.00000","","",""
"TB_hivtest_pos_pct","PUBLISHED","2011","SEAR","","","7.2","7.20000","","",""
"TB_hivtest_pos_pct","PUBLISHED","2016","SEAR","","","4.1","4.10000","","",""
"TB_hivtest_pos_pct","PUBLISHED","2018","SEAR","","","4.2","4.20000","","",""
"TB_hivtest_pos_pct","PUBLISHED","2008","WPR","","","7","7.00000","","",""
"TB_hivtest_pos_pct","PUBLISHED","2010","WPR","","","4.6","4.60000","","",""
"TB_hivtest_pos_pct","PUBLISHED","2017","WPR","","","2","2.00000","","",""
"TB_hivtest_pos_pct","PUBLISHED","2019","WPR","","","2","2.00000","","",""
"TB_hivtest_pos_pct","PUBLISHED","2012","EMR","","AFG","<0.1","","","",""
"TB_hivtest_pos_pct","PUBLISHED","2014","EMR","","AFG","<0.1","","","",""
"TB_hivtest_pos_pct","PUBLISHED","2009","AFR","","AGO","15","15.00000","","",""
"TB_hivtest_pos_pct","PUBLISHED","2011","AFR","","AGO","15","15.00000","","",""
"TB_hivtest_pos_pct","PUBLISHED","2018","AFR","","AGO","9.6","9.60000","","",""
"TB_hivtest_pos_pct","PUBLISHED","2005","EUR","","ALB","1.2","1.20000","","",""
"TB_hivtest_pos_pct","PUBLISHED","2011","EUR","","ALB","1.2","1.20000","","",""
"TB_hivtest_pos_pct","PUBLISHED","2013","EUR","","ALB","1.8","1.80000","","",""
"TB_hivtest_pos_pct","PUBLISHED","2013","EUR","","AND","100","100.00000","","",""
