"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","Display Value","Numeric","Low","High","Comments"
"TB_mdr","PUBLISHED","2007","AFR","WB_LI","BDI","26","26.00000","","",""
"TB_mdr","PUBLISHED","2009","AFR","WB_LI","BDI","0","0.00000","","",""
"TB_mdr","PUBLISHED","2005","AFR","WB_LI","BEN","28","28.00000","","",""
"TB_mdr","PUBLISHED","2008","AFR","WB_LI","BEN","4","4.00000","","",""
"TB_mdr","PUBLISHED","2010","AFR","WB_LI","BEN","15","15.00000","","",""
"TB_mdr","PUBLISHED","2005","AFR","WB_LI","BFA","3","3.00000","","",""
"TB_mdr","PUBLISHED","2012","AFR","WB_LI","BFA","38","38.00000","","",""
"TB_mdr","PUBLISHED","2011","AFR","WB_UMI","BWA","46","46.00000","","",""
"TB_mdr","PUBLISHED","2005","AFR","WB_LMI","CIV","47","47.00000","","",""
"TB_mdr","PUBLISHED","2009","AFR","WB_LMI","CIV","43","43.00000","","",""
"TB_mdr","PUBLISHED","2011","AFR","WB_LMI","CIV","30","30.00000","","",""
"TB_mdr","PUBLISHED","2008","AFR","WB_LI","COD","128","128.00000","","",""
"TB_mdr","PUBLISHED","2010","AFR","WB_LI","COD","87","87.00000","","",""
"TB_mdr","PUBLISHED","2011","AFR","WB_LI","ERI","11","11.00000","","",""
"TB_mdr","PUBLISHED","2011","AFR","WB_LI","ETH","212","212.00000","","",""
"TB_mdr","PUBLISHED","2007","AFR","WB_LI","GHA","7","7.00000","","",""
"TB_mdr","PUBLISHED","2010","AFR","WB_LI","GHA","4","4.00000","","",""
"TB_mdr","PUBLISHED","2005","AFR","WB_LI","GIN","20","20.00000","","",""
"TB_mdr","PUBLISHED","2007","AFR","WB_LI","GIN","37","37.00000","","",""
"TB_mdr","PUBLISHED","2007","AFR","WB_LI","GMB","0","0.00000","","",""
"TB_mdr","PUBLISHED","2009","AFR","WB_LI","GMB","0","0.00000","","",""
"TB_mdr","PUBLISHED","2011","AFR","WB_LI","GMB","0","0.00000","","",""
"TB_mdr","PUBLISHED","2012","AFR","WB_LI","GNB","6","6.00000","","",""
"TB_mdr","PUBLISHED","2006","AFR","WB_LI","KEN","89","89.00000","","",""
"TB_mdr","PUBLISHED","2008","AFR","WB_LI","KEN","102","102.00000","","",""
