"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","Display Value","Numeric","Low","High","Comments"
"TB_new_clindx","PUBLISHED","2016","","WB_HI","","22132","22132.00000","","",""
"TB_new_clindx","PUBLISHED","2018","","WB_HI","","16395","16395.00000","","",""
"TB_new_clindx","PUBLISHED","2018","","WB_LI","","235049","235049.00000","","",""
"TB_new_clindx","PUBLISHED","2013","","WB_LMI","","910418","910418.00000","","",""
"TB_new_clindx","PUBLISHED","2018","","WB_LMI","","1345974","1345974.00000","","",""
"TB_new_clindx","PUBLISHED","2013","","WB_UMI","","888687","888687.00000","","",""
"TB_new_clindx","PUBLISHED","2018","AFR","","","387653","387653.00000","","",""
"TB_new_clindx","PUBLISHED","2013","AMR","","","42250","42250.00000","","",""
"TB_new_clindx","PUBLISHED","2018","AMR","","","40729","40729.00000","","",""
"TB_new_clindx","PUBLISHED","2013","EMR","","","148748","148748.00000","","",""
"TB_new_clindx","PUBLISHED","2015","EMR","","","159024","159024.00000","","",""
"TB_new_clindx","PUBLISHED","2013","EUR","","","89905","89905.00000","","",""
"TB_new_clindx","PUBLISHED","2015","EUR","","","74137","74137.00000","","",""
"TB_new_clindx","PUBLISHED","2015","SEAR","","","668164","668164.00000","","",""
"TB_new_clindx","PUBLISHED","2017","SEAR","","","758567","758567.00000","","",""
"TB_new_clindx","PUBLISHED","2017","WPR","","","732206","732206.00000","","",""
"TB_new_clindx","PUBLISHED","2019","WPR","","","657588","657588.00000","","",""
"TB_new_clindx","PUBLISHED","2015","EMR","","AFG","9189","9189.00000","","",""
"TB_new_clindx","PUBLISHED","2017","EMR","","AFG","13029","13029.00000","","",""
"TB_new_clindx","PUBLISHED","2015","AFR","","AGO","27202","27202.00000","","",""
"TB_new_clindx","PUBLISHED","2017","AFR","","AGO","23974","23974.00000","","",""
"TB_new_clindx","PUBLISHED","2019","AFR","","AGO","32278","32278.00000","","",""
"TB_new_clindx","PUBLISHED","2017","EUR","","ALB","131","131.00000","","",""
"TB_new_clindx","PUBLISHED","2019","EUR","","ALB","88","88.00000","","",""
"TB_new_clindx","PUBLISHED","2013","EMR","","ARE","15","15.00000","","",""
"TB_new_clindx","PUBLISHED","2015","EMR","","ARE","3","3.00000","","",""
"TB_new_clindx","PUBLISHED","2015","AMR","","ARG","2368","2368.00000","","",""
"TB_new_clindx","PUBLISHED","2017","AMR","","ARG","2335","2335.00000","","",""
"TB_new_clindx","PUBLISHED","2015","EUR","","ARM","307","307.00000","","",""
"TB_new_clindx","PUBLISHED","2017","EUR","","ARM","198","198.00000","","",""
"TB_new_clindx","PUBLISHED","2018","AMR","","ATG","2","2.00000","","",""
"TB_new_clindx","PUBLISHED","2013","WPR","","AUS","86","86.00000","","",""
"TB_new_clindx","PUBLISHED","2013","EUR","","AUT","84","84.00000","","",""
"TB_new_clindx","PUBLISHED","2015","EUR","","AUT","57","57.00000","","",""
"TB_new_clindx","PUBLISHED","2013","EUR","","AZE","1528","1528.00000","","",""
"TB_new_clindx","PUBLISHED","2015","EUR","","AZE","1449","1449.00000","","",""
"TB_new_clindx","PUBLISHED","2015","AFR","","BDI","589","589.00000","","",""
"TB_new_clindx","PUBLISHED","2017","AFR","","BDI","994","994.00000","","",""
"TB_new_clindx","PUBLISHED","2017","EUR","","BEL","88","88.00000","","",""
"TB_new_clindx","PUBLISHED","2019","EUR","","BEL","69","69.00000","","",""
"TB_new_clindx","PUBLISHED","2017","AFR","","BEN","305","305.00000","","",""
"TB_new_clindx","PUBLISHED","2019","AFR","","BEN","460","460.00000","","",""
"TB_new_clindx","PUBLISHED","2019","AFR","","BFA","793","793.00000","","",""
"TB_new_clindx","PUBLISHED","2014","SEAR","","BGD","42832","42832.00000","","",""
"TB_new_clindx","PUBLISHED","2014","EUR","","BGR","369","369.00000","","",""
"TB_new_clindx","PUBLISHED","2016","EUR","","BGR","334","334.00000","","",""
"TB_new_clindx","PUBLISHED","2016","EMR","","BHR","11","11.00000","","",""
"TB_new_clindx","PUBLISHED","2018","EMR","","BHR","11","11.00000","","",""
"TB_new_clindx","PUBLISHED","2018","AMR","","BHS","27","27.00000","","",""
"TB_new_clindx","PUBLISHED","2013","EUR","","BIH","352","352.00000","","",""
"TB_new_clindx","PUBLISHED","2013","EUR","","BLR","988","988.00000","","",""
"TB_new_clindx","PUBLISHED","2015","EUR","","BLR","766","766.00000","","",""
"TB_new_clindx","PUBLISHED","2013","AMR","","BLZ","43","43.00000","","",""
"TB_new_clindx","PUBLISHED","2015","AMR","","BLZ","29","29.00000","","",""
"TB_new_clindx","PUBLISHED","2015","AMR","","BOL","513","513.00000","","",""
