"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","Display Value","Numeric","Low","High","Comments"
"TB_new_ep","PUBLISHED","2004","","WB_HI","","33611","33611.00000","","",""
"TB_new_ep","PUBLISHED","2007","","WB_HI","","32745","32745.00000","","",""
"TB_new_ep","PUBLISHED","2001","","WB_LI","","83426","83426.00000","","",""
"TB_new_ep","PUBLISHED","2002","","WB_LI","","94982","94982.00000","","",""
"TB_new_ep","PUBLISHED","2004","","WB_LI","","113440","113440.00000","","",""
"TB_new_ep","PUBLISHED","2017","","WB_LI","","150551","150551.00000","","",""
"TB_new_ep","PUBLISHED","2018","","WB_LI","","153739","153739.00000","","",""
"TB_new_ep","PUBLISHED","2019","","WB_LI","","155743","155743.00000","","",""
"TB_new_ep","PUBLISHED","2014","","WB_LMI","","564002","564002.00000","","",""
"TB_new_ep","PUBLISHED","2015","","WB_LMI","","591895","591895.00000","","",""
"TB_new_ep","PUBLISHED","2016","","WB_LMI","","581388","581388.00000","","",""
"TB_new_ep","PUBLISHED","2017","","WB_LMI","","572893","572893.00000","","",""
"TB_new_ep","PUBLISHED","2011","","WB_UMI","","140425","140425.00000","","",""
"TB_new_ep","PUBLISHED","2013","","WB_UMI","","154239","154239.00000","","",""
"TB_new_ep","PUBLISHED","2014","","WB_UMI","","153074","153074.00000","","",""
"TB_new_ep","PUBLISHED","2000","AFR","","","141255","141255.00000","","",""
"TB_new_ep","PUBLISHED","2001","AFR","","","154905","154905.00000","","",""
"TB_new_ep","PUBLISHED","2002","AFR","","","170704","170704.00000","","",""
"TB_new_ep","PUBLISHED","2003","AFR","","","195390","195390.00000","","",""
"TB_new_ep","PUBLISHED","2016","AFR","","","204086","204086.00000","","",""
"TB_new_ep","PUBLISHED","2018","AFR","","","204929","204929.00000","","",""
"TB_new_ep","PUBLISHED","2000","AMR","","","32037","32037.00000","","",""
"TB_new_ep","PUBLISHED","2013","AMR","","","34155","34155.00000","","",""
"TB_new_ep","PUBLISHED","2015","AMR","","","32658","32658.00000","","",""
"TB_new_ep","PUBLISHED","2016","AMR","","","33750","33750.00000","","",""
"TB_new_ep","PUBLISHED","2010","EMR","","","92070","92070.00000","","",""
"TB_new_ep","PUBLISHED","2012","EMR","","","89258","89258.00000","","",""
"TB_new_ep","PUBLISHED","2013","EMR","","","99897","99897.00000","","",""
"TB_new_ep","PUBLISHED","2007","EUR","","","53630","53630.00000","","",""
"TB_new_ep","PUBLISHED","2009","EUR","","","48779","48779.00000","","",""
"TB_new_ep","PUBLISHED","2010","EUR","","","41493","41493.00000","","",""
"TB_new_ep","PUBLISHED","2003","SEAR","","","180865","180865.00000","","",""
"TB_new_ep","PUBLISHED","2004","SEAR","","","212208","212208.00000","","",""
"TB_new_ep","PUBLISHED","2006","SEAR","","","261839","261839.00000","","",""
"TB_new_ep","PUBLISHED","2001","WPR","","","36433","36433.00000","","",""
"TB_new_ep","PUBLISHED","2003","WPR","","","70446","70446.00000","","",""
"TB_new_ep","PUBLISHED","2018","WPR","","","107864","107864.00000","","",""
"TB_new_ep","PUBLISHED","2019","WPR","","","106043","106043.00000","","",""
"TB_new_ep","PUBLISHED","2014","EMR","","AFG","7227","7227.00000","","",""
"TB_new_ep","PUBLISHED","2009","AFR","","AGO","2580","2580.00000","","",""
"TB_new_ep","PUBLISHED","2011","AFR","","AGO","4399","4399.00000","","",""
"TB_new_ep","PUBLISHED","2012","AFR","","AGO","4776","4776.00000","","",""
"TB_new_ep","PUBLISHED","2006","EUR","","ALB","175","175.00000","","",""
"TB_new_ep","PUBLISHED","2007","EUR","","ALB","152","152.00000","","",""
"TB_new_ep","PUBLISHED","2008","EUR","","ALB","145","145.00000","","",""
"TB_new_ep","PUBLISHED","2009","EUR","","ALB","136","136.00000","","",""
"TB_new_ep","PUBLISHED","2003","EUR","","AND","2","2.00000","","",""
"TB_new_ep","PUBLISHED","2004","EUR","","AND","2","2.00000","","",""
"TB_new_ep","PUBLISHED","2005","EUR","","AND","4","4.00000","","",""
"TB_new_ep","PUBLISHED","2006","EUR","","AND","2","2.00000","","",""
"TB_new_ep","PUBLISHED","2000","EMR","","ARE","41","41.00000","","",""
"TB_new_ep","PUBLISHED","2003","EMR","","ARE","33","33.00000","","",""
"TB_new_ep","PUBLISHED","2017","EMR","","ARE","17","17.00000","","",""
"TB_new_ep","PUBLISHED","2018","EMR","","ARE","29","29.00000","","",""
"TB_new_ep","PUBLISHED","2014","AMR","","ARG","1255","1255.00000","","",""
"TB_new_ep","PUBLISHED","2015","AMR","","ARG","1316","1316.00000","","",""
"TB_new_ep","PUBLISHED","2010","EUR","","ARM","351","351.00000","","",""
"TB_new_ep","PUBLISHED","2011","EUR","","ARM","289","289.00000","","",""
"TB_new_ep","PUBLISHED","2012","EUR","","ARM","255","255.00000","","",""
"TB_new_ep","PUBLISHED","2007","AMR","","ATG","0","0.00000","","",""
"TB_new_ep","PUBLISHED","2008","AMR","","ATG","0","0.00000","","",""
"TB_new_ep","PUBLISHED","2009","AMR","","ATG","0","0.00000","","",""
"TB_new_ep","PUBLISHED","2010","AMR","","ATG","0","0.00000","","",""
"TB_new_ep","PUBLISHED","2011","AMR","","ATG","0","0.00000","","",""
"TB_new_ep","PUBLISHED","2005","WPR","","AUS","450","450.00000","","",""
"TB_new_ep","PUBLISHED","2006","WPR","","AUS","451","451.00000","","",""
"TB_new_ep","PUBLISHED","2008","WPR","","AUS","473","473.00000","","",""
"TB_new_ep","PUBLISHED","2002","EUR","","AUT","170","170.00000","","",""
"TB_new_ep","PUBLISHED","2003","EUR","","AUT","158","158.00000","","",""
"TB_new_ep","PUBLISHED","2005","EUR","","AUT","175","175.00000","","",""
"TB_new_ep","PUBLISHED","2000","EUR","","AZE","245","245.00000","","",""
"TB_new_ep","PUBLISHED","2001","EUR","","AZE","956","956.00000","","",""
"TB_new_ep","PUBLISHED","2003","EUR","","AZE","735","735.00000","","",""
"TB_new_ep","PUBLISHED","2016","EUR","","AZE","833","833.00000","","",""
"TB_new_ep","PUBLISHED","2017","EUR","","AZE","922","922.00000","","",""
"TB_new_ep","PUBLISHED","2018","EUR","","AZE","903","903.00000","","",""
"TB_new_ep","PUBLISHED","2015","AFR","","BDI","2043","2043.00000","","",""
"TB_new_ep","PUBLISHED","2016","AFR","","BDI","2013","2013.00000","","",""
