"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","Display Value","Numeric","Low","High","Comments"
"TB_new_sn","PUBLISHED","2005","AFR","WB_LMI","AGO","12467","12467.00000","","",""
"TB_new_sn","PUBLISHED","2007","AFR","WB_LMI","AGO","14733","14733.00000","","",""
"TB_new_sn","PUBLISHED","2008","AFR","WB_LMI","AGO","16490","16490.00000","","",""
"TB_new_sn","PUBLISHED","2009","AFR","WB_LMI","AGO","13755","13755.00000","","",""
"TB_new_sn","PUBLISHED","2007","AFR","WB_LI","BDI","812","812.00000","","",""
"TB_new_sn","PUBLISHED","2008","AFR","WB_LI","BDI","697","697.00000","","",""
"TB_new_sn","PUBLISHED","2009","AFR","WB_LI","BDI","922","922.00000","","",""
"TB_new_sn","PUBLISHED","2010","AFR","WB_LI","BDI","815","815.00000","","",""
"TB_new_sn","PUBLISHED","2005","AFR","WB_LI","BEN","96","96.00000","","",""
"TB_new_sn","PUBLISHED","2006","AFR","WB_LI","BEN","199","199.00000","","",""
"TB_new_sn","PUBLISHED","2008","AFR","WB_LI","BEN","375","375.00000","","",""
"TB_new_sn","PUBLISHED","2009","AFR","WB_LI","BEN","338","338.00000","","",""
"TB_new_sn","PUBLISHED","1995","AFR","WB_LI","BFA","195","195.00000","","",""
"TB_new_sn","PUBLISHED","1996","AFR","WB_LI","BFA","263","263.00000","","",""
"TB_new_sn","PUBLISHED","1998","AFR","WB_LI","BFA","192","192.00000","","",""
"TB_new_sn","PUBLISHED","2000","AFR","WB_LI","BFA","196","196.00000","","",""
"TB_new_sn","PUBLISHED","2003","AFR","WB_LI","BFA","266","266.00000","","",""
"TB_new_sn","PUBLISHED","2006","AFR","WB_LI","BFA","498","498.00000","","",""
"TB_new_sn","PUBLISHED","1998","AFR","WB_UMI","BWA","824","824.00000","","",""
"TB_new_sn","PUBLISHED","2000","AFR","WB_UMI","BWA","847","847.00000","","",""
"TB_new_sn","PUBLISHED","2001","AFR","WB_UMI","BWA","708","708.00000","","",""
