"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","Display Value","Numeric","Low","High","Comments"
"TB_ret_rel","PUBLISHED","2000","","WB_HI","","10545","10545.00000","","",""
"TB_ret_rel","PUBLISHED","2001","","WB_HI","","10528","10528.00000","","",""
"TB_ret_rel","PUBLISHED","2002","","WB_LI","","15962","15962.00000","","",""
"TB_ret_rel","PUBLISHED","2003","","WB_LI","","17345","17345.00000","","",""
"TB_ret_rel","PUBLISHED","2004","","WB_LI","","18479","18479.00000","","",""
"TB_ret_rel","PUBLISHED","2005","","WB_LI","","16991","16991.00000","","",""
"TB_ret_rel","PUBLISHED","2006","","WB_LMI","","152607","152607.00000","","",""
"TB_ret_rel","PUBLISHED","2007","","WB_LMI","","143408","143408.00000","","",""
"TB_ret_rel","PUBLISHED","2008","","WB_LMI","","153259","153259.00000","","",""
"TB_ret_rel","PUBLISHED","2009","","WB_LMI","","162764","162764.00000","","",""
"TB_ret_rel","PUBLISHED","2010","","WB_UMI","","92737","92737.00000","","",""
"TB_ret_rel","PUBLISHED","2011","","WB_UMI","","89462","89462.00000","","",""
"TB_ret_rel","PUBLISHED","2009","AFR","","","54946","54946.00000","","",""
"TB_ret_rel","PUBLISHED","2010","AFR","","","53967","53967.00000","","",""
"TB_ret_rel","PUBLISHED","2012","AMR","","","10100","10100.00000","","",""
"TB_ret_rel","PUBLISHED","2000","EMR","","","5568","5568.00000","","",""
"TB_ret_rel","PUBLISHED","2001","EMR","","","5745","5745.00000","","",""
"TB_ret_rel","PUBLISHED","2003","EUR","","","15844","15844.00000","","",""
"TB_ret_rel","PUBLISHED","2004","EUR","","","14285","14285.00000","","",""
"TB_ret_rel","PUBLISHED","2005","EUR","","","22248","22248.00000","","",""
"TB_ret_rel","PUBLISHED","2006","EUR","","","22757","22757.00000","","",""
"TB_ret_rel","PUBLISHED","2006","SEAR","","","109275","109275.00000","","",""
"TB_ret_rel","PUBLISHED","2007","SEAR","","","115293","115293.00000","","",""
"TB_ret_rel","PUBLISHED","2009","SEAR","","","127826","127826.00000","","",""
"TB_ret_rel","PUBLISHED","2010","WPR","","","55365","55365.00000","","",""
"TB_ret_rel","PUBLISHED","2011","WPR","","","50870","50870.00000","","",""
"TB_ret_rel","PUBLISHED","2007","EMR","","AFG","1078","1078.00000","","",""
"TB_ret_rel","PUBLISHED","2009","EMR","","AFG","1082","1082.00000","","",""
