"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","Display Value","Numeric","Low","High","Comments"
"TB_ret_rel_ep","PUBLISHED","2013","","WB_HI","","1475","1475.00000","","",""
"TB_ret_rel_ep","PUBLISHED","2013","","WB_LI","","830","830.00000","","",""
"TB_ret_rel_ep","PUBLISHED","2015","","WB_LI","","1735","1735.00000","","",""
"TB_ret_rel_ep","PUBLISHED","2013","","WB_LMI","","1573","1573.00000","","",""
"TB_ret_rel_ep","PUBLISHED","2015","","WB_LMI","","5285","5285.00000","","",""
"TB_ret_rel_ep","PUBLISHED","2015","","WB_UMI","","3825","3825.00000","","",""
"TB_ret_rel_ep","PUBLISHED","2017","","WB_UMI","","4753","4753.00000","","",""
"TB_ret_rel_ep","PUBLISHED","2015","AFR","","","3838","3838.00000","","",""
"TB_ret_rel_ep","PUBLISHED","2017","AFR","","","5065","5065.00000","","",""
"TB_ret_rel_ep","PUBLISHED","2015","AMR","","","1073","1073.00000","","",""
"TB_ret_rel_ep","PUBLISHED","2017","AMR","","","1086","1086.00000","","",""
"TB_ret_rel_ep","PUBLISHED","2017","EMR","","","2226","2226.00000","","",""
"TB_ret_rel_ep","PUBLISHED","2019","EMR","","","2079","2079.00000","","",""
"TB_ret_rel_ep","PUBLISHED","2019","EUR","","","1944","1944.00000","","",""
"TB_ret_rel_ep","PUBLISHED","2015","SEAR","","","1961","1961.00000","","",""
"TB_ret_rel_ep","PUBLISHED","2013","WPR","","","1279","1279.00000","","",""
"TB_ret_rel_ep","PUBLISHED","2015","WPR","","","1584","1584.00000","","",""
"TB_ret_rel_ep","PUBLISHED","2017","WPR","","","2192","2192.00000","","",""
"TB_ret_rel_ep","PUBLISHED","2019","EMR","","AFG","80","80.00000","","",""
"TB_ret_rel_ep","PUBLISHED","2014","AFR","","AGO","0","0.00000","","",""
"TB_ret_rel_ep","PUBLISHED","2014","EUR","","ALB","3","3.00000","","",""
"TB_ret_rel_ep","PUBLISHED","2016","EUR","","ALB","1","1.00000","","",""
"TB_ret_rel_ep","PUBLISHED","2015","EUR","","AND","0","0.00000","","",""
"TB_ret_rel_ep","PUBLISHED","2017","EUR","","AND","0","0.00000","","",""
"TB_ret_rel_ep","PUBLISHED","2018","EMR","","ARE","0","0.00000","","",""
"TB_ret_rel_ep","PUBLISHED","2013","AMR","","ARG","37","37.00000","","",""
"TB_ret_rel_ep","PUBLISHED","2013","EUR","","ARM","96","96.00000","","",""
"TB_ret_rel_ep","PUBLISHED","2015","EUR","","ARM","76","76.00000","","",""
"TB_ret_rel_ep","PUBLISHED","2013","AMR","","ATG","1","1.00000","","",""
"TB_ret_rel_ep","PUBLISHED","2016","AMR","","ATG","0","0.00000","","",""
