"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","Display Value","Numeric","Low","High","Comments"
"TB_ret_taf","PUBLISHED","2003","AFR","WB_LMI","AGO","433","433.00000","","",""
"TB_ret_taf","PUBLISHED","2006","AFR","WB_LMI","AGO","322","322.00000","","",""
"TB_ret_taf","PUBLISHED","1996","AFR","WB_LI","BDI","4","4.00000","","",""
"TB_ret_taf","PUBLISHED","1998","AFR","WB_LI","BDI","12","12.00000","","",""
"TB_ret_taf","PUBLISHED","1999","AFR","WB_LI","BDI","16","16.00000","","",""
"TB_ret_taf","PUBLISHED","2000","AFR","WB_LI","BEN","34","34.00000","","",""
"TB_ret_taf","PUBLISHED","2002","AFR","WB_LI","BEN","64","64.00000","","",""
"TB_ret_taf","PUBLISHED","2003","AFR","WB_LI","BEN","63","63.00000","","",""
"TB_ret_taf","PUBLISHED","2005","AFR","WB_LI","BEN","86","86.00000","","",""
"TB_ret_taf","PUBLISHED","2000","AFR","WB_LI","BFA","55","55.00000","","",""
"TB_ret_taf","PUBLISHED","2003","AFR","WB_LI","BFA","85","85.00000","","",""
"TB_ret_taf","PUBLISHED","2006","AFR","WB_LI","BFA","225","225.00000","","",""
"TB_ret_taf","PUBLISHED","1998","AFR","WB_UMI","BWA","25","25.00000","","",""
"TB_ret_taf","PUBLISHED","2000","AFR","WB_UMI","BWA","94","94.00000","","",""
"TB_ret_taf","PUBLISHED","2001","AFR","WB_UMI","BWA","35","35.00000","","",""
"TB_ret_taf","PUBLISHED","2003","AFR","WB_UMI","BWA","55","55.00000","","",""
"TB_ret_taf","PUBLISHED","2010","AFR","WB_LI","CAF","26","26.00000","","",""
"TB_ret_taf","PUBLISHED","2011","AFR","WB_LI","CAF","42","42.00000","","",""
"TB_ret_taf","PUBLISHED","2012","AFR","WB_LI","CAF","49","49.00000","","",""
"TB_ret_taf","PUBLISHED","2001","AFR","WB_LI","CAF","14","14.00000","","",""
"TB_ret_taf","PUBLISHED","2012","AFR","WB_LMI","CIV","325","325.00000","","",""
"TB_ret_taf","PUBLISHED","2002","AFR","WB_LMI","CIV","313","313.00000","","",""
"TB_ret_taf","PUBLISHED","2005","AFR","WB_LMI","CIV","235","235.00000","","",""
"TB_ret_taf","PUBLISHED","2008","AFR","WB_LMI","CIV","257","257.00000","","",""
"TB_ret_taf","PUBLISHED","2011","AFR","WB_LMI","CIV","324","324.00000","","",""
"TB_ret_taf","PUBLISHED","2010","AFR","WB_LMI","CMR","167","167.00000","","",""
"TB_ret_taf","PUBLISHED","2004","AFR","WB_LI","COD","912","912.00000","","",""
"TB_ret_taf","PUBLISHED","2005","AFR","WB_LI","COD","944","944.00000","","",""
"TB_ret_taf","PUBLISHED","2007","AFR","WB_LI","COD","1000","1000.00000","","",""
"TB_ret_taf","PUBLISHED","2008","AFR","WB_LI","COD","790","790.00000","","",""
"TB_ret_taf","PUBLISHED","2009","AFR","WB_LMI","COG","60","60.00000","","",""
