"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","Display Value","Numeric","Low","High","Comments"
"TB_tot_newrel","PUBLISHED","1990","EMR","WB_LI","AFG","4332","4332.00000","","",""
"TB_tot_newrel","PUBLISHED","1991","EMR","WB_LI","AFG","23067","23067.00000","","",""
"TB_tot_newrel","PUBLISHED","1997","EMR","WB_LI","AFG","1290","1290.00000","","",""
"TB_tot_newrel","PUBLISHED","1999","EMR","WB_LI","AFG","3314","3314.00000","","",""
"TB_tot_newrel","PUBLISHED","2000","EMR","WB_LI","AFG","7107","7107.00000","","",""
"TB_tot_newrel","PUBLISHED","2002","EMR","WB_LI","AFG","13794","13794.00000","","",""
"TB_tot_newrel","PUBLISHED","2003","EMR","WB_LI","AFG","13808","13808.00000","","",""
"TB_tot_newrel","PUBLISHED","2005","EMR","WB_LI","AFG","21844","21844.00000","","",""
"TB_tot_newrel","PUBLISHED","2006","EMR","WB_LI","AFG","25475","25475.00000","","",""
"TB_tot_newrel","PUBLISHED","2007","EMR","WB_LI","AFG","28769","28769.00000","","",""
"TB_tot_newrel","PUBLISHED","2008","EMR","WB_LI","AFG","28301","28301.00000","","",""
"TB_tot_newrel","PUBLISHED","2009","EMR","WB_LI","AFG","25417","25417.00000","","",""
"TB_tot_newrel","PUBLISHED","2010","EMR","WB_LI","AFG","28029","28029.00000","","",""
"TB_tot_newrel","PUBLISHED","2011","EMR","WB_LI","AFG","27983","27983.00000","","",""
"TB_tot_newrel","PUBLISHED","1990","AFR","WB_LMI","AGO","10271","10271.00000","","",""
"TB_tot_newrel","PUBLISHED","1991","AFR","WB_LMI","AGO","11134","11134.00000","","",""
"TB_tot_newrel","PUBLISHED","1992","AFR","WB_LMI","AGO","11272","11272.00000","","",""
"TB_tot_newrel","PUBLISHED","1993","AFR","WB_LMI","AGO","8269","8269.00000","","",""
"TB_tot_newrel","PUBLISHED","1995","AFR","WB_LMI","AGO","5143","5143.00000","","",""
"TB_tot_newrel","PUBLISHED","1996","AFR","WB_LMI","AGO","15424","15424.00000","","",""
"TB_tot_newrel","PUBLISHED","1998","AFR","WB_LMI","AGO","14296","14296.00000","","",""
"TB_tot_newrel","PUBLISHED","1999","AFR","WB_LMI","AGO","14235","14235.00000","","",""
"TB_tot_newrel","PUBLISHED","2001","AFR","WB_LMI","AGO","21713","21713.00000","","",""
"TB_tot_newrel","PUBLISHED","2002","AFR","WB_LMI","AGO","29996","29996.00000","","",""
"TB_tot_newrel","PUBLISHED","2004","AFR","WB_LMI","AGO","35437","35437.00000","","",""
"TB_tot_newrel","PUBLISHED","2005","AFR","WB_LMI","AGO","37175","37175.00000","","",""
