"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"TOBACCO_0000000212","PUBLISHED","2008","EMR","AFG","No","","","",""
"TOBACCO_0000000212","PUBLISHED","2008","EUR","ALB","No","","","",""
"TOBACCO_0000000212","PUBLISHED","2008","AFR","DZA","No","","","",""
"TOBACCO_0000000212","PUBLISHED","2008","EUR","AND",". . .","","","",""
"TOBACCO_0000000212","PUBLISHED","2008","AFR","AGO","No","","","",""
"TOBACCO_0000000212","PUBLISHED","2008","AMR","ATG","No","","","",""
"TOBACCO_0000000212","PUBLISHED","2008","AMR","ARG","No","","","",""
"TOBACCO_0000000212","PUBLISHED","2008","EUR","ARM","No","","","",""
"TOBACCO_0000000212","PUBLISHED","2008","WPR","AUS","No","","","",""
"TOBACCO_0000000212","PUBLISHED","2008","EUR","AUT","No","","","",""
"TOBACCO_0000000212","PUBLISHED","2008","EUR","AZE","No","","","",""
"TOBACCO_0000000212","PUBLISHED","2008","AMR","BHS","No","","","",""
"TOBACCO_0000000212","PUBLISHED","2008","EMR","BHR","No","","","",""
"TOBACCO_0000000212","PUBLISHED","2008","SEAR","BGD","No","","","",""
"TOBACCO_0000000212","PUBLISHED","2008","AMR","BRB","No","","","",""
"TOBACCO_0000000212","PUBLISHED","2008","EUR","BLR","No","","","",""
"TOBACCO_0000000212","PUBLISHED","2008","EUR","BEL","No","","","",""
"TOBACCO_0000000212","PUBLISHED","2008","AMR","BLZ","No","","","",""
"TOBACCO_0000000212","PUBLISHED","2008","AFR","BEN","No","","","",""
"TOBACCO_0000000212","PUBLISHED","2008","SEAR","BTN","No","","","",""
"TOBACCO_0000000212","PUBLISHED","2008","AMR","BOL","No","","","",""
"TOBACCO_0000000212","PUBLISHED","2008","EUR","BIH","No","","","",""
"TOBACCO_0000000212","PUBLISHED","2008","AFR","BWA","No","","","",""
"TOBACCO_0000000212","PUBLISHED","2008","AMR","BRA","No","","","",""
"TOBACCO_0000000212","PUBLISHED","2008","WPR","BRN","No","","","",""
"TOBACCO_0000000212","PUBLISHED","2008","EUR","BGR","Yes","","","",""
"TOBACCO_0000000212","PUBLISHED","2008","AFR","BFA","No","","","",""
"TOBACCO_0000000212","PUBLISHED","2008","AFR","BDI","No","","","",""
"TOBACCO_0000000212","PUBLISHED","2008","WPR","KHM","No","","","",""
"TOBACCO_0000000212","PUBLISHED","2008","AFR","CMR","No","","","",""
"TOBACCO_0000000212","PUBLISHED","2008","AMR","CAN","Yes","","","",""
"TOBACCO_0000000212","PUBLISHED","2008","AFR","CPV","Yes","","","",""
"TOBACCO_0000000212","PUBLISHED","2008","AFR","CAF","No","","","",""
"TOBACCO_0000000212","PUBLISHED","2008","AFR","TCD","No","","","",""
