"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"TOBACCO_0000000344","PUBLISHED","2008","AFR","","BDI","MLE","20.7","20.70000","","",""
"TOBACCO_0000000344","PUBLISHED","2008","AFR","","BDI","FMLE","16.8","16.80000","","",""
"TOBACCO_0000000344","PUBLISHED","2008","AFR","","BWA","MLE","27.0","27.00000","","",""
"TOBACCO_0000000344","PUBLISHED","2008","AFR","","BWA","FMLE","20.5","20.50000","","",""
"TOBACCO_0000000344","PUBLISHED","2002","AFR","","BWA","MLE","17.1","17.10000","","",""
"TOBACCO_0000000344","PUBLISHED","2002","AFR","","BWA","FMLE","13.7","13.70000","","",""
"TOBACCO_0000000344","PUBLISHED","2009","AFR","","CIV","MLE","26.3","26.30000","","",""
"TOBACCO_0000000344","PUBLISHED","2009","AFR","","CIV","FMLE","10.9","10.90000","","",""
"TOBACCO_0000000344","PUBLISHED","2009","AFR","","COG","MLE","27.6","27.60000","","",""
"TOBACCO_0000000344","PUBLISHED","2009","AFR","","COG","FMLE","20.4","20.40000","","",""
"TOBACCO_0000000344","PUBLISHED","2006","AFR","","COG","MLE","26.1","26.10000","","",""
"TOBACCO_0000000344","PUBLISHED","2006","AFR","","COG","FMLE","21.9","21.90000","","",""
"TOBACCO_0000000344","PUBLISHED","2007","AFR","","COM","MLE","21.8","21.80000","","",""
"TOBACCO_0000000344","PUBLISHED","2007","AFR","","COM","FMLE","14.8","14.80000","","",""
"TOBACCO_0000000344","PUBLISHED","2007","AFR","","CPV","MLE","14.7","14.70000","","",""
"TOBACCO_0000000344","PUBLISHED","2007","AFR","","CPV","FMLE","11.7","11.70000","","",""
"TOBACCO_0000000344","PUBLISHED","2013","AFR","","DZA","MLE","17.4","17.40000","","",""
"TOBACCO_0000000344","PUBLISHED","2013","AFR","","DZA","FMLE","2.6","2.60000","","",""
"TOBACCO_0000000344","PUBLISHED","2006","AFR","","ERI","MLE","7.8","7.80000","","",""
"TOBACCO_0000000344","PUBLISHED","2006","AFR","","ERI","FMLE","4.6","4.60000","","",""
"TOBACCO_0000000344","PUBLISHED","2009","AFR","","GHA","MLE","14.1","14.10000","","",""
"TOBACCO_0000000344","PUBLISHED","2009","AFR","","GHA","FMLE","10.6","10.60000","","",""
"TOBACCO_0000000344","PUBLISHED","2006","AFR","","GHA","MLE","11.6","11.60000","","",""
"TOBACCO_0000000344","PUBLISHED","2006","AFR","","GHA","FMLE","10.9","10.90000","","",""
"TOBACCO_0000000344","PUBLISHED","2000","AFR","","GHA","MLE","16.2","16.20000","","",""
"TOBACCO_0000000344","PUBLISHED","2000","AFR","","GHA","FMLE","17.4","17.40000","","",""
"TOBACCO_0000000344","PUBLISHED","2008","AFR","","GIN","MLE","30.8","30.80000","","",""
"TOBACCO_0000000344","PUBLISHED","2008","AFR","","GIN","FMLE","20.0","20.00000","","",""
"TOBACCO_0000000344","PUBLISHED","2008","AFR","","GNQ","MLE","25.1","25.10000","","",""
"TOBACCO_0000000344","PUBLISHED","2008","AFR","","GNQ","FMLE","17.3","17.30000","","",""
"TOBACCO_0000000344","PUBLISHED","2013","AFR","","KEN","MLE","12.8","12.80000","","",""
"TOBACCO_0000000344","PUBLISHED","2013","AFR","","KEN","FMLE","6.7","6.70000","","",""
"TOBACCO_0000000344","PUBLISHED","2007","AFR","","KEN","MLE","14.9","14.90000","","",""
"TOBACCO_0000000344","PUBLISHED","2007","AFR","","KEN","FMLE","14.5","14.50000","","",""
"TOBACCO_0000000344","PUBLISHED","2001","AFR","","KEN","MLE","14.2","14.20000","","",""
"TOBACCO_0000000344","PUBLISHED","2001","AFR","","KEN","FMLE","11.4","11.40000","","",""
"TOBACCO_0000000344","PUBLISHED","2008","AFR","","LSO","MLE","26.4","26.40000","","",""
"TOBACCO_0000000344","PUBLISHED","2008","AFR","","LSO","FMLE","21.7","21.70000","","",""
"TOBACCO_0000000344","PUBLISHED","2002","AFR","","LSO","MLE","22.4","22.40000","","",""
"TOBACCO_0000000344","PUBLISHED","2002","AFR","","LSO","FMLE","17.7","17.70000","","",""
"TOBACCO_0000000344","PUBLISHED","2008","AFR","","MDG","MLE","33.2","33.20000","","",""
"TOBACCO_0000000344","PUBLISHED","2008","AFR","","MDG","FMLE","14.3","14.30000","","",""
"TOBACCO_0000000344","PUBLISHED","2008","AFR","","MLI","MLE","23.1","23.10000","","",""
"TOBACCO_0000000344","PUBLISHED","2008","AFR","","MLI","FMLE","8.8","8.80000","","",""
"TOBACCO_0000000344","PUBLISHED","2009","AFR","","MRT","MLE","27.5","27.50000","","",""
"TOBACCO_0000000344","PUBLISHED","2009","AFR","","MRT","FMLE","17.7","17.70000","","",""
"TOBACCO_0000000344","PUBLISHED","2006","AFR","","MRT","MLE","31.5","31.50000","","",""
"TOBACCO_0000000344","PUBLISHED","2006","AFR","","MRT","FMLE","29.5","29.50000","","",""
"TOBACCO_0000000344","PUBLISHED","2001","AFR","","MRT","MLE","28.6","28.60000","","",""
"TOBACCO_0000000344","PUBLISHED","2001","AFR","","MRT","FMLE","19.5","19.50000","","",""
"TOBACCO_0000000344","PUBLISHED","2008","AFR","","MUS","MLE","20.3","20.30000","","",""
"TOBACCO_0000000344","PUBLISHED","2008","AFR","","MUS","FMLE","7.7","7.70000","","",""
"TOBACCO_0000000344","PUBLISHED","2003","AFR","","MUS","MLE","19.9","19.90000","","","Cigarette smoking only"
"TOBACCO_0000000344","PUBLISHED","2003","AFR","","MUS","FMLE","7.9","7.90000","","","Cigarette smoking only"
"TOBACCO_0000000344","PUBLISHED","2009","AFR","","MWI","MLE","16.7","16.70000","","",""
"TOBACCO_0000000344","PUBLISHED","2009","AFR","","MWI","FMLE","11.4","11.40000","","",""
"TOBACCO_0000000344","PUBLISHED","2005","AFR","","MWI","MLE","19.1","19.10000","","",""
"TOBACCO_0000000344","PUBLISHED","2005","AFR","","MWI","FMLE","17.9","17.90000","","",""
"TOBACCO_0000000344","PUBLISHED","2008","AFR","","NAM","MLE","31.9","31.90000","","",""
"TOBACCO_0000000344","PUBLISHED","2008","AFR","","NAM","FMLE","29.9","29.90000","","",""
"TOBACCO_0000000344","PUBLISHED","2004","AFR","","NAM","MLE","32.2","32.20000","","",""
"TOBACCO_0000000344","PUBLISHED","2004","AFR","","NAM","FMLE","25.3","25.30000","","",""
"TOBACCO_0000000344","PUBLISHED","2009","AFR","","NER","MLE","11.8","11.80000","","",""
"TOBACCO_0000000344","PUBLISHED","2009","AFR","","NER","FMLE","5.6","5.60000","","",""
"TOBACCO_0000000344","PUBLISHED","2006","AFR","","NER","MLE","15.2","15.20000","","",""
"TOBACCO_0000000344","PUBLISHED","2006","AFR","","NER","FMLE","8.0","8.00000","","",""
"TOBACCO_0000000344","PUBLISHED","2001","AFR","","NER","MLE","23.3","23.30000","","",""
"TOBACCO_0000000344","PUBLISHED","2001","AFR","","NER","FMLE","12.0","12.00000","","",""
"TOBACCO_0000000344","PUBLISHED","2008","AFR","","RWA","MLE","13.3","13.30000","","",""
"TOBACCO_0000000344","PUBLISHED","2008","AFR","","RWA","FMLE","9.5","9.50000","","",""
"TOBACCO_0000000344","PUBLISHED","2013","AFR","","SEN","MLE","14.9","14.90000","","",""
"TOBACCO_0000000344","PUBLISHED","2013","AFR","","SEN","FMLE","6.2","6.20000","","",""
"TOBACCO_0000000344","PUBLISHED","2007","AFR","","SEN","MLE","20.4","20.40000","","",""
"TOBACCO_0000000344","PUBLISHED","2007","AFR","","SEN","FMLE","9.6","9.60000","","",""
"TOBACCO_0000000344","PUBLISHED","2002","AFR","","SEN","MLE","24.3","24.30000","","",""
"TOBACCO_0000000344","PUBLISHED","2002","AFR","","SEN","FMLE","6.9","6.90000","","",""
"TOBACCO_0000000344","PUBLISHED","2010","AFR","","STP","MLE","30.7","30.70000","","",""
"TOBACCO_0000000344","PUBLISHED","2010","AFR","","STP","FMLE","22.7","22.70000","","",""
"TOBACCO_0000000344","PUBLISHED","2009","AFR","","SWZ","MLE","15.8","15.80000","","",""
"TOBACCO_0000000344","PUBLISHED","2009","AFR","","SWZ","FMLE","8.6","8.60000","","",""
"TOBACCO_0000000344","PUBLISHED","2005","AFR","","SWZ","MLE","14.7","14.70000","","",""
