"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"TOBACCO_0000000347","PUBLISHED","2008","EMR","AFG","FMLE","23.6","","","",""
"TOBACCO_0000000347","PUBLISHED","2008","EMR","AFG","BTSX","45","","","",""
"TOBACCO_0000000347","PUBLISHED","2008","EMR","AFG","MLE","60.2","","","",""
"TOBACCO_0000000347","PUBLISHED","2008","EUR","ALB","FMLE","81.6","","","",""
"TOBACCO_0000000347","PUBLISHED","2008","EUR","ALB","MLE","79.4","","","",""
"TOBACCO_0000000347","PUBLISHED","2008","EUR","ALB","BTSX","80.6","","","",""
"TOBACCO_0000000347","PUBLISHED","2008","AFR","DZA","FMLE","56.2","","","",""
"TOBACCO_0000000347","PUBLISHED","2008","AFR","DZA","MLE","66","","","",""
"TOBACCO_0000000347","PUBLISHED","2008","AFR","DZA","BTSX","60.2","","","",""
"TOBACCO_0000000347","PUBLISHED","2008","EUR","AND","MLE","...","","","",""
"TOBACCO_0000000347","PUBLISHED","2008","EUR","AND","FMLE","...","","","",""
"TOBACCO_0000000347","PUBLISHED","2008","EUR","AND","BTSX","...","","","",""
"TOBACCO_0000000347","PUBLISHED","2008","AFR","AGO","MLE","...","","","",""
"TOBACCO_0000000347","PUBLISHED","2008","AFR","AGO","BTSX","...","","","",""
"TOBACCO_0000000347","PUBLISHED","2008","AFR","AGO","FMLE","...","","","",""
"TOBACCO_0000000347","PUBLISHED","2008","AMR","ATG","FMLE","43.2","","","",""
"TOBACCO_0000000347","PUBLISHED","2008","AMR","ATG","MLE","37.3","","","",""
"TOBACCO_0000000347","PUBLISHED","2008","AMR","ATG","BTSX","40.3","","","",""
"TOBACCO_0000000347","PUBLISHED","2008","AMR","ARG","MLE","66.4","","","",""
"TOBACCO_0000000347","PUBLISHED","2008","AMR","ARG","FMLE","70.7","","","",""
"TOBACCO_0000000347","PUBLISHED","2008","AMR","ARG","BTSX","68.6","","","",""
"TOBACCO_0000000347","PUBLISHED","2008","EUR","ARM","MLE","82.8","","","",""
"TOBACCO_0000000347","PUBLISHED","2008","EUR","ARM","BTSX","85.1","","","",""
"TOBACCO_0000000347","PUBLISHED","2008","EUR","ARM","FMLE","87","","","",""
"TOBACCO_0000000347","PUBLISHED","2008","WPR","AUS","MLE","...","","","",""
"TOBACCO_0000000347","PUBLISHED","2008","WPR","AUS","FMLE","...","","","",""
"TOBACCO_0000000347","PUBLISHED","2008","WPR","AUS","BTSX","...","","","",""
"TOBACCO_0000000347","PUBLISHED","2008","EUR","AUT","BTSX","...","","","",""
"TOBACCO_0000000347","PUBLISHED","2008","EUR","AUT","FMLE","...","","","",""
"TOBACCO_0000000347","PUBLISHED","2008","EUR","AUT","MLE","...","","","",""
