"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","ENVCAUSE","Display Value","Numeric","Low","High","Comments"
"TOTENV_2","PUBLISHED","2012","AMR","BRB","ENVCAUSE001","4","3.59211","","",""
"TOTENV_2","PUBLISHED","2012","AFR","CIV","ENVCAUSE001","134","133.73154","","",""
"TOTENV_2","PUBLISHED","2012","AFR","CMR","ENVCAUSE001","126","125.57919","","",""
"TOTENV_2","PUBLISHED","2012","EUR","KGZ","ENVCAUSE001","9","9.31273","","",""
"TOTENV_2","PUBLISHED","2012","AMR","KNA","ENVCAUSE001","3","2.74739","","",""
"TOTENV_2","PUBLISHED","2012","SEAR","LKA","ENVCAUSE001","8","7.62832","","",""
"TOTENV_2","PUBLISHED","2012","SEAR","MDV","ENVCAUSE001","5","5.35648","","",""
"TOTENV_2","PUBLISHED","2012","EUR","MLT","ENVCAUSE001","0","0.43118","","",""
"TOTENV_2","PUBLISHED","2012","WPR","MNG","ENVCAUSE001","13","13.41679","","",""
"TOTENV_2","PUBLISHED","2012","WPR","PNG","ENVCAUSE001","68","67.56714","","",""
"TOTENV_2","PUBLISHED","2012","SEAR","PRK","ENVCAUSE001","14","13.72810","","",""
"TOTENV_2","PUBLISHED","2012","AFR","SEN","ENVCAUSE001","96","95.75966","","",""
"TOTENV_2","PUBLISHED","2012","AFR","SWZ","ENVCAUSE001","123","122.58961","","",""
"TOTENV_2","PUBLISHED","2012","EMR","SYR","ENVCAUSE001","5","5.30984","","",""
"TOTENV_2","PUBLISHED","2012","WPR","TON","ENVCAUSE001","10","10.12078","","",""
"TOTENV_2","PUBLISHED","2012","EUR","UZB","ENVCAUSE001","11","10.63249","","",""
"TOTENV_2","PUBLISHED","2012","AFR","ZAF","ENVCAUSE001","88","88.41188","","",""
"TOTENV_2","PUBLISHED","2012","AFR","AGO","ENVCAUSE151","62","62.14518","","",""
"TOTENV_2","PUBLISHED","2012","EMR","BHR","ENVCAUSE151","10","9.63149","","",""
"TOTENV_2","PUBLISHED","2012","EUR","BIH","ENVCAUSE151","13","12.92241","","",""
"TOTENV_2","PUBLISHED","2012","AMR","BRB","ENVCAUSE151","7","7.27238","","",""
"TOTENV_2","PUBLISHED","2012","EUR","CZE","ENVCAUSE151","9","8.75581","","",""
"TOTENV_2","PUBLISHED","2012","AFR","DZA","ENVCAUSE151","24","24.04296","","",""
"TOTENV_2","PUBLISHED","2012","WPR","FSM","ENVCAUSE151","31","30.75807","","",""
"TOTENV_2","PUBLISHED","2012","AFR","GAB","ENVCAUSE151","32","31.73015","","",""
"TOTENV_2","PUBLISHED","2012","SEAR","LKA","ENVCAUSE151","34","33.74199","","",""
"TOTENV_2","PUBLISHED","2012","AFR","LSO","ENVCAUSE151","58","58.44422","","",""
"TOTENV_2","PUBLISHED","2012","SEAR","MDV","ENVCAUSE151","15","15.23882","","",""
"TOTENV_2","PUBLISHED","2012","AMR","MEX","ENVCAUSE151","20","20.30863","","",""
"TOTENV_2","PUBLISHED","2012","SEAR","MMR","ENVCAUSE151","39","39.33514","","",""
"TOTENV_2","PUBLISHED","2012","AMR","NIC","ENVCAUSE151","23","23.14384","","",""
"TOTENV_2","PUBLISHED","2012","AMR","PRY","ENVCAUSE151","24","23.96654","","",""
"TOTENV_2","PUBLISHED","2012","EMR","SAU","ENVCAUSE151","16","15.85942","","",""
"TOTENV_2","PUBLISHED","2012","WPR","SGP","ENVCAUSE151","3","2.67145","","",""
"TOTENV_2","PUBLISHED","2012","EMR","SYR","ENVCAUSE151","14","13.55003","","",""
"TOTENV_2","PUBLISHED","2012","AFR","TCD","ENVCAUSE151","51","51.37538","","",""
"TOTENV_2","PUBLISHED","2012","AFR","TGO","ENVCAUSE151","40","40.37537","","",""
"TOTENV_2","PUBLISHED","2012","WPR","TON","ENVCAUSE151","21","21.49776","","",""
"TOTENV_2","PUBLISHED","2012","AFR","AGO","ENVCAUSE060","157","157.34780","","",""
"TOTENV_2","PUBLISHED","2012","EUR","BIH","ENVCAUSE060","141","141.29943","","",""
"TOTENV_2","PUBLISHED","2012","AMR","CUB","ENVCAUSE060","60","59.86040","","",""
"TOTENV_2","PUBLISHED","2012","EUR","CZE","ENVCAUSE060","73","72.83766","","",""
"TOTENV_2","PUBLISHED","2012","WPR","FSM","ENVCAUSE060","73","73.45286","","",""
"TOTENV_2","PUBLISHED","2012","AFR","GAB","ENVCAUSE060","69","68.64597","","",""
"TOTENV_2","PUBLISHED","2012","AFR","LSO","ENVCAUSE060","109","109.13712","","",""
"TOTENV_2","PUBLISHED","2012","AMR","MEX","ENVCAUSE060","57","56.81175","","",""
"TOTENV_2","PUBLISHED","2012","WPR","MNG","ENVCAUSE060","265","265.22220","","",""
"TOTENV_2","PUBLISHED","2012","AMR","NIC","ENVCAUSE060","105","105.36408","","",""
"TOTENV_2","PUBLISHED","2012","SEAR","PRK","ENVCAUSE060","260","259.59490","","",""
"TOTENV_2","PUBLISHED","2012","EMR","SDN","ENVCAUSE060","113","112.66616","","",""
"TOTENV_2","PUBLISHED","2012","WPR","SGP","ENVCAUSE060","43","43.36466","","",""
"TOTENV_2","PUBLISHED","2012","WPR","SLB","ENVCAUSE060","128","128.35027","","",""
"TOTENV_2","PUBLISHED","2012","AFR","SLE","ENVCAUSE060","210","210.27813","","",""
