"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","AGEGROUP","ENVCAUSE","Display Value","Numeric","Low","High","Comments"
"TOTENV_6","PUBLISHED","2012","AFR","BDI","","ENVCAUSE000","27","0.27000","","",""
"TOTENV_6","PUBLISHED","2012","AFR","BFA","","ENVCAUSE000","26","0.26000","","",""
"TOTENV_6","PUBLISHED","2012","SEAR","BGD","","ENVCAUSE000","22","0.22000","","",""
"TOTENV_6","PUBLISHED","2012","EUR","BLR","","ENVCAUSE000","19","0.19000","","",""
"TOTENV_6","PUBLISHED","2012","WPR","COK","","ENVCAUSE000","15","0.15000","","",""
"TOTENV_6","PUBLISHED","2012","EMR","DJI","","ENVCAUSE000","17","0.17000","","",""
"TOTENV_6","PUBLISHED","2012","AMR","GRD","","ENVCAUSE000","16","0.16000","","",""
"TOTENV_6","PUBLISHED","2012","EUR","IRL","","ENVCAUSE000","14","0.14000","","",""
"TOTENV_6","PUBLISHED","2012","WPR","JPN","","ENVCAUSE000","13","0.13000","","",""
"TOTENV_6","PUBLISHED","2012","EUR","MKD","","ENVCAUSE000","17","0.17000","","",""
"TOTENV_6","PUBLISHED","2012","EUR","NOR","","ENVCAUSE000","12","0.12000","","",""
"TOTENV_6","PUBLISHED","2012","WPR","PHL","","ENVCAUSE000","21","0.21000","","",""
"TOTENV_6","PUBLISHED","2012","WPR","PNG","","ENVCAUSE000","21","0.21000","","",""
"TOTENV_6","PUBLISHED","2012","EMR","QAT","","ENVCAUSE000","16","0.16000","","",""
"TOTENV_6","PUBLISHED","2012","AFR","AGO","","ENVCAUSE000","27","0.27000","","",""
"TOTENV_6","PUBLISHED","2012","EMR","BHR","","ENVCAUSE000","14","0.14000","","",""
"TOTENV_6","PUBLISHED","2012","EUR","BIH","","ENVCAUSE000","23","0.23000","","",""
"TOTENV_6","PUBLISHED","2012","SEAR","BTN","","ENVCAUSE000","25","0.25000","","",""
"TOTENV_6","PUBLISHED","2012","AFR","CMR","","ENVCAUSE000","23","0.23000","","",""
"TOTENV_6","PUBLISHED","2012","AMR","CUB","","ENVCAUSE000","16","0.16000","","",""
"TOTENV_6","PUBLISHED","2012","EUR","CYP","","ENVCAUSE000","14","0.14000","","",""
"TOTENV_6","PUBLISHED","2012","AFR","DZA","","ENVCAUSE000","16","0.16000","","",""
"TOTENV_6","PUBLISHED","2012","WPR","FSM","","ENVCAUSE000","16","0.16000","","",""
"TOTENV_6","PUBLISHED","2012","EUR","HRV","","ENVCAUSE000","15","0.15000","","",""
"TOTENV_6","PUBLISHED","2012","SEAR","MDV","","ENVCAUSE000","14","0.14000","","",""
"TOTENV_6","PUBLISHED","2012","AMR","MEX","","ENVCAUSE000","15","0.15000","","",""
"TOTENV_6","PUBLISHED","2012","EUR","SRB","","ENVCAUSE000","16","0.16000","","",""
"TOTENV_6","PUBLISHED","2012","AFR","STP","","ENVCAUSE000","20","0.20000","","",""
"TOTENV_6","PUBLISHED","2012","EMR","SYR","","ENVCAUSE000","10","0.10000","","",""
"TOTENV_6","PUBLISHED","2012","AFR","TGO","","ENVCAUSE000","24","0.24000","","",""
"TOTENV_6","PUBLISHED","2012","WPR","TON","","ENVCAUSE000","15","0.15000","","",""
"TOTENV_6","PUBLISHED","2012","EMR","TUN","","ENVCAUSE000","17","0.17000","","",""
"TOTENV_6","PUBLISHED","2012","WPR","TUV","","ENVCAUSE000","15","0.15000","","",""
"TOTENV_6","PUBLISHED","2012","AFR","ZAF","","ENVCAUSE000","16","0.16000","","",""
"TOTENV_6","PUBLISHED","2012","EUR","FIN","","ENVCAUSE000","12","0.12000","","",""
"TOTENV_6","PUBLISHED","2012","SEAR","IDN","","ENVCAUSE000","21","0.21000","","",""
"TOTENV_6","PUBLISHED","2012","AMR","KNA","","ENVCAUSE000","10","0.10000","","",""
"TOTENV_6","PUBLISHED","2012","AMR","LCA","","ENVCAUSE000","17","0.17000","","",""
"TOTENV_6","PUBLISHED","2012","AFR","LSO","","ENVCAUSE000","16","0.16000","","",""
"TOTENV_6","PUBLISHED","2012","EUR","MNE","","ENVCAUSE000","18","0.18000","","",""
"TOTENV_6","PUBLISHED","2012","EMR","ARE","","ENVCAUSE000","16","0.16000","","",""
"TOTENV_6","PUBLISHED","2012","AMR","ARG","","ENVCAUSE000","14","0.14000","","",""
"TOTENV_6","PUBLISHED","2012","AFR","BEN","","ENVCAUSE000","25","0.25000","","",""
"TOTENV_6","PUBLISHED","2012","EUR","CHE","","ENVCAUSE000","13","0.13000","","",""
"TOTENV_6","PUBLISHED","2012","AMR","COL","","ENVCAUSE000","16","0.16000","","",""
"TOTENV_6","PUBLISHED","2012","EUR","DEU","","ENVCAUSE000","13","0.13000","","",""
"TOTENV_6","PUBLISHED","2012","EUR","DNK","","ENVCAUSE000","12","0.12000","","",""
"TOTENV_6","PUBLISHED","2012","EUR","ESP","","ENVCAUSE000","12","0.12000","","",""
"TOTENV_6","PUBLISHED","2012","AMR","GTM","","ENVCAUSE000","18","0.18000","","",""
"TOTENV_6","PUBLISHED","2012","EUR","KGZ","","ENVCAUSE000","20","0.20000","","",""
