"GHO","PUBLISHSTATE","YEAR","REGION","Display Value","Numeric","Low","High","Comments"
"TOTENV_7","PUBLISHED","2004","GBD_REG14_AFRD","900","900.00000","","",""
"TOTENV_7","PUBLISHED","2004","GBD_REG14_AFRE","860","860.00000","","",""
"TOTENV_7","PUBLISHED","2004","GBD_REG14_AMRA","3","3.00000","","",""
"TOTENV_7","PUBLISHED","2004","GBD_REG14_AMRB","75","75.00000","","",""
"TOTENV_7","PUBLISHED","2004","GBD_REG14_AMRD","34","34.00000","","",""
"TOTENV_7","PUBLISHED","2004","GBD_REG14_EMRB","27","27.00000","","",""
"TOTENV_7","PUBLISHED","2004","GBD_REG14_EMRD","415","415.00000","","",""
"TOTENV_7","PUBLISHED","2004","GBD_REG14_EURA","2","2.00000","","",""
"TOTENV_7","PUBLISHED","2004","GBD_REG14_EURB","53","53.00000","","",""
"TOTENV_7","PUBLISHED","2004","GBD_REG14_EURC","12","12.00000","","",""
"TOTENV_7","PUBLISHED","2004","GBD_REG14_SEARB","80","80.00000","","",""
"TOTENV_7","PUBLISHED","2004","GBD_REG14_SEARD","992","992.00000","","",""
"TOTENV_7","PUBLISHED","2004","GBD_REG14_WPRA","0.67","0.67000","","",""
"TOTENV_7","PUBLISHED","2004","GBD_REG14_WPRB","206","206.00000","","",""
"TOTENV_7","PUBLISHED","2004","GBD_REG14_WORLD","3660","3660.00000","","",""
