"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"UHCTRANSFATS","PUBLISHED","2004","EUR","DNK","Yes","1.00000","","",""
"UHCTRANSFATS","PUBLISHED","2004","EUR","AUT","No","0.00000","","",""
"UHCTRANSFATS","PUBLISHED","2004","AMR","CHL","No","0.00000","","",""
"UHCTRANSFATS","PUBLISHED","2004","EUR","ISL","No","0.00000","","",""
"UHCTRANSFATS","PUBLISHED","2004","AFR","ZAF","No","0.00000","","",""
"UHCTRANSFATS","PUBLISHED","2004","EUR","HUN","No","0.00000","","",""
"UHCTRANSFATS","PUBLISHED","2004","EUR","NOR","No","0.00000","","",""
"UHCTRANSFATS","PUBLISHED","2004","AMR","CAN","No","0.00000","","",""
"UHCTRANSFATS","PUBLISHED","2004","EUR","LVA","No","0.00000","","",""
"UHCTRANSFATS","PUBLISHED","2004","EUR","SVN","No","0.00000","","",""
"UHCTRANSFATS","PUBLISHED","2004","AMR","USA","No","0.00000","","",""
"UHCTRANSFATS","PUBLISHED","2004","EUR","LTU","No","0.00000","","",""
"UHCTRANSFATS","PUBLISHED","2004","SEAR","THA","No","0.00000","","",""
"UHCTRANSFATS","PUBLISHED","2004","EMR","SAU","No","0.00000","","",""
"UHCTRANSFATS","PUBLISHED","2004","EUR","BEL","No","0.00000","","",""
"UHCTRANSFATS","PUBLISHED","2004","AMR","BRA","No","0.00000","","",""
"UHCTRANSFATS","PUBLISHED","2004","EUR","BGR","No","0.00000","","",""
"UHCTRANSFATS","PUBLISHED","2004","EUR","HRV","No","0.00000","","",""
"UHCTRANSFATS","PUBLISHED","2004","EUR","CYP","No","0.00000","","",""
"UHCTRANSFATS","PUBLISHED","2004","EUR","CZE","No","0.00000","","",""
"UHCTRANSFATS","PUBLISHED","2004","EUR","EST","No","0.00000","","",""
"UHCTRANSFATS","PUBLISHED","2004","EUR","FIN","No","0.00000","","",""
"UHCTRANSFATS","PUBLISHED","2004","EUR","FRA","No","0.00000","","",""
"UHCTRANSFATS","PUBLISHED","2004","EUR","DEU","No","0.00000","","",""
"UHCTRANSFATS","PUBLISHED","2004","EUR","GRC","No","0.00000","","",""
"UHCTRANSFATS","PUBLISHED","2004","EUR","IRL","No","0.00000","","",""
"UHCTRANSFATS","PUBLISHED","2004","EUR","ITA","No","0.00000","","",""
"UHCTRANSFATS","PUBLISHED","2004","EUR","LUX","No","0.00000","","",""
"UHCTRANSFATS","PUBLISHED","2004","EUR","MLT","No","0.00000","","",""
"UHCTRANSFATS","PUBLISHED","2004","EUR","NLD","No","0.00000","","",""
"UHCTRANSFATS","PUBLISHED","2004","AMR","PER","No","0.00000","","",""
"UHCTRANSFATS","PUBLISHED","2004","EUR","POL","No","0.00000","","",""
