"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","Display Value","Numeric","Low","High","Comments"
"UHC_INDEX_REPORTED","PUBLISHED","2015","AFR","","","44","0.44412","","",""
"UHC_INDEX_REPORTED","PUBLISHED","2017","AFR","","","46","0.45606","","",""
"UHC_INDEX_REPORTED","PUBLISHED","2015","AMR","","","78","0.77879","","",""
"UHC_INDEX_REPORTED","PUBLISHED","2017","AMR","","","79","0.78629","","",""
"UHC_INDEX_REPORTED","PUBLISHED","2015","EMR","","","54","0.54265","","",""
"UHC_INDEX_REPORTED","PUBLISHED","2017","EMR","","","57","0.56516","","",""
"UHC_INDEX_REPORTED","PUBLISHED","2015","EUR","","","75","0.75417","","",""
"UHC_INDEX_REPORTED","PUBLISHED","2017","EUR","","","77","0.77255","","",""
"UHC_INDEX_REPORTED","PUBLISHED","2015","GLOBAL","WB_WORLD_INCOME","","64","0.63835","","",""
"UHC_INDEX_REPORTED","PUBLISHED","2017","GLOBAL","WB_WORLD_INCOME","","66","0.65736","","",""
"UHC_INDEX_REPORTED","PUBLISHED","2015","SEAR","","","53","0.53293","","",""
"UHC_INDEX_REPORTED","PUBLISHED","2017","SEAR","","","56","0.56208","","",""
"UHC_INDEX_REPORTED","PUBLISHED","2015","WPR","","","75","0.75141","","",""
"UHC_INDEX_REPORTED","PUBLISHED","2017","WPR","","","77","0.77481","","",""
"UHC_INDEX_REPORTED","PUBLISHED","2015","","WB_HI","","81","0.80715","","",""
"UHC_INDEX_REPORTED","PUBLISHED","2017","","WB_HI","","82","0.81994","","",""
"UHC_INDEX_REPORTED","PUBLISHED","2015","","WB_LI","","41","0.41065","","",""
"UHC_INDEX_REPORTED","PUBLISHED","2017","","WB_LI","","43","0.42602","","",""
"UHC_INDEX_REPORTED","PUBLISHED","2015","","WB_LMI","","53","0.52618","","",""
"UHC_INDEX_REPORTED","PUBLISHED","2017","","WB_LMI","","55","0.55121","","",""
"UHC_INDEX_REPORTED","PUBLISHED","2015","","WB_UMI","","75","0.74614","","",""
"UHC_INDEX_REPORTED","PUBLISHED","2017","","WB_UMI","","77","0.76640","","",""
"UHC_INDEX_REPORTED","PUBLISHED","2015","EMR","","AFG","34","34.00000","","",""
