"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","Display Value","Numeric","Low","High","Comments"
"UHC_SCI_CAPACITY","PUBLISHED","2015","EMR","","AFG","24","0.23894","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2017","EMR","","AFG","24","0.23890","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2015","AFR","","AGO","27","0.26796","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2017","AFR","","AGO","35","0.34636","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2015","EUR","","ALB","69","0.69475","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2017","EUR","","ALB","69","0.69475","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2015","EMR","","ARE","82","0.81636","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2017","EMR","","ARE","92","0.91831","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2015","AMR","","ARG","94","0.93827","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2017","AMR","","ARG","89","0.88875","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2015","EUR","","ARM","99","0.98546","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2017","EUR","","ARM","98","0.98408","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2015","AMR","","ATG","74","0.73758","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2017","AMR","","ATG","70","0.69827","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2015","WPR","","AUS","100","0.99900","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2017","WPR","","AUS","100","0.99900","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2015","EUR","","AUT","95","0.95464","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2017","EUR","","AUT","88","0.88023","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2015","EUR","","AZE","94","0.94373","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2017","EUR","","AZE","94","0.94185","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2015","AFR","","BDI","17","0.16995","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2017","AFR","","BDI","13","0.12966","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2015","EUR","","BEL","94","0.93637","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2017","EUR","","BEL","94","0.93940","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2015","AFR","","BEN","22","0.21645","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2017","AFR","","BEN","21","0.20513","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2015","AFR","","BFA","16","0.15674","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2017","AFR","","BFA","15","0.15369","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2015","SEAR","","BGD","42","0.41799","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2017","SEAR","","BGD","42","0.42158","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2015","EUR","","BGR","88","0.87937","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2017","EUR","","BGR","87","0.86713","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2015","EMR","","BHR","99","0.98751","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2017","EMR","","BHR","98","0.97610","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2015","AMR","","BHS","73","0.72551","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2017","AMR","","BHS","81","0.80688","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2015","EUR","","BIH","77","0.76540","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2017","EUR","","BIH","78","0.77954","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2015","EUR","","BLR","96","0.96370","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2017","EUR","","BLR","96","0.96370","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2015","AMR","","BLZ","63","0.62737","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2017","AMR","","BLZ","56","0.56233","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2015","AMR","","BOL","74","0.74485","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2017","AMR","","BOL","82","0.81503","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2015","AMR","","BRA","99","0.98819","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2017","AMR","","BRA","99","0.98683","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2015","AMR","","BRB","77","0.76511","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2017","AMR","","BRB","78","0.78124","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2015","WPR","","BRN","97","0.97047","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2017","WPR","","BRN","88","0.87590","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2015","SEAR","","BTN","50","0.49891","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2017","SEAR","","BTN","53","0.52914","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2015","AFR","","BWA","52","0.52154","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2017","AFR","","BWA","47","0.47229","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2015","AFR","","CAF","16","0.15860","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2017","AFR","","CAF","16","0.15940","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2015","AMR","","CAN","100","0.99866","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2017","AMR","","CAN","100","1.00000","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2015","EUR","","CHE","97","0.97012","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2017","EUR","","CHE","97","0.97012","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2015","AMR","","CHL","91","0.90816","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2017","AMR","","CHL","94","0.94204","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2015","WPR","","CHN","100","0.99800","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2017","WPR","","CHN","100","1.00000","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2015","AFR","","CIV","29","0.29170","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2017","AFR","","CIV","30","0.29811","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2015","AFR","","CMR","28","0.28350","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2017","AFR","","CMR","26","0.26215","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2015","AFR","","COD","25","0.24907","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2017","AFR","","COD","24","0.23782","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2015","AFR","","COG","26","0.25709","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2017","AFR","","COG","24","0.23827","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2015","AMR","","COL","83","0.83262","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2017","AMR","","COL","85","0.85458","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2015","AFR","","COM","35","0.35166","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2017","AFR","","COM","37","0.36554","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2015","AFR","","CPV","81","0.81403","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2017","AFR","","CPV","83","0.82841","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2015","AMR","","CRI","75","0.75277","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2017","AMR","","CRI","77","0.76680","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2015","AMR","","CUB","100","0.99632","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2017","AMR","","CUB","100","0.99766","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2015","EUR","","CYP","91","0.90681","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2017","EUR","","CYP","97","0.97211","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2015","EUR","","CZE","96","0.95901","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2017","EUR","","CZE","98","0.97889","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2015","EUR","","DEU","99","0.99453","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2017","EUR","","DEU","99","0.98819","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2015","EMR","","DJI","37","0.36766","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2017","EMR","","DJI","34","0.34122","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2015","EUR","","DNK","97","0.96905","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2017","EUR","","DNK","96","0.96406","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2015","AMR","","DOM","81","0.81286","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2017","AMR","","DOM","75","0.75007","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2015","AFR","","DZA","90","0.89545","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2017","AFR","","DZA","91","0.90977","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2015","AMR","","ECU","92","0.91895","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2017","AMR","","ECU","86","0.85579","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2015","EMR","","EGY","91","0.90544","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2017","EMR","","EGY","89","0.88562","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2015","AFR","","ERI","19","0.19267","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2017","AFR","","ERI","17","0.17061","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2015","EUR","","ESP","97","0.96549","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2017","EUR","","ESP","98","0.98236","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2015","EUR","","EST","90","0.89545","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2017","EUR","","EST","89","0.88790","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2015","AFR","","ETH","18","0.18340","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2017","AFR","","ETH","19","0.19152","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2015","EUR","","FIN","99","0.98580","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2017","EUR","","FIN","98","0.98120","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2015","WPR","","FJI","73","0.72940","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2017","WPR","","FJI","68","0.67851","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2015","EUR","","FRA","96","0.96046","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2017","EUR","","FRA","96","0.96334","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2015","WPR","","FSM","70","0.70074","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2017","WPR","","FSM","77","0.77227","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2015","AFR","","GAB","56","0.55862","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2017","AFR","","GAB","56","0.56250","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2015","EUR","","GBR","96","0.96010","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2017","EUR","","GBR","96","0.96334","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2015","EUR","","GEO","93","0.93063","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2017","EUR","","GEO","90","0.90287","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2015","AFR","","GHA","30","0.29613","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2017","AFR","","GHA","31","0.30734","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2015","AFR","","GIN","16","0.15895","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2017","AFR","","GIN","17","0.16696","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2015","AFR","","GMB","26","0.25954","","",""
"UHC_SCI_CAPACITY","PUBLISHED","2017","AFR","","GMB","25","0.24847","","",""
