"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","Display Value","Numeric","Low","High","Comments"
"UHC_SCI_RMNCH","PUBLISHED","2015","EMR","","AFG","42","0.41745","","",""
"UHC_SCI_RMNCH","PUBLISHED","2017","EMR","","AFG","44","0.44153","","",""
"UHC_SCI_RMNCH","PUBLISHED","2015","AFR","","AGO","45","0.44826","","",""
"UHC_SCI_RMNCH","PUBLISHED","2017","AFR","","AGO","45","0.44779","","",""
"UHC_SCI_RMNCH","PUBLISHED","2015","EUR","","ALB","47","0.46906","","",""
"UHC_SCI_RMNCH","PUBLISHED","2017","EUR","","ALB","45","0.44717","","",""
"UHC_SCI_RMNCH","PUBLISHED","2015","EMR","","ARE","84","0.84092","","",""
"UHC_SCI_RMNCH","PUBLISHED","2017","EMR","","ARE","84","0.84023","","",""
"UHC_SCI_RMNCH","PUBLISHED","2015","AMR","","ARG","90","0.89692","","",""
"UHC_SCI_RMNCH","PUBLISHED","2017","AMR","","ARG","88","0.87854","","",""
"UHC_SCI_RMNCH","PUBLISHED","2015","EUR","","ARM","66","0.66360","","",""
"UHC_SCI_RMNCH","PUBLISHED","2017","EUR","","ARM","67","0.66838","","",""
"UHC_SCI_RMNCH","PUBLISHED","2015","AMR","","ATG","90","0.89804","","",""
"UHC_SCI_RMNCH","PUBLISHED","2017","AMR","","ATG","86","0.85866","","",""
"UHC_SCI_RMNCH","PUBLISHED","2015","WPR","","AUS","91","0.90887","","",""
"UHC_SCI_RMNCH","PUBLISHED","2017","WPR","","AUS","91","0.91461","","",""
"UHC_SCI_RMNCH","PUBLISHED","2015","EUR","","AUT","92","0.91623","","",""
"UHC_SCI_RMNCH","PUBLISHED","2017","EUR","","AUT","91","0.90943","","",""
"UHC_SCI_RMNCH","PUBLISHED","2015","EUR","","AZE","48","0.48350","","",""
"UHC_SCI_RMNCH","PUBLISHED","2017","EUR","","AZE","49","0.48936","","",""
"UHC_SCI_RMNCH","PUBLISHED","2015","AFR","","BDI","58","0.57627","","",""
"UHC_SCI_RMNCH","PUBLISHED","2017","AFR","","BDI","58","0.57870","","",""
"UHC_SCI_RMNCH","PUBLISHED","2015","EUR","","BEL","95","0.94741","","",""
"UHC_SCI_RMNCH","PUBLISHED","2017","EUR","","BEL","94","0.94408","","",""
"UHC_SCI_RMNCH","PUBLISHED","2015","AFR","","BEN","41","0.40597","","",""
"UHC_SCI_RMNCH","PUBLISHED","2017","AFR","","BEN","46","0.46357","","",""
"UHC_SCI_RMNCH","PUBLISHED","2015","AFR","","BFA","56","0.55872","","",""
"UHC_SCI_RMNCH","PUBLISHED","2017","AFR","","BFA","57","0.57432","","",""
"UHC_SCI_RMNCH","PUBLISHED","2015","SEAR","","BGD","58","0.57939","","",""
"UHC_SCI_RMNCH","PUBLISHED","2017","SEAR","","BGD","58","0.58077","","",""
"UHC_SCI_RMNCH","PUBLISHED","2015","EUR","","BGR","79","0.79432","","",""
"UHC_SCI_RMNCH","PUBLISHED","2017","EUR","","BGR","81","0.80561","","",""
"UHC_SCI_RMNCH","PUBLISHED","2015","EMR","","BHR","85","0.84929","","",""
"UHC_SCI_RMNCH","PUBLISHED","2017","EMR","","BHR","85","0.85069","","",""
"UHC_SCI_RMNCH","PUBLISHED","2015","AMR","","BHS","85","0.85352","","",""
"UHC_SCI_RMNCH","PUBLISHED","2017","AMR","","BHS","85","0.85224","","",""
"UHC_SCI_RMNCH","PUBLISHED","2015","EUR","","BIH","64","0.63983","","",""
"UHC_SCI_RMNCH","PUBLISHED","2017","EUR","","BIH","64","0.63823","","",""
"UHC_SCI_RMNCH","PUBLISHED","2015","EUR","","BLR","91","0.90820","","",""
"UHC_SCI_RMNCH","PUBLISHED","2017","EUR","","BLR","91","0.90632","","",""
"UHC_SCI_RMNCH","PUBLISHED","2015","AMR","","BLZ","80","0.79707","","",""
"UHC_SCI_RMNCH","PUBLISHED","2017","AMR","","BLZ","79","0.78715","","",""
"UHC_SCI_RMNCH","PUBLISHED","2015","AMR","","BOL","70","0.69988","","",""
"UHC_SCI_RMNCH","PUBLISHED","2017","AMR","","BOL","70","0.69904","","",""
"UHC_SCI_RMNCH","PUBLISHED","2015","AMR","","BRA","79","0.78577","","",""
"UHC_SCI_RMNCH","PUBLISHED","2017","AMR","","BRA","77","0.77232","","",""
"UHC_SCI_RMNCH","PUBLISHED","2015","AMR","","BRB","90","0.89541","","",""
"UHC_SCI_RMNCH","PUBLISHED","2017","AMR","","BRB","88","0.88211","","",""
"UHC_SCI_RMNCH","PUBLISHED","2015","WPR","","BRN","92","0.92251","","",""
"UHC_SCI_RMNCH","PUBLISHED","2017","WPR","","BRN","92","0.92288","","",""
"UHC_SCI_RMNCH","PUBLISHED","2015","SEAR","","BTN","84","0.84462","","",""
"UHC_SCI_RMNCH","PUBLISHED","2017","SEAR","","BTN","84","0.84479","","",""
"UHC_SCI_RMNCH","PUBLISHED","2015","AFR","","BWA","67","0.66937","","",""
"UHC_SCI_RMNCH","PUBLISHED","2017","AFR","","BWA","67","0.67109","","",""
"UHC_SCI_RMNCH","PUBLISHED","2015","AFR","","CAF","37","0.36620","","",""
"UHC_SCI_RMNCH","PUBLISHED","2017","AFR","","CAF","37","0.37229","","",""
"UHC_SCI_RMNCH","PUBLISHED","2015","AMR","","CAN","94","0.93528","","",""
"UHC_SCI_RMNCH","PUBLISHED","2017","AMR","","CAN","94","0.93553","","",""
"UHC_SCI_RMNCH","PUBLISHED","2015","EUR","","CHE","94","0.94054","","",""
"UHC_SCI_RMNCH","PUBLISHED","2017","EUR","","CHE","94","0.94164","","",""
"UHC_SCI_RMNCH","PUBLISHED","2015","AMR","","CHL","92","0.91984","","",""
"UHC_SCI_RMNCH","PUBLISHED","2017","AMR","","CHL","92","0.91597","","",""
"UHC_SCI_RMNCH","PUBLISHED","2015","WPR","","CHN","86","0.85978","","",""
"UHC_SCI_RMNCH","PUBLISHED","2017","WPR","","CHN","86","0.86251","","",""
"UHC_SCI_RMNCH","PUBLISHED","2015","AFR","","CIV","49","0.48538","","",""
"UHC_SCI_RMNCH","PUBLISHED","2017","AFR","","CIV","51","0.51032","","",""
"UHC_SCI_RMNCH","PUBLISHED","2015","AFR","","CMR","47","0.47410","","",""
"UHC_SCI_RMNCH","PUBLISHED","2017","AFR","","CMR","48","0.48425","","",""
"UHC_SCI_RMNCH","PUBLISHED","2015","AFR","","COD","41","0.40781","","",""
"UHC_SCI_RMNCH","PUBLISHED","2017","AFR","","COD","42","0.41758","","",""
"UHC_SCI_RMNCH","PUBLISHED","2015","AFR","","COG","50","0.50056","","",""
