"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"UNICEF_ORS","PUBLISHED","2003","EMR","AFG","29.5","29.50000","","","AFG_MICS 2003"
"UNICEF_ORS","PUBLISHED","2010-2011","EMR","AFG","53.3","53.30000","","","AFG_MICS 2010-2011"
"UNICEF_ORS","PUBLISHED","2015","EMR","AFG","46.2","46.20000","","","AFG_DHS 2015"
"UNICEF_ORS","PUBLISHED","2015-2016","AFR","AGO","42.6","42.60000","","","AGO_DHS 2015-2016"
"UNICEF_ORS","PUBLISHED","2000","EUR","ALB","23.5","23.50000","","","ALB_MICS 2000"
"UNICEF_ORS","PUBLISHED","2005","EUR","ALB","51.8","51.80000","","","ALB_MICS 2005"
"UNICEF_ORS","PUBLISHED","2008-2009","EUR","ALB","54","54.00000","","","ALB_DHS 2008-2009"
"UNICEF_ORS","PUBLISHED","2011-2012","AMR","ARG","17.5","17.50000","","","ARG_MICS 2011-2012"
"UNICEF_ORS","PUBLISHED","2000","EUR","ARM","33","33.00000","","","ARM_DHS 2000"
"UNICEF_ORS","PUBLISHED","2005","EUR","ARM","24.9","24.90000","","","ARM_DHS 2005"
"UNICEF_ORS","PUBLISHED","2010","EUR","ARM","33","33.00000","","","ARM_DHS 2010"
"UNICEF_ORS","PUBLISHED","2015-2016","EUR","ARM","36.9","36.90000","","","ARM_DHS 2015-2016"
"UNICEF_ORS","PUBLISHED","2000","EUR","AZE","10.1","10.10000","","","AZE_MICS 2000"
"UNICEF_ORS","PUBLISHED","2006","EUR","AZE","21.1","21.10000","","","AZE_DHS 2006"
"UNICEF_ORS","PUBLISHED","2011","EUR","AZE","11.1","11.10000","","","AZE_DHS 2011"
"UNICEF_ORS","PUBLISHED","2000","AFR","BDI","11","11.00000","","","BDI_MICS 2000"
"UNICEF_ORS","PUBLISHED","2005","AFR","BDI","34.8","34.79209","","","BDI_MICS 2005"
"UNICEF_ORS","PUBLISHED","2010","AFR","BDI","37.8","37.80000","","","BDI_DHS 2010"
"UNICEF_ORS","PUBLISHED","2012","AFR","BDI","47.2","47.20000","","","BDI_Other NS 2012"
"UNICEF_ORS","PUBLISHED","2016-2017","AFR","BDI","35.6","35.60000","","","BDI_DHS 2016-2017"
"UNICEF_ORS","PUBLISHED","1996","AFR","BEN","25.8","25.80000","","","BEN_DHS 1996"
"UNICEF_ORS","PUBLISHED","2001","AFR","BEN","23.3","23.30000","","","BEN_DHS 2001"
"UNICEF_ORS","PUBLISHED","2006","AFR","BEN","23.3","23.30000","","","BEN_DHS 2006"
"UNICEF_ORS","PUBLISHED","2011-2012","AFR","BEN","50.1","50.10000","","","BEN_DHS 2011-2012"
"UNICEF_ORS","PUBLISHED","2014","AFR","BEN","25.4","25.40000","","","BEN_MICS 2014"
"UNICEF_ORS","PUBLISHED","1992-1993","AFR","BFA","12","12.00000","","","BFA_DHS 1992-1993"
"UNICEF_ORS","PUBLISHED","1998-1999","AFR","BFA","14.6","14.60000","","","BFA_DHS 1998-1999"
"UNICEF_ORS","PUBLISHED","2003","AFR","BFA","18.9","18.90000","","","BFA_DHS 2003"
"UNICEF_ORS","PUBLISHED","2006","AFR","BFA","16.5","16.50440","","","BFA_MICS 2006"
"UNICEF_ORS","PUBLISHED","2010","AFR","BFA","21.2","21.20000","","","BFA_DHS 2010"
"UNICEF_ORS","PUBLISHED","2015","AFR","BFA","39.5","39.50000","","","BFA_MCSDHM 2015"
"UNICEF_ORS","PUBLISHED","1993-1994","SEAR","BGD","50.3","50.30000","","","BGD_DHS 1993-1994"
"UNICEF_ORS","PUBLISHED","1996-1997","SEAR","BGD","48.1","48.10000","","","BGD_DHS 1996-1997"
"UNICEF_ORS","PUBLISHED","1999-2000","SEAR","BGD","61.4","61.40000","","","BGD_DHS 1999-2000"
"UNICEF_ORS","PUBLISHED","2000","SEAR","BGD","62.7","62.70000","","","BGD_MICS 2000"
"UNICEF_ORS","PUBLISHED","2004","SEAR","BGD","67.2","67.20000","","","BGD_DHS 2004"
"UNICEF_ORS","PUBLISHED","2006","SEAR","BGD","64.4","64.36983","","","BGD_MICS 2006"
"UNICEF_ORS","PUBLISHED","2007","SEAR","BGD","76.6","76.60000","","","BGD_DHS 2007"
"UNICEF_ORS","PUBLISHED","2011","SEAR","BGD","77.6","77.60000","","","BGD_DHS 2011"
"UNICEF_ORS","PUBLISHED","2012-2013","SEAR","BGD","73","73.00000","","","BGD_MICS 2012-2013"
"UNICEF_ORS","PUBLISHED","2014","SEAR","BGD","77","77.00000","","","BGD_DHS 2014"
"UNICEF_ORS","PUBLISHED","2000","EUR","BIH","13.2","13.20000","","","BIH_MICS 2000"
"UNICEF_ORS","PUBLISHED","2005-2006","EUR","BIH","34.7","34.65335","","","BIH_MICS 2005-2006"
"UNICEF_ORS","PUBLISHED","2011-2012","EUR","BIH","36.3","36.30000","","","BIH_MICS 2011-2012"
"UNICEF_ORS","PUBLISHED","2005","EUR","BLR","36.4","36.44599","","","BLR_MICS 2005"
