"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","Display Value","Numeric","Low","High","Comments"
"UV_4","PUBLISHED","2002","EMR","","AFG","0.46","0.46000","","",""
"UV_4","PUBLISHED","2002","EUR","","ALB","1","1.45000","","",""
"UV_4","PUBLISHED","2002","AFR","","DZA","0.29","0.29000","","",""
"UV_4","PUBLISHED","2002","EUR","","AND","2","2.31000","","",""
"UV_4","PUBLISHED","2002","AFR","","AGO","1","1.23000","","",""
"UV_4","PUBLISHED","2002","AMR","","ATG","0.15","0.15000","","",""
"UV_4","PUBLISHED","2002","AMR","","ARG","2","2.12000","","",""
"UV_4","PUBLISHED","2002","EUR","","ARM","2","2.20000","","",""
"UV_4","PUBLISHED","2002","WPR","","AUS","6","5.73000","","",""
"UV_4","PUBLISHED","2002","EUR","","AUT","3","2.94000","","",""
"UV_4","PUBLISHED","2002","EUR","","AZE","0.57","0.57000","","",""
"UV_4","PUBLISHED","2002","AMR","","BHS","0.55","0.55000","","",""
"UV_4","PUBLISHED","2002","EMR","","BHR","0.33","0.33000","","",""
"UV_4","PUBLISHED","2002","SEAR","","BGD","0.15","0.15000","","",""
"UV_4","PUBLISHED","2002","AMR","","BRB","1","1.19000","","",""
"UV_4","PUBLISHED","2002","EUR","","BLR","3","2.68000","","",""
"UV_4","PUBLISHED","2002","EUR","","BEL","2","2.48000","","",""
"UV_4","PUBLISHED","2002","AMR","","BLZ","0.48","0.48000","","",""
"UV_4","PUBLISHED","2002","AFR","","BEN","0.65","0.65000","","",""
"UV_4","PUBLISHED","2002","SEAR","","BTN","0.75","0.75000","","",""
"UV_4","PUBLISHED","2002","AMR","","BOL","2","2.35000","","",""
"UV_4","PUBLISHED","2002","EUR","","BIH","1","1.41000","","",""
"UV_4","PUBLISHED","2002","AFR","","BWA","0.48","0.48000","","",""
"UV_4","PUBLISHED","2002","AMR","","BRA","1","1.44000","","",""
"UV_4","PUBLISHED","2002","WPR","","BRN","0.17","0.17000","","",""
"UV_4","PUBLISHED","2002","EUR","","BGR","2","2.30000","","",""
"UV_4","PUBLISHED","2002","AFR","","BFA","0.20","0.20000","","",""
"UV_4","PUBLISHED","2002","AFR","","BDI","0.81","0.81000","","",""
"UV_4","PUBLISHED","2002","WPR","","KHM","0.15","0.15000","","",""
"UV_4","PUBLISHED","2002","AFR","","CMR","2","2.04000","","",""
"UV_4","PUBLISHED","2002","AMR","","CAN","3","2.51000","","",""
"UV_4","PUBLISHED","2002","AFR","","CPV","0.98","0.98000","","",""
"UV_4","PUBLISHED","2002","AFR","","CAF","1","1.12000","","",""
"UV_4","PUBLISHED","2002","AFR","","TCD","0.86","0.86000","","",""
"UV_4","PUBLISHED","2002","AMR","","CHL","2","1.81000","","",""
"UV_4","PUBLISHED","2002","WPR","","CHN","0.45","0.45000","","",""
"UV_4","PUBLISHED","2002","AMR","","COL","0.68","0.68000","","",""
"UV_4","PUBLISHED","2002","AFR","","COM","0.87","0.87000","","",""
"UV_4","PUBLISHED","2002","AFR","","COG","0.93","0.93000","","",""
"UV_4","PUBLISHED","2002","WPR","","COK","0.61","0.61000","","",""
"UV_4","PUBLISHED","2002","AMR","","CRI","2","2.17000","","",""
"UV_4","PUBLISHED","2002","AFR","","CIV","0.50","0.50000","","",""
"UV_4","PUBLISHED","2002","EUR","","HRV","4","4.40000","","",""
"UV_4","PUBLISHED","2002","AMR","","CUB","2","2.43000","","",""
"UV_4","PUBLISHED","2002","EUR","","CYP","1","1.33000","","",""
"UV_4","PUBLISHED","2002","EUR","","CZE","4","3.65000","","",""
"UV_4","PUBLISHED","2002","SEAR","","PRK","0.10","0.10000","","",""
"UV_4","PUBLISHED","2002","AFR","WB_LI","COD","0.59","0.59000","","",""
"UV_4","PUBLISHED","2002","EUR","","DNK","4","4.19000","","",""
"UV_4","PUBLISHED","2002","EMR","","DJI","0.73","0.73000","","",""
"UV_4","PUBLISHED","2002","AMR","","DMA","0.01","0.01000","","",""
"UV_4","PUBLISHED","2002","AMR","","DOM","0.68","0.68000","","",""
"UV_4","PUBLISHED","2002","AMR","","ECU","0.76","0.76000","","",""
"UV_4","PUBLISHED","2002","EMR","","EGY","0.07","0.07000","","",""
"UV_4","PUBLISHED","2002","AMR","","SLV","0.60","0.60000","","",""
"UV_4","PUBLISHED","2002","AFR","","GNQ","0.99","0.99000","","",""
"UV_4","PUBLISHED","2002","AFR","","ERI","0.60","0.60000","","",""
"UV_4","PUBLISHED","2002","EUR","","EST","3","3.34000","","",""
"UV_4","PUBLISHED","2002","AFR","","ETH","0.69","0.69000","","",""
"UV_4","PUBLISHED","2002","WPR","","FJI","0.48","0.48000","","",""
"UV_4","PUBLISHED","2002","EUR","","FIN","3","2.96000","","",""
"UV_4","PUBLISHED","2002","EUR","","FRA","2","2.38000","","",""
"UV_4","PUBLISHED","2002","AFR","","GAB","3","3.00000","","",""
"UV_4","PUBLISHED","2002","AFR","","GMB","0.48","0.48000","","",""
"UV_4","PUBLISHED","2002","EUR","","GEO","2","1.93000","","",""
"UV_4","PUBLISHED","2002","EUR","","DEU","3","2.74000","","",""
"UV_4","PUBLISHED","2002","AFR","","GHA","0.80","0.80000","","",""
"UV_4","PUBLISHED","2002","EUR","","GRC","3","2.86000","","",""
"UV_4","PUBLISHED","2002","AMR","","GRD","0.31","0.31000","","",""
"UV_4","PUBLISHED","2002","AMR","","GTM","0.29","0.29000","","",""
"UV_4","PUBLISHED","2002","AFR","","GIN","0.65","0.65000","","",""
"UV_4","PUBLISHED","2002","AFR","","GNB","0.91","0.91000","","",""
"UV_4","PUBLISHED","2002","AMR","","GUY","0.18","0.18000","","",""
"UV_4","PUBLISHED","2002","AMR","","HTI","0.09","0.09000","","",""
"UV_4","PUBLISHED","2002","AMR","","HND","0.50","0.50000","","",""
"UV_4","PUBLISHED","2002","EUR","","HUN","4","3.68000","","",""
"UV_4","PUBLISHED","2002","EUR","","ISL","1","1.24000","","",""
"UV_4","PUBLISHED","2002","SEAR","","IND","0.18","0.18000","","",""
"UV_4","PUBLISHED","2002","SEAR","","IDN","0.47","0.47000","","",""
"UV_4","PUBLISHED","2002","EMR","","IRN","1.00","1.00000","","",""
"UV_4","PUBLISHED","2002","EMR","","IRQ","0.29","0.29000","","",""
"UV_4","PUBLISHED","2002","EUR","","IRL","2","2.07000","","",""
"UV_4","PUBLISHED","2002","EUR","","ISR","3","2.75000","","",""
"UV_4","PUBLISHED","2002","EUR","","ITA","3","3.01000","","",""
"UV_4","PUBLISHED","2002","AMR","","JAM","0.52","0.52000","","",""
"UV_4","PUBLISHED","2002","WPR","","JPN","1","1.11000","","",""
"UV_4","PUBLISHED","2002","EMR","","JOR","0.56","0.56000","","",""
"UV_4","PUBLISHED","2002","EUR","","KAZ","2","1.84000","","",""
"UV_4","PUBLISHED","2002","AFR","","KEN","0.58","0.58000","","",""
"UV_4","PUBLISHED","2002","WPR","","KIR","0.44","0.44000","","",""
"UV_4","PUBLISHED","2002","EMR","","KWT","0.20","0.20000","","",""
"UV_4","PUBLISHED","2002","EUR","","KGZ","0.91","0.91000","","",""
"UV_4","PUBLISHED","2002","WPR","","LAO","0.26","0.26000","","",""
"UV_4","PUBLISHED","2002","EUR","","LVA","4","3.60000","","",""
"UV_4","PUBLISHED","2002","EMR","","LBN","0.40","0.40000","","",""
"UV_4","PUBLISHED","2002","AFR","","LSO","0.74","0.74000","","",""
"UV_4","PUBLISHED","2002","AFR","","LBR","2","1.78000","","",""
"UV_4","PUBLISHED","2002","EMR","","LBY","0.63","0.63000","","",""
"UV_4","PUBLISHED","2002","EUR","","LTU","3","2.82000","","",""
"UV_4","PUBLISHED","2002","EUR","","LUX","3","2.72000","","",""
"UV_4","PUBLISHED","2002","AFR","","MDG","0.00","0.00000","","",""
"UV_4","PUBLISHED","2002","AFR","","MWI","1","1.04000","","",""
"UV_4","PUBLISHED","2002","WPR","","MYS","0.41","0.41000","","",""
"UV_4","PUBLISHED","2002","SEAR","","MDV","1","1.25000","","",""
"UV_4","PUBLISHED","2002","AFR","","MLI","0.34","0.34000","","",""
"UV_4","PUBLISHED","2002","EUR","","MLT","2","1.98000","","",""
"UV_4","PUBLISHED","2002","WPR","","MHL","0.78","0.78000","","",""
"UV_4","PUBLISHED","2002","AFR","","MRT","0.92","0.92000","","",""
"UV_4","PUBLISHED","2002","AFR","","MUS","0.27","0.27000","","",""
"UV_4","PUBLISHED","2002","AMR","","MEX","0.93","0.93000","","",""
"UV_4","PUBLISHED","2002","WPR","","FSM","0.74","0.74000","","",""
"UV_4","PUBLISHED","2002","EUR","","MCO","2","2.31000","","",""
"UV_4","PUBLISHED","2002","WPR","","MNG","0.32","0.32000","","",""
"UV_4","PUBLISHED","2002","EMR","","MAR","0.41","0.41000","","",""
"UV_4","PUBLISHED","2002","AFR","","MOZ","0.84","0.84000","","",""
"UV_4","PUBLISHED","2002","SEAR","","MMR","0.18","0.18000","","",""
"UV_4","PUBLISHED","2002","AFR","","NAM","2","2.10000","","",""
"UV_4","PUBLISHED","2002","WPR","","NRU","0.59","0.59000","","",""
"UV_4","PUBLISHED","2002","SEAR","","NPL","0.20","0.20000","","",""
"UV_4","PUBLISHED","2002","EUR","","NLD","3","2.99000","","",""
"UV_4","PUBLISHED","2002","WPR","","NZL","5","5.49000","","",""
"UV_4","PUBLISHED","2002","AMR","","NIC","0.28","0.28000","","",""
"UV_4","PUBLISHED","2002","AFR","","NER","0.31","0.31000","","",""
"UV_4","PUBLISHED","2002","AFR","","NGA","0.86","0.86000","","",""
"UV_4","PUBLISHED","2002","WPR","","NIU","2482","2481.51000","","",""
"UV_4","PUBLISHED","2002","EUR","","NOR","5","4.62000","","",""
"UV_4","PUBLISHED","2002","EMR","","OMN","0.51","0.51000","","",""
"UV_4","PUBLISHED","2002","EMR","","PAK","0.20","0.20000","","",""
"UV_4","PUBLISHED","2002","WPR","","PLW","0.62","0.62000","","",""
"UV_4","PUBLISHED","2002","AMR","","PAN","0.77","0.77000","","",""
"UV_4","PUBLISHED","2002","WPR","","PNG","0.99","0.99000","","",""
"UV_4","PUBLISHED","2002","AMR","","PRY","0.56","0.56000","","",""
"UV_4","PUBLISHED","2002","AMR","","PER","0.00","0.00000","","",""
"UV_4","PUBLISHED","2002","WPR","","PHL","0.34","0.34000","","",""
"UV_4","PUBLISHED","2002","EUR","","POL","4","3.51000","","",""
"UV_4","PUBLISHED","2002","EUR","","PRT","3","2.52000","","",""
"UV_4","PUBLISHED","2002","EMR","","QAT","0.22","0.22000","","",""
"UV_4","PUBLISHED","2002","WPR","","KOR","0.69","0.69000","","",""
"UV_4","PUBLISHED","2002","EUR","","MDA","2","1.69000","","",""
"UV_4","PUBLISHED","2002","EUR","","ROU","3","2.86000","","",""
"UV_4","PUBLISHED","2002","EUR","","RUS","2","1.64000","","",""
"UV_4","PUBLISHED","2002","AFR","","RWA","1","1.16000","","",""
"UV_4","PUBLISHED","2002","AMR","","KNA","0.01","0.01000","","",""
"UV_4","PUBLISHED","2002","AMR","","LCA","0.48","0.48000","","",""
"UV_4","PUBLISHED","2002","AMR","","VCT","0.04","0.04000","","",""
"UV_4","PUBLISHED","2002","WPR","","WSM","0.70","0.70000","","",""
"UV_4","PUBLISHED","2002","EUR","","SMR","3","2.82000","","",""
"UV_4","PUBLISHED","2002","AFR","","STP","0.80","0.80000","","",""
"UV_4","PUBLISHED","2002","EMR","","SAU","0.55","0.55000","","",""
"UV_4","PUBLISHED","2002","AFR","","SEN","1","1.12000","","",""
"UV_4","PUBLISHED","2002","AFR","","SYC","0.86","0.86000","","",""
"UV_4","PUBLISHED","2002","AFR","","SLE","0.91","0.91000","","",""
"UV_4","PUBLISHED","2002","WPR","","SGP","0.87","0.87000","","",""
"UV_4","PUBLISHED","2002","EUR","","SVK","2","2.50000","","",""
"UV_4","PUBLISHED","2002","EUR","","SVN","4","3.73000","","",""
"UV_4","PUBLISHED","2002","WPR","","SLB","0.34","0.34000","","",""
"UV_4","PUBLISHED","2002","EMR","","SOM","0.97","0.97000","","",""
"UV_4","PUBLISHED","2002","AFR","","ZAF","0.91","0.91000","","",""
"UV_4","PUBLISHED","2002","EUR","","ESP","3","2.55000","","",""
"UV_4","PUBLISHED","2002","SEAR","","LKA","0.22","0.22000","","",""
"UV_4","PUBLISHED","2002","EMR","","SDN","1","1.20000","","",""
"UV_4","PUBLISHED","2002","AMR","","SUR","0.20","0.20000","","",""
"UV_4","PUBLISHED","2002","AFR","","SWZ","3","3.14000","","",""
"UV_4","PUBLISHED","2002","EUR","","SWE","4","3.76000","","",""
"UV_4","PUBLISHED","2002","EUR","","CHE","3","3.30000","","",""
"UV_4","PUBLISHED","2002","EMR","","SYR","0.24","0.24000","","",""
"UV_4","PUBLISHED","2002","EUR","","TJK","0.50","0.50000","","",""
"UV_4","PUBLISHED","2002","SEAR","","THA","0.37","0.37000","","",""
"UV_4","PUBLISHED","2002","EUR","","MKD","3","3.25000","","",""
"UV_4","PUBLISHED","2002","SEAR","","TLS","0.24","0.24000","","",""
"UV_4","PUBLISHED","2002","AFR","","TGO","0.69","0.69000","","",""
"UV_4","PUBLISHED","2002","AMR","","TTO","0.36","0.36000","","",""
"UV_4","PUBLISHED","2002","EMR","","TUN","0.51","0.51000","","",""
"UV_4","PUBLISHED","2002","EUR","","TUR","0.57","0.57000","","",""
"UV_4","PUBLISHED","2002","EUR","","TKM","0.75","0.75000","","",""
"UV_4","PUBLISHED","2002","WPR","","TUV","0.96","0.96000","","",""
"UV_4","PUBLISHED","2002","AFR","","UGA","0.63","0.63000","","",""
"UV_4","PUBLISHED","2002","EUR","","UKR","3","2.50000","","",""
"UV_4","PUBLISHED","2002","EMR","","ARE","0.21","0.21000","","",""
"UV_4","PUBLISHED","2002","EUR","","GBR","3","2.86000","","",""
"UV_4","PUBLISHED","2002","AFR","","TZA","1","1.20000","","",""
"UV_4","PUBLISHED","2002","AMR","","USA","3","2.93000","","",""
"UV_4","PUBLISHED","2002","AMR","","URY","2","2.46000","","",""
