"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"VIOLENCE_EXTENTIMP_ALLTYPES","PUBLISHED","2012-2014","EMR","AFG","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_ALLTYPES","PUBLISHED","2012-2014","EUR","ARM","Limited","","","",""
"VIOLENCE_EXTENTIMP_ALLTYPES","PUBLISHED","2012-2014","SEAR","BTN","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_ALLTYPES","PUBLISHED","2012-2014","AMR","BRA","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_ALLTYPES","PUBLISHED","2012-2014","AFR","BFA","Limited","","","",""
"VIOLENCE_EXTENTIMP_ALLTYPES","PUBLISHED","2012-2014","AFR","CMR","Limited","","","",""
"VIOLENCE_EXTENTIMP_ALLTYPES","PUBLISHED","2012-2014","AMR","COL","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_ALLTYPES","PUBLISHED","2012-2014","EUR","HRV","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_ALLTYPES","PUBLISHED","2012-2014","WPR","FJI","Limited","","","",""
"VIOLENCE_EXTENTIMP_ALLTYPES","PUBLISHED","2012-2014","EUR","GEO","None","","","",""
"VIOLENCE_EXTENTIMP_ALLTYPES","PUBLISHED","2012-2014","AMR","GTM","Limited","","","",""
"VIOLENCE_EXTENTIMP_ALLTYPES","PUBLISHED","2012-2014","AMR","HND","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_ALLTYPES","PUBLISHED","2012-2014","SEAR","IDN","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_ALLTYPES","PUBLISHED","2012-2014","EUR","ISR","Limited","","","",""
"VIOLENCE_EXTENTIMP_ALLTYPES","PUBLISHED","2012-2014","WPR","JPN","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_ALLTYPES","PUBLISHED","2012-2014","WPR","LAO","Limited","","","",""
"VIOLENCE_EXTENTIMP_ALLTYPES","PUBLISHED","2012-2014","EUR","LTU","Limited","","","",""
"VIOLENCE_EXTENTIMP_ALLTYPES","PUBLISHED","2012-2014","WPR","MYS","Limited","","","",""
"VIOLENCE_EXTENTIMP_ALLTYPES","PUBLISHED","2012-2014","AMR","MEX","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_ALLTYPES","PUBLISHED","2012-2014","EMR","MAR","Larger scale","","","",""
