"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"VIOLENCE_EXTENTIMP_CHILDHOMEVISIT","PUBLISHED","2012-2014","AFR","BFA","None","","","",""
"VIOLENCE_EXTENTIMP_CHILDHOMEVISIT","PUBLISHED","2012-2014","AFR","GHA","Limited","","","",""
"VIOLENCE_EXTENTIMP_CHILDHOMEVISIT","PUBLISHED","2012-2014","AFR","MWI","Limited","","","",""
"VIOLENCE_EXTENTIMP_CHILDHOMEVISIT","PUBLISHED","2012-2014","AFR","NGA","None","","","",""
"VIOLENCE_EXTENTIMP_CHILDHOMEVISIT","PUBLISHED","2012-2014","AFR","SYC","Limited","","","",""
"VIOLENCE_EXTENTIMP_CHILDHOMEVISIT","PUBLISHED","2012-2014","AFR","TZA","Limited","","","",""
"VIOLENCE_EXTENTIMP_CHILDHOMEVISIT","PUBLISHED","2012-2014","AMR","BOL","Limited","","","",""
"VIOLENCE_EXTENTIMP_CHILDHOMEVISIT","PUBLISHED","2012-2014","AMR","CRI","None","","","",""
"VIOLENCE_EXTENTIMP_CHILDHOMEVISIT","PUBLISHED","2012-2014","AMR","SLV","Limited","","","",""
"VIOLENCE_EXTENTIMP_CHILDHOMEVISIT","PUBLISHED","2012-2014","AMR","JAM","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_CHILDHOMEVISIT","PUBLISHED","2012-2014","AMR","PER","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_CHILDHOMEVISIT","PUBLISHED","2012-2014","EMR","BHR","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_CHILDHOMEVISIT","PUBLISHED","2012-2014","EMR","JOR","None","","","",""
"VIOLENCE_EXTENTIMP_CHILDHOMEVISIT","PUBLISHED","2012-2014","EMR","SAU","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_CHILDHOMEVISIT","PUBLISHED","2012-2014","EMR","YEM","None","","","",""
"VIOLENCE_EXTENTIMP_CHILDHOMEVISIT","PUBLISHED","2012-2014","EUR","AZE","None","","","",""
"VIOLENCE_EXTENTIMP_CHILDHOMEVISIT","PUBLISHED","2012-2014","EUR","HRV","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_CHILDHOMEVISIT","PUBLISHED","2012-2014","EUR","FIN","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_CHILDHOMEVISIT","PUBLISHED","2012-2014","EUR","GEO","Limited","","","",""
"VIOLENCE_EXTENTIMP_CHILDHOMEVISIT","PUBLISHED","2012-2014","EUR","ITA","Limited","","","",""
"VIOLENCE_EXTENTIMP_CHILDHOMEVISIT","PUBLISHED","2012-2014","EUR","LTU","Limited","","","",""
"VIOLENCE_EXTENTIMP_CHILDHOMEVISIT","PUBLISHED","2012-2014","EUR","POL","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_CHILDHOMEVISIT","PUBLISHED","2012-2014","EUR","RUS","None","","","",""
"VIOLENCE_EXTENTIMP_CHILDHOMEVISIT","PUBLISHED","2012-2014","EUR","SVN","None","","","",""
"VIOLENCE_EXTENTIMP_CHILDHOMEVISIT","PUBLISHED","2012-2014","EUR","TJK","Limited","","","",""
"VIOLENCE_EXTENTIMP_CHILDHOMEVISIT","PUBLISHED","2012-2014","SEAR","BGD","Limited","","","",""
"VIOLENCE_EXTENTIMP_CHILDHOMEVISIT","PUBLISHED","2012-2014","SEAR","MDV","Limited","","","",""
"VIOLENCE_EXTENTIMP_CHILDHOMEVISIT","PUBLISHED","2012-2014","WPR","AUS","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_CHILDHOMEVISIT","PUBLISHED","2012-2014","WPR","COK","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_CHILDHOMEVISIT","PUBLISHED","2012-2014","WPR","LAO","None","","","",""
"VIOLENCE_EXTENTIMP_CHILDHOMEVISIT","PUBLISHED","2012-2014","WPR","PNG","None","","","",""
"VIOLENCE_EXTENTIMP_CHILDHOMEVISIT","PUBLISHED","2012-2014","WPR","TUV","None","","","",""
"VIOLENCE_EXTENTIMP_CHILDHOMEVISIT","PUBLISHED","2012-2014","AFR","DZA","Limited","","","",""
"VIOLENCE_EXTENTIMP_CHILDHOMEVISIT","PUBLISHED","2012-2014","AFR","BDI","None","","","",""
"VIOLENCE_EXTENTIMP_CHILDHOMEVISIT","PUBLISHED","2012-2014","AFR","GIN","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_CHILDHOMEVISIT","PUBLISHED","2012-2014","AFR","MRT","Limited","","","",""
"VIOLENCE_EXTENTIMP_CHILDHOMEVISIT","PUBLISHED","2012-2014","AFR","RWA","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_CHILDHOMEVISIT","PUBLISHED","2012-2014","AFR","ZAF","Limited","","","",""
"VIOLENCE_EXTENTIMP_CHILDHOMEVISIT","PUBLISHED","2012-2014","AFR","ZMB","Limited","","","",""
"VIOLENCE_EXTENTIMP_CHILDHOMEVISIT","PUBLISHED","2012-2014","AMR","BRA","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_CHILDHOMEVISIT","PUBLISHED","2012-2014","AMR","CUB","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_CHILDHOMEVISIT","PUBLISHED","2012-2014","AMR","DMA","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_CHILDHOMEVISIT","PUBLISHED","2012-2014","AMR","GTM","None","","","",""
"VIOLENCE_EXTENTIMP_CHILDHOMEVISIT","PUBLISHED","2012-2014","AMR","MEX","Larger scale","","","",""
