"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"VIOLENCE_EXTENTIMP_ELDERCAREGIVER","PUBLISHED","2012-2014","AFR","BWA","Limited","","","",""
"VIOLENCE_EXTENTIMP_ELDERCAREGIVER","PUBLISHED","2012-2014","AFR","GHA","Limited","","","",""
"VIOLENCE_EXTENTIMP_ELDERCAREGIVER","PUBLISHED","2012-2014","AFR","MDG","None","","","",""
"VIOLENCE_EXTENTIMP_ELDERCAREGIVER","PUBLISHED","2012-2014","AFR","NER","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_ELDERCAREGIVER","PUBLISHED","2012-2014","AFR","SEN","None","","","",""
"VIOLENCE_EXTENTIMP_ELDERCAREGIVER","PUBLISHED","2012-2014","AFR","UGA","Limited","","","",""
"VIOLENCE_EXTENTIMP_ELDERCAREGIVER","PUBLISHED","2012-2014","AMR","BOL","None","","","",""
"VIOLENCE_EXTENTIMP_ELDERCAREGIVER","PUBLISHED","2012-2014","AMR","CRI","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_ELDERCAREGIVER","PUBLISHED","2012-2014","AMR","ECU","None","","","",""
"VIOLENCE_EXTENTIMP_ELDERCAREGIVER","PUBLISHED","2012-2014","AMR","HND","None","","","",""
"VIOLENCE_EXTENTIMP_ELDERCAREGIVER","PUBLISHED","2012-2014","AMR","PAN","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_ELDERCAREGIVER","PUBLISHED","2012-2014","EMR","AFG","Don't know","","","",""
"VIOLENCE_EXTENTIMP_ELDERCAREGIVER","PUBLISHED","2012-2014","EMR","JOR","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_ELDERCAREGIVER","PUBLISHED","2012-2014","EMR","QAT","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_ELDERCAREGIVER","PUBLISHED","2012-2014","EMR","ARE","Don't know","","","",""
