"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","AFR","BWA","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","AFR","GAB","None","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","AFR","LBR","Limited","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","AFR","MOZ","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","AFR","STP","None","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","AFR","UGA","None","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","AMR","BLZ","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","AMR","COL","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","AMR","DOM","None","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","AMR","GUY","None","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","AMR","NIC","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","EMR","AFG","None","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","EMR","IRQ","None","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","EMR","OMN","Don't know","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","EMR","TUN","None","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","EUR","ARM","None","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","EUR","CYP","Limited","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","EUR","GEO","None","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","EUR","ITA","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","EUR","LTU","None","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","EUR","PRT","Limited","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","EUR","SMR","Limited","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","EUR","ESP","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","EUR","TJK","None","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","SEAR","IND","Limited","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","SEAR","NPL","None","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","WPR","KHM","None","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","WPR","CHN","Limited","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","WPR","KIR","None","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","WPR","NZL","Limited","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","WPR","SGP","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","WPR","VNM","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","AFR","BEN","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","AFR","CMR","None","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","AFR","KEN","None","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","AFR","MRT","None","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","AFR","RWA","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","AFR","SWZ","None","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","AFR","ZWE","None","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","AMR","CAN","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","AMR","DMA","None","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","AMR","GTM","None","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","AMR","MEX","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","AMR","USA","Limited","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","EMR","IRN","Limited","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","EMR","MAR","Limited","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","EMR","SDN","None","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","EUR","ALB","Limited","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","EUR","BLR","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","EUR","BEL","Limited","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","EUR","CZE","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","EUR","DEU","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","EUR","KAZ","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","EUR","MNE","Limited","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","EUR","MDA","None","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","EUR","SRB","None","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","EUR","SWE","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","EUR","TUR","None","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","SEAR","BTN","Limited","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","SEAR","MMR","Limited","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","WPR","BRN","None","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","WPR","JPN","Don't know","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","WPR","MNG","None","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","WPR","WSM","Limited","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","WPR","VUT","None","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","AFR","BFA","None","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","AFR","GHA","Limited","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","AFR","MDG","Limited","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","AFR","NER","None","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","AFR","SEN","Limited","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","AFR","TZA","Limited","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","AMR","BOL","None","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","AMR","CRI","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","AMR","ECU","None","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","AMR","HND","Limited","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","AMR","PAN","Limited","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","AMR","PER","Limited","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","EMR","BHR","Don't know","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","EMR","JOR","None","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","EMR","QAT","None","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","EMR","ARE","Don't know","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","EUR","AUT","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","EUR","HRV","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_PARTNERVIOLPREVENTION","PUBLISHED","2012-2014","EUR","FIN","Limited","","","",""
