"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS","PUBLISHED","2012-2014","AFR","BWA","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS","PUBLISHED","2012-2014","AFR","GAB","None","","","",""
"VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS","PUBLISHED","2012-2014","AFR","LBR","Limited","","","",""
"VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS","PUBLISHED","2012-2014","AFR","MOZ","Limited","","","",""
"VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS","PUBLISHED","2012-2014","AFR","SEN","Limited","","","",""
"VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS","PUBLISHED","2012-2014","AFR","UGA","Limited","","","",""
"VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS","PUBLISHED","2012-2014","AMR","BLZ","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS","PUBLISHED","2012-2014","AMR","COL","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS","PUBLISHED","2012-2014","AMR","DOM","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS","PUBLISHED","2012-2014","AMR","HND","None","","","",""
"VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS","PUBLISHED","2012-2014","AMR","PAN","Limited","","","",""
"VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS","PUBLISHED","2012-2014","EMR","AFG","Limited","","","",""
"VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS","PUBLISHED","2012-2014","EMR","IRQ","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS","PUBLISHED","2012-2014","EMR","OMN","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS","PUBLISHED","2012-2014","EMR","TUN","None","","","",""
"VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS","PUBLISHED","2012-2014","EUR","AUT","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS","PUBLISHED","2012-2014","EUR","CYP","Limited","","","",""
"VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS","PUBLISHED","2012-2014","EUR","GEO","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS","PUBLISHED","2012-2014","EUR","ITA","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS","PUBLISHED","2012-2014","EUR","MNE","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS","PUBLISHED","2012-2014","EUR","PRT","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS","PUBLISHED","2012-2014","EUR","SMR","None","","","",""
"VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS","PUBLISHED","2012-2014","EUR","ESP","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS","PUBLISHED","2012-2014","EUR","TJK","Limited","","","",""
"VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS","PUBLISHED","2012-2014","SEAR","IND","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS","PUBLISHED","2012-2014","SEAR","THA","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS","PUBLISHED","2012-2014","WPR","CHN","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS","PUBLISHED","2012-2014","WPR","KIR","Limited","","","",""
"VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS","PUBLISHED","2012-2014","WPR","NZL","Larger scale","","","",""
"VIOLENCE_EXTENTIMP_YOUTHLIFESKILLS","PUBLISHED","2012-2014","WPR","SGP","Larger scale","","","",""
