"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"VIOLENCE_HOMICIDERATE","PUBLISHED","2016","AMR","","FMLE","4.3","4.33712","","",""
"VIOLENCE_HOMICIDERATE","PUBLISHED","2015","EUR","","BTSX","3.3","3.33688","","",""
"VIOLENCE_HOMICIDERATE","PUBLISHED","2005","EUR","","FMLE","3.3","3.27678","","",""
"VIOLENCE_HOMICIDERATE","PUBLISHED","2000","GLOBAL","","MLE","12.6","12.58416","","",""
"VIOLENCE_HOMICIDERATE","PUBLISHED","2015","AMR","","MLE","31.8","31.83949","","",""
"VIOLENCE_HOMICIDERATE","PUBLISHED","2010","GLOBAL","","BTSX","6.9","6.88708","","",""
"VIOLENCE_HOMICIDERATE","PUBLISHED","2005","EMR","","MLE","10.0","9.99130","","",""
"VIOLENCE_HOMICIDERATE","PUBLISHED","2005","EUR","","MLE","10.5","10.45533","","",""
"VIOLENCE_HOMICIDERATE","PUBLISHED","2015","EUR","","MLE","5.0","4.99323","","",""
"VIOLENCE_HOMICIDERATE","PUBLISHED","2010","GLOBAL","","MLE","11.0","10.95868","","",""
"VIOLENCE_HOMICIDERATE","PUBLISHED","2000","AMR","","FMLE","4.4","4.41318","","",""
"VIOLENCE_HOMICIDERATE","PUBLISHED","2005","WPR","","BTSX","2.7","2.70626","","",""
"VIOLENCE_HOMICIDERATE","PUBLISHED","2005","AMR","","MLE","31.7","31.70210","","",""
"VIOLENCE_HOMICIDERATE","PUBLISHED","2016","EMR","","BTSX","6.7","6.74551","","",""
"VIOLENCE_HOMICIDERATE","PUBLISHED","2015","AMR","","FMLE","4.3","4.26096","","",""
"VIOLENCE_HOMICIDERATE","PUBLISHED","2016","SEAR","","BTSX","4.1","4.10351","","",""
"VIOLENCE_HOMICIDERATE","PUBLISHED","2000","EUR","","FMLE","4.0","3.97066","","",""
"VIOLENCE_HOMICIDERATE","PUBLISHED","2005","SEAR","","MLE","6.6","6.63022","","",""
"VIOLENCE_HOMICIDERATE","PUBLISHED","2010","WPR","","BTSX","2.2","2.20688","","",""
"VIOLENCE_HOMICIDERATE","PUBLISHED","2010","AMR","","FMLE","4.8","4.78049","","",""
"VIOLENCE_HOMICIDERATE","PUBLISHED","2010","EUR","","FMLE","2.1","2.07188","","",""
"VIOLENCE_HOMICIDERATE","PUBLISHED","2005","EUR","","BTSX","6.7","6.74998","","",""
"VIOLENCE_HOMICIDERATE","PUBLISHED","2010","EMR","","FMLE","3.3","3.32275","","",""
"VIOLENCE_HOMICIDERATE","PUBLISHED","2000","EUR","","MLE","12.5","12.46483","","",""
"VIOLENCE_HOMICIDERATE","PUBLISHED","2000","EMR","","MLE","10.1","10.13029","","",""
