"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"W-MM_Group","PUBLISHED","2007","EMR","AFG","Data not available","","","",""
"W-MM_Group","PUBLISHED","2008","EMR","AFG","Data not available","","","",""
"W-MM_Group","PUBLISHED","2010","EMR","AFG","1","1.00000","","",""
"W-MM_Group","PUBLISHED","2012","EMR","AFG","2","2.00000","","",""
"W-MM_Group","PUBLISHED","2014","EMR","AFG","2","2.00000","","",""
"W-MM_Group","PUBLISHED","2016","EMR","AFG","2","2.00000","","",""
"W-MM_Group","PUBLISHED","2018","EMR","AFG","2","2.00000","","",""
"W-MM_Group","PUBLISHED","2007","AFR","AGO","Data not available","","","",""
"W-MM_Group","PUBLISHED","2008","AFR","AGO","Data not available","","","",""
"W-MM_Group","PUBLISHED","2010","AFR","AGO","2","2.00000","","",""
"W-MM_Group","PUBLISHED","2012","AFR","AGO","2","2.00000","","",""
"W-MM_Group","PUBLISHED","2014","AFR","AGO","2","2.00000","","",""
"W-MM_Group","PUBLISHED","2016","AFR","AGO","2","2.00000","","",""
"W-MM_Group","PUBLISHED","2018","AFR","AGO","1","1.00000","","",""
"W-MM_Group","PUBLISHED","2007","EUR","ALB","Data not available","","","",""
"W-MM_Group","PUBLISHED","2008","EUR","ALB","Data not available","","","",""
"W-MM_Group","PUBLISHED","2010","EUR","ALB","5","5.00000","","",""
"W-MM_Group","PUBLISHED","2012","EUR","ALB","2","2.00000","","",""
"W-MM_Group","PUBLISHED","2014","EUR","ALB","2","2.00000","","",""
"W-MM_Group","PUBLISHED","2016","EUR","ALB","3","3.00000","","",""
"W-MM_Group","PUBLISHED","2018","EUR","ALB","2","2.00000","","",""
"W-MM_Group","PUBLISHED","2007","EUR","AND","Data not available","","","",""
"W-MM_Group","PUBLISHED","2008","EUR","AND","Data not available","","","",""
"W-MM_Group","PUBLISHED","2010","EUR","AND","1","1.00000","","",""
"W-MM_Group","PUBLISHED","2012","EUR","AND","2","2.00000","","",""
"W-MM_Group","PUBLISHED","2014","EUR","AND","2","2.00000","","",""
"W-MM_Group","PUBLISHED","2016","EUR","AND","2","2.00000","","",""
"W-MM_Group","PUBLISHED","2018","EUR","AND","2","2.00000","","",""
"W-MM_Group","PUBLISHED","2007","EMR","ARE","Data not available","","","",""
"W-MM_Group","PUBLISHED","2008","EMR","ARE","Data not available","","","",""
"W-MM_Group","PUBLISHED","2010","EMR","ARE","4","4.00000","","",""
"W-MM_Group","PUBLISHED","2012","EMR","ARE","1","1.00000","","",""
"W-MM_Group","PUBLISHED","2014","EMR","ARE","4","4.00000","","",""
"W-MM_Group","PUBLISHED","2016","EMR","ARE","4","4.00000","","",""
"W-MM_Group","PUBLISHED","2018","EMR","ARE","2","2.00000","","",""
"W-MM_Group","PUBLISHED","2007","AMR","ARG","Data not available","","","",""
"W-MM_Group","PUBLISHED","2008","AMR","ARG","Data not available","","","",""
"W-MM_Group","PUBLISHED","2010","AMR","ARG","4","4.00000","","",""
"W-MM_Group","PUBLISHED","2012","AMR","ARG","2","2.00000","","",""
"W-MM_Group","PUBLISHED","2014","AMR","ARG","4","4.00000","","",""
"W-MM_Group","PUBLISHED","2016","AMR","ARG","4","4.00000","","",""
"W-MM_Group","PUBLISHED","2018","AMR","ARG","3","3.00000","","",""
"W-MM_Group","PUBLISHED","2007","EUR","ARM","Data not available","","","",""
"W-MM_Group","PUBLISHED","2008","EUR","ARM","Data not available","","","",""
"W-MM_Group","PUBLISHED","2010","EUR","ARM","2","2.00000","","",""
"W-MM_Group","PUBLISHED","2012","EUR","ARM","1","1.00000","","",""
"W-MM_Group","PUBLISHED","2014","EUR","ARM","4","4.00000","","",""
"W-MM_Group","PUBLISHED","2016","EUR","ARM","1","1.00000","","",""
"W-MM_Group","PUBLISHED","2018","EUR","ARM","1","1.00000","","",""
"W-MM_Group","PUBLISHED","2007","AMR","ATG","Data not available","","","",""
"W-MM_Group","PUBLISHED","2008","AMR","ATG","Data not available","","","",""
"W-MM_Group","PUBLISHED","2010","AMR","ATG","1","1.00000","","",""
"W-MM_Group","PUBLISHED","2012","AMR","ATG","2","2.00000","","",""
"W-MM_Group","PUBLISHED","2014","AMR","ATG","2","2.00000","","",""
"W-MM_Group","PUBLISHED","2016","AMR","ATG","3","3.00000","","",""
"W-MM_Group","PUBLISHED","2018","AMR","ATG","2","2.00000","","",""
"W-MM_Group","PUBLISHED","2007","WPR","AUS","Data not available","","","",""
"W-MM_Group","PUBLISHED","2008","WPR","AUS","Data not available","","","",""
"W-MM_Group","PUBLISHED","2010","WPR","AUS","5","5.00000","","",""
"W-MM_Group","PUBLISHED","2012","WPR","AUS","5","5.00000","","",""
"W-MM_Group","PUBLISHED","2014","WPR","AUS","5","5.00000","","",""
"W-MM_Group","PUBLISHED","2016","WPR","AUS","5","5.00000","","",""
"W-MM_Group","PUBLISHED","2018","WPR","AUS","5","5.00000","","",""
"W-MM_Group","PUBLISHED","2007","EUR","AUT","Data not available","","","",""
"W-MM_Group","PUBLISHED","2008","EUR","AUT","Data not available","","","",""
"W-MM_Group","PUBLISHED","2010","EUR","AUT","2","2.00000","","",""
"W-MM_Group","PUBLISHED","2012","EUR","AUT","2","2.00000","","",""
"W-MM_Group","PUBLISHED","2014","EUR","AUT","2","2.00000","","",""
"W-MM_Group","PUBLISHED","2016","EUR","AUT","5","5.00000","","",""
"W-MM_Group","PUBLISHED","2018","EUR","AUT","5","5.00000","","",""
"W-MM_Group","PUBLISHED","2007","EUR","AZE","Data not available","","","",""
"W-MM_Group","PUBLISHED","2008","EUR","AZE","Data not available","","","",""
"W-MM_Group","PUBLISHED","2010","EUR","AZE","2","2.00000","","",""
"W-MM_Group","PUBLISHED","2012","EUR","AZE","2","2.00000","","",""
"W-MM_Group","PUBLISHED","2014","EUR","AZE","2","2.00000","","",""
"W-MM_Group","PUBLISHED","2016","EUR","AZE","2","2.00000","","",""
"W-MM_Group","PUBLISHED","2018","EUR","AZE","4","4.00000","","",""
"W-MM_Group","PUBLISHED","2007","AFR","BDI","Data not available","","","",""
"W-MM_Group","PUBLISHED","2008","AFR","BDI","Data not available","","","",""
"W-MM_Group","PUBLISHED","2010","AFR","BDI","2","2.00000","","",""
"W-MM_Group","PUBLISHED","2012","AFR","BDI","2","2.00000","","",""
"W-MM_Group","PUBLISHED","2014","AFR","BDI","2","2.00000","","",""
"W-MM_Group","PUBLISHED","2016","AFR","BDI","1","1.00000","","",""
"W-MM_Group","PUBLISHED","2018","AFR","BDI","2","2.00000","","",""
"W-MM_Group","PUBLISHED","2007","EUR","BEL","Data not available","","","",""
"W-MM_Group","PUBLISHED","2008","EUR","BEL","Data not available","","","",""
"W-MM_Group","PUBLISHED","2010","EUR","BEL","2","2.00000","","",""
"W-MM_Group","PUBLISHED","2012","EUR","BEL","2","2.00000","","",""
"W-MM_Group","PUBLISHED","2014","EUR","BEL","2","2.00000","","",""
"W-MM_Group","PUBLISHED","2016","EUR","BEL","4","4.00000","","",""
"W-MM_Group","PUBLISHED","2018","EUR","BEL","2","2.00000","","",""
"W-MM_Group","PUBLISHED","2007","AFR","BEN","Data not available","","","",""
"W-MM_Group","PUBLISHED","2008","AFR","BEN","Data not available","","","",""
"W-MM_Group","PUBLISHED","2010","AFR","BEN","2","2.00000","","",""
"W-MM_Group","PUBLISHED","2012","AFR","BEN","4","4.00000","","",""
"W-MM_Group","PUBLISHED","2014","AFR","BEN","4","4.00000","","",""
"W-MM_Group","PUBLISHED","2016","AFR","BEN","1","1.00000","","",""
"W-MM_Group","PUBLISHED","2018","AFR","BEN","2","2.00000","","",""
"W-MM_Group","PUBLISHED","2007","AFR","BFA","Data not available","","","",""
"W-MM_Group","PUBLISHED","2008","AFR","BFA","Data not available","","","",""
"W-MM_Group","PUBLISHED","2010","AFR","BFA","2","2.00000","","",""
"W-MM_Group","PUBLISHED","2012","AFR","BFA","2","2.00000","","",""
"W-MM_Group","PUBLISHED","2014","AFR","BFA","2","2.00000","","",""
"W-MM_Group","PUBLISHED","2016","AFR","BFA","2","2.00000","","",""
"W-MM_Group","PUBLISHED","2018","AFR","BFA","2","2.00000","","",""
"W-MM_Group","PUBLISHED","2007","SEAR","BGD","Data not available","","","",""
"W-MM_Group","PUBLISHED","2008","SEAR","BGD","Data not available","","","",""
"W-MM_Group","PUBLISHED","2010","SEAR","BGD","2","2.00000","","",""
"W-MM_Group","PUBLISHED","2012","SEAR","BGD","5","5.00000","","",""
"W-MM_Group","PUBLISHED","2014","SEAR","BGD","5","5.00000","","",""
"W-MM_Group","PUBLISHED","2016","SEAR","BGD","5","5.00000","","",""
"W-MM_Group","PUBLISHED","2018","SEAR","BGD","4","4.00000","","",""
"W-MM_Group","PUBLISHED","2007","EUR","BGR","Data not available","","","",""
"W-MM_Group","PUBLISHED","2008","EUR","BGR","Data not available","","","",""
"W-MM_Group","PUBLISHED","2010","EUR","BGR","2","2.00000","","",""
"W-MM_Group","PUBLISHED","2012","EUR","BGR","4","4.00000","","",""
