"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"W10_graphic_C","PUBLISHED","2010","EUR","ALB","No","","","",""
"W10_graphic_C","PUBLISHED","2007","EUR","ALB","No","","","",""
"W10_graphic_C","PUBLISHED","2016","EMR","ARE","Yes","","","",""
"W10_graphic_C","PUBLISHED","2012","EMR","ARE","Yes","","","",""
"W10_graphic_C","PUBLISHED","2014","AMR","ARG","Yes","","","",""
"W10_graphic_C","PUBLISHED","2014","WPR","AUS","No","","","",""
"W10_graphic_C","PUBLISHED","2010","WPR","AUS","No","","","",""
"W10_graphic_C","PUBLISHED","2012","EUR","AUT","No","","","",""
"W10_graphic_C","PUBLISHED","2008","EUR","AUT","No","","","",""
"W10_graphic_C","PUBLISHED","2012","EUR","BEL","No","","","",""
"W10_graphic_C","PUBLISHED","2008","EUR","BEL","No","","","",""
"W10_graphic_C","PUBLISHED","2010","AFR","BEN","No","","","",""
"W10_graphic_C","PUBLISHED","2007","AFR","BEN","No","","","",""
"W10_graphic_C","PUBLISHED","2016","SEAR","BGD","Yes","","","",""
"W10_graphic_C","PUBLISHED","2010","EUR","BGR","No","","","",""
"W10_graphic_C","PUBLISHED","2007","EUR","BGR","No","","","",""
"W10_graphic_C","PUBLISHED","2012","AMR","BRA","No","","","",""
"W10_graphic_C","PUBLISHED","2008","AMR","BRA","No","","","",""
"W10_graphic_C","PUBLISHED","2014","WPR","BRN","No","","","",""
"W10_graphic_C","PUBLISHED","2016","AMR","CAN","No","","","",""
"W10_graphic_C","PUBLISHED","2012","AMR","CAN","No","","","",""
"W10_graphic_C","PUBLISHED","2014","EUR","CHE","No","","","",""
"W10_graphic_C","PUBLISHED","2010","EUR","CHE","No","","","",""
"W10_graphic_C","PUBLISHED","2007","EUR","CHE","No","","","",""
"W10_graphic_C","PUBLISHED","2008","AMR","CHL","Yes","","","",""
"W10_graphic_C","PUBLISHED","2014","AFR","CIV","No","","","",""
"W10_graphic_C","PUBLISHED","2010","AFR","CIV","No","","","",""
"W10_graphic_C","PUBLISHED","2008","AFR","CMR","No","","","",""
"W10_graphic_C","PUBLISHED","2014","AFR","COG","Yes","","","",""
"W10_graphic_C","PUBLISHED","2012","WPR","COK","No","","","",""
"W10_graphic_C","PUBLISHED","2008","WPR","COK","No","","","",""
"W10_graphic_C","PUBLISHED","2007","AMR","COL","No","","","",""
"W10_graphic_C","PUBLISHED","2014","AFR","COM","No","","","",""
"W10_graphic_C","PUBLISHED","2016","EUR","CYP","No","","","",""
"W10_graphic_C","PUBLISHED","2012","EUR","CYP","No","","","",""
"W10_graphic_C","PUBLISHED","2014","EUR","CZE","No","","","",""
"W10_graphic_C","PUBLISHED","2010","EUR","CZE","No","","","",""
"W10_graphic_C","PUBLISHED","2008","EUR","DEU","No","","","",""
"W10_graphic_C","PUBLISHED","2016","EMR","DJI","No","","","",""
"W10_graphic_C","PUBLISHED","2012","EUR","DNK","No","","","",""
"W10_graphic_C","PUBLISHED","2008","EUR","DNK","No","","","",""
"W10_graphic_C","PUBLISHED","2007","AMR","DOM","No","","","",""
"W10_graphic_C","PUBLISHED","2014","AFR","DZA","No","","","",""
"W10_graphic_C","PUBLISHED","2012","AMR","ECU","Yes","","","",""
"W10_graphic_C","PUBLISHED","2008","AMR","ECU","No","","","",""
"W10_graphic_C","PUBLISHED","2010","EMR","EGY","Yes","","","",""
"W10_graphic_C","PUBLISHED","2007","EMR","EGY","No","","","",""
"W10_graphic_C","PUBLISHED","2016","EUR","ESP","No","","","",""
"W10_graphic_C","PUBLISHED","2012","EUR","ESP","No","","","",""
"W10_graphic_C","PUBLISHED","2010","EUR","EST","No","","","",""
"W10_graphic_C","PUBLISHED","2007","EUR","EST","No","","","",""
"W10_graphic_C","PUBLISHED","2008","EUR","FRA","No","","","",""
"W10_graphic_C","PUBLISHED","2014","AFR","GAB","No","","","",""
"W10_graphic_C","PUBLISHED","2012","EUR","GBR","No","","","",""
"W10_graphic_C","PUBLISHED","2008","EUR","GBR","No","","","",""
"W10_graphic_C","PUBLISHED","2007","EUR","GEO","No","","","",""
"W10_graphic_C","PUBLISHED","2014","AFR","GHA","No","","","",""
"W10_graphic_C","PUBLISHED","2016","AFR","GIN","No","","","",""
"W10_graphic_C","PUBLISHED","2012","AFR","GIN","No","","","",""
"W10_graphic_C","PUBLISHED","2008","AFR","GIN","No","","","",""
"W10_graphic_C","PUBLISHED","2010","AFR","GMB","No","","","",""
"W10_graphic_C","PUBLISHED","2014","EUR","GRC","No","","","",""
"W10_graphic_C","PUBLISHED","2010","EUR","GRC","No","","","",""
"W10_graphic_C","PUBLISHED","2007","EUR","GRC","No","","","",""
"W10_graphic_C","PUBLISHED","2016","AMR","GTM","No","","","",""
"W10_graphic_C","PUBLISHED","2008","AMR","HND","No","","","",""
"W10_graphic_C","PUBLISHED","2016","EUR","HRV","No","","","",""
"W10_graphic_C","PUBLISHED","2007","EUR","HRV","No","","","",""
"W10_graphic_C","PUBLISHED","2012","EUR","HUN","No","","","",""
"W10_graphic_C","PUBLISHED","2008","EUR","HUN","No","","","",""
"W10_graphic_C","PUBLISHED","2014","SEAR","IND","Yes","","","",""
"W10_graphic_C","PUBLISHED","2016","EUR","IRL","No","","","",""
"W10_graphic_C","PUBLISHED","2012","EUR","IRL","No","","","",""
"W10_graphic_C","PUBLISHED","2010","EMR","IRN","Yes","","","",""
"W10_graphic_C","PUBLISHED","2007","EMR","IRN","No","","","",""
"W10_graphic_C","PUBLISHED","2016","EUR","ISL","No","","","",""
"W10_graphic_C","PUBLISHED","2012","EUR","ISL","No","","","",""
"W10_graphic_C","PUBLISHED","2014","EUR","ISR","No","","","",""
"W10_graphic_C","PUBLISHED","2010","EUR","ISR","No","","","",""
"W10_graphic_C","PUBLISHED","2008","EUR","ITA","No","","","",""
"W10_graphic_C","PUBLISHED","2016","AMR","JAM","Yes","","","",""
"W10_graphic_C","PUBLISHED","2012","WPR","JPN","No","","","",""
"W10_graphic_C","PUBLISHED","2008","WPR","JPN","No","","","",""
"W10_graphic_C","PUBLISHED","2007","EUR","KAZ","No","","","",""
"W10_graphic_C","PUBLISHED","2014","AFR","KEN","Yes","","","",""
"W10_graphic_C","PUBLISHED","2012","EUR","KGZ","Yes","","","",""
"W10_graphic_C","PUBLISHED","2008","EUR","KGZ","Yes","","","",""
"W10_graphic_C","PUBLISHED","2016","WPR","LAO","No","","","",""
"W10_graphic_C","PUBLISHED","2014","EMR","LBN","No","","","",""
"W10_graphic_C","PUBLISHED","2010","EMR","LBN","No","","","",""
"W10_graphic_C","PUBLISHED","2016","EMR","LBY","No","","","",""
"W10_graphic_C","PUBLISHED","2014","EUR","LTU","No","","","",""
"W10_graphic_C","PUBLISHED","2016","EUR","LUX","No","","","",""
"W10_graphic_C","PUBLISHED","2012","EUR","LUX","No","","","",""
"W10_graphic_C","PUBLISHED","2008","EUR","LUX","No","","","",""
"W10_graphic_C","PUBLISHED","2008","AFR","MDG","No","","","",""
"W10_graphic_C","PUBLISHED","2016","SEAR","MDV","No","","","",""
"W10_graphic_C","PUBLISHED","2014","AMR","MEX","No","","","",""
"W10_graphic_C","PUBLISHED","2010","AMR","MEX","No","","","",""
"W10_graphic_C","PUBLISHED","2008","WPR","MHL","No","","","",""
"W10_graphic_C","PUBLISHED","2014","AFR","MLI","No","","","",""
"W10_graphic_C","PUBLISHED","2014","EUR","MNE","No","","","",""
"W10_graphic_C","PUBLISHED","2016","WPR","MNG","No","","","",""
"W10_graphic_C","PUBLISHED","2012","WPR","MNG","No","","","",""
"W10_graphic_C","PUBLISHED","2010","AFR","MOZ","No","","","",""
"W10_graphic_C","PUBLISHED","2007","AFR","MOZ","No","","","",""
"W10_graphic_C","PUBLISHED","2016","AFR","NAM","Yes","","","",""
"W10_graphic_C","PUBLISHED","2007","AMR","NIC","No","","","",""
"W10_graphic_C","PUBLISHED","2012","EUR","NLD","No","","","",""
"W10_graphic_C","PUBLISHED","2008","EUR","NLD","No","","","",""
"W10_graphic_C","PUBLISHED","2010","EUR","NOR","No","","","",""
"W10_graphic_C","PUBLISHED","2007","EUR","NOR","No","","","",""
"W10_graphic_C","PUBLISHED","2016","WPR","NRU","No","","","",""
"W10_graphic_C","PUBLISHED","2012","WPR","NRU","No","","","",""
"W10_graphic_C","PUBLISHED","2010","WPR","NZL","No","","","",""
"W10_graphic_C","PUBLISHED","2007","WPR","NZL","No","","","",""
"W10_graphic_C","PUBLISHED","2008","EMR","OMN","No","","","",""
"W10_graphic_C","PUBLISHED","2014","AMR","PAN","Yes","","","",""
"W10_graphic_C","PUBLISHED","2010","AMR","PAN","Yes","","","",""
"W10_graphic_C","PUBLISHED","2008","AMR","PER","Yes","","","",""
"W10_graphic_C","PUBLISHED","2016","WPR","PHL","Yes","","","",""
"W10_graphic_C","PUBLISHED","2007","WPR","PHL","No","","","",""
"W10_graphic_C","PUBLISHED","2012","WPR","PNG","No","","","",""
"W10_graphic_C","PUBLISHED","2008","WPR","PNG","No","","","",""
"W10_graphic_C","PUBLISHED","2007","EUR","POL","No","","","",""
"W10_graphic_C","PUBLISHED","2014","SEAR","PRK","No","","","",""
"W10_graphic_C","PUBLISHED","2016","EUR","PRT","No","","","",""
"W10_graphic_C","PUBLISHED","2012","EUR","PRT","No","","","",""
"W10_graphic_C","PUBLISHED","2008","EUR","PRT","No","","","",""
"W10_graphic_C","PUBLISHED","2016","EUR","ROU","No","","","",""
"W10_graphic_C","PUBLISHED","2012","EUR","ROU","No","","","",""
"W10_graphic_C","PUBLISHED","2014","EUR","RUS","No","","","",""
"W10_graphic_C","PUBLISHED","2010","EUR","RUS","No","","","",""
"W10_graphic_C","PUBLISHED","2014","EMR","SDN","No","","","",""
"W10_graphic_C","PUBLISHED","2010","EMR","SDN","No","","","",""
"W10_graphic_C","PUBLISHED","2012","AFR","SEN","No","","","",""
"W10_graphic_C","PUBLISHED","2008","AFR","SEN","No","","","",""
"W10_graphic_C","PUBLISHED","2007","WPR","SGP","No","","","",""
"W10_graphic_C","PUBLISHED","2014","WPR","SLB","No","","","",""
"W10_graphic_C","PUBLISHED","2007","AMR","SLV","No","","","",""
"W10_graphic_C","PUBLISHED","2016","AFR","STP","No","","","",""
"W10_graphic_C","PUBLISHED","2014","AMR","SUR","No","","","",""
"W10_graphic_C","PUBLISHED","2008","EUR","SVK","No","","","",""
"W10_graphic_C","PUBLISHED","2016","EUR","SVN","No","","","",""
"W10_graphic_C","PUBLISHED","2014","EUR","SWE","No","","","",""
"W10_graphic_C","PUBLISHED","2010","EUR","SWE","No","","","",""
"W10_graphic_C","PUBLISHED","2014","EMR","SYR","No","","","",""
"W10_graphic_C","PUBLISHED","2012","AFR","TCD","No","","","",""
"W10_graphic_C","PUBLISHED","2008","AFR","TCD","No","","","",""
"W10_graphic_C","PUBLISHED","2010","AFR","TGO","No","","","",""
"W10_graphic_C","PUBLISHED","2016","EUR","TJK","No","","","",""
"W10_graphic_C","PUBLISHED","2012","EUR","TJK","No","","","",""
"W10_graphic_C","PUBLISHED","2016","WPR","TON","Yes","","","",""
"W10_graphic_C","PUBLISHED","2014","AMR","TTO","Yes","","","",""
"W10_graphic_C","PUBLISHED","2010","AMR","TTO","No","","","",""
"W10_graphic_C","PUBLISHED","2008","EMR","TUN","No","","","",""
"W10_graphic_C","PUBLISHED","2016","EUR","TUR","No","","","",""
"W10_graphic_C","PUBLISHED","2007","EUR","TUR","No","","","",""
"W10_graphic_C","PUBLISHED","2014","WPR","TUV","No","","","",""
"W10_graphic_C","PUBLISHED","2012","AFR","TZA","No","","","",""
"W10_graphic_C","PUBLISHED","2008","AFR","TZA","No","","","",""
"W10_graphic_C","PUBLISHED","2014","EUR","UKR","Yes","","","",""
"W10_graphic_C","PUBLISHED","2016","AMR","URY","Yes","","","",""
"W10_graphic_C","PUBLISHED","2012","AMR","URY","Yes","","","",""
"W10_graphic_C","PUBLISHED","2010","AMR","USA","No","","","",""
"W10_graphic_C","PUBLISHED","2014","WPR","WSM","No","","","",""
"W10_graphic_C","PUBLISHED","2010","WPR","WSM","No","","","",""
"W10_graphic_C","PUBLISHED","2012","EMR","YEM","Yes","","","",""
"W10_graphic_C","PUBLISHED","2008","EMR","YEM","No","","","",""
