"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"W21_emissions_quant_B","PUBLISHED","2007","EMR","AFG","No","","","",""
"W21_emissions_quant_B","PUBLISHED","2008","EMR","AFG","No","","","",""
"W21_emissions_quant_B","PUBLISHED","2010","EMR","AFG","No","","","",""
"W21_emissions_quant_B","PUBLISHED","2012","EMR","AFG","No","","","",""
"W21_emissions_quant_B","PUBLISHED","2014","EMR","AFG","No","","","",""
"W21_emissions_quant_B","PUBLISHED","2016","EMR","AFG","No","","","",""
"W21_emissions_quant_B","PUBLISHED","2018","EMR","AFG","No","","","",""
"W21_emissions_quant_B","PUBLISHED","2007","AFR","AGO","No","","","",""
"W21_emissions_quant_B","PUBLISHED","2008","AFR","AGO","No","","","",""
"W21_emissions_quant_B","PUBLISHED","2010","AFR","AGO","No","","","",""
"W21_emissions_quant_B","PUBLISHED","2012","AFR","AGO","No","","","",""
"W21_emissions_quant_B","PUBLISHED","2014","AFR","AGO","No","","","",""
"W21_emissions_quant_B","PUBLISHED","2016","AFR","AGO","No","","","",""
"W21_emissions_quant_B","PUBLISHED","2018","AFR","AGO","No","","","",""
"W21_emissions_quant_B","PUBLISHED","2007","EUR","ALB","No","","","",""
"W21_emissions_quant_B","PUBLISHED","2008","EUR","ALB","No","","","",""
"W21_emissions_quant_B","PUBLISHED","2010","EUR","ALB","No","","","",""
"W21_emissions_quant_B","PUBLISHED","2012","EUR","ALB","No","","","",""
"W21_emissions_quant_B","PUBLISHED","2014","EUR","ALB","No","","","",""
"W21_emissions_quant_B","PUBLISHED","2016","EUR","ALB","No","","","",""
"W21_emissions_quant_B","PUBLISHED","2018","EUR","ALB","No","","","",""
"W21_emissions_quant_B","PUBLISHED","2007","EUR","AND","No","","","",""
"W21_emissions_quant_B","PUBLISHED","2008","EUR","AND","No","","","",""
"W21_emissions_quant_B","PUBLISHED","2010","EUR","AND","No","","","",""
"W21_emissions_quant_B","PUBLISHED","2012","EUR","AND","No","","","",""
"W21_emissions_quant_B","PUBLISHED","2014","EUR","AND","No","","","",""
"W21_emissions_quant_B","PUBLISHED","2016","EUR","AND","No","","","",""
"W21_emissions_quant_B","PUBLISHED","2018","EUR","AND","No","","","",""
"W21_emissions_quant_B","PUBLISHED","2007","EMR","ARE","No","","","",""
"W21_emissions_quant_B","PUBLISHED","2008","EMR","ARE","No","","","",""
"W21_emissions_quant_B","PUBLISHED","2010","EMR","ARE","No","","","",""
"W21_emissions_quant_B","PUBLISHED","2012","EMR","ARE","No","","","",""
"W21_emissions_quant_B","PUBLISHED","2014","EMR","ARE","No","","","",""
"W21_emissions_quant_B","PUBLISHED","2016","EMR","ARE","No","","","",""
"W21_emissions_quant_B","PUBLISHED","2018","EMR","ARE","No","","","",""
"W21_emissions_quant_B","PUBLISHED","2007","AMR","ARG","No","","","",""
"W21_emissions_quant_B","PUBLISHED","2008","AMR","ARG","No","","","",""
"W21_emissions_quant_B","PUBLISHED","2010","AMR","ARG","No","","","",""
"W21_emissions_quant_B","PUBLISHED","2012","AMR","ARG","No","","","",""
"W21_emissions_quant_B","PUBLISHED","2014","AMR","ARG","No","","","",""
"W21_emissions_quant_B","PUBLISHED","2016","AMR","ARG","No","","","",""
"W21_emissions_quant_B","PUBLISHED","2018","AMR","ARG","No","","","",""
"W21_emissions_quant_B","PUBLISHED","2007","EUR","ARM","No","","","",""
"W21_emissions_quant_B","PUBLISHED","2008","EUR","ARM","No","","","",""
"W21_emissions_quant_B","PUBLISHED","2010","EUR","ARM","No","","","",""
"W21_emissions_quant_B","PUBLISHED","2012","EUR","ARM","No","","","",""
"W21_emissions_quant_B","PUBLISHED","2014","EUR","ARM","No","","","",""
"W21_emissions_quant_B","PUBLISHED","2016","EUR","ARM","No","","","",""
"W21_emissions_quant_B","PUBLISHED","2018","EUR","ARM","No","","","",""
"W21_emissions_quant_B","PUBLISHED","2007","AMR","ATG","No","","","",""
"W21_emissions_quant_B","PUBLISHED","2008","AMR","ATG","No","","","",""
"W21_emissions_quant_B","PUBLISHED","2010","AMR","ATG","No","","","",""
"W21_emissions_quant_B","PUBLISHED","2012","AMR","ATG","No","","","",""
"W21_emissions_quant_B","PUBLISHED","2014","AMR","ATG","No","","","",""
"W21_emissions_quant_B","PUBLISHED","2016","AMR","ATG","No","","","",""
"W21_emissions_quant_B","PUBLISHED","2018","AMR","ATG","Yes","","","",""
"W21_emissions_quant_B","PUBLISHED","2007","WPR","AUS","Yes","","","",""
"W21_emissions_quant_B","PUBLISHED","2008","WPR","AUS","Yes","","","",""
"W21_emissions_quant_B","PUBLISHED","2010","WPR","AUS","Yes","","","",""
"W21_emissions_quant_B","PUBLISHED","2012","WPR","AUS","Yes","","","",""
"W21_emissions_quant_B","PUBLISHED","2014","WPR","AUS","Yes","","","",""
"W21_emissions_quant_B","PUBLISHED","2016","WPR","AUS","Yes","","","",""
"W21_emissions_quant_B","PUBLISHED","2018","WPR","AUS","Yes","","","",""
"W21_emissions_quant_B","PUBLISHED","2007","EUR","AUT","No","","","",""
"W21_emissions_quant_B","PUBLISHED","2008","EUR","AUT","No","","","",""
"W21_emissions_quant_B","PUBLISHED","2010","EUR","AUT","No","","","",""
"W21_emissions_quant_B","PUBLISHED","2012","EUR","AUT","No","","","",""
"W21_emissions_quant_B","PUBLISHED","2014","EUR","AUT","No","","","",""
"W21_emissions_quant_B","PUBLISHED","2016","EUR","AUT","Yes","","","",""
