"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"W7_rotation_A","PUBLISHED","2007","EMR","AFG","Not applicable","","","",""
"W7_rotation_A","PUBLISHED","2008","EMR","AFG","Not applicable","","","",""
"W7_rotation_A","PUBLISHED","2010","EMR","AFG","Not applicable","","","",""
"W7_rotation_A","PUBLISHED","2012","EMR","AFG","Not applicable","","","",""
"W7_rotation_A","PUBLISHED","2014","EMR","AFG","Not applicable","","","",""
"W7_rotation_A","PUBLISHED","2016","EMR","AFG","No","","","",""
"W7_rotation_A","PUBLISHED","2018","EMR","AFG","No","","","",""
"W7_rotation_A","PUBLISHED","2007","AFR","AGO","Not applicable","","","",""
"W7_rotation_A","PUBLISHED","2008","AFR","AGO","Not applicable","","","",""
"W7_rotation_A","PUBLISHED","2010","AFR","AGO","Not applicable","","","",""
"W7_rotation_A","PUBLISHED","2012","AFR","AGO","Not applicable","","","",""
"W7_rotation_A","PUBLISHED","2014","AFR","AGO","Not applicable","","","",""
"W7_rotation_A","PUBLISHED","2016","AFR","AGO","Not applicable","","","",""
"W7_rotation_A","PUBLISHED","2018","AFR","AGO","Not applicable","","","",""
"W7_rotation_A","PUBLISHED","2007","EUR","ALB","No","","","",""
"W7_rotation_A","PUBLISHED","2008","EUR","ALB","Yes","","","",""
"W7_rotation_A","PUBLISHED","2010","EUR","ALB","Yes","","","",""
"W7_rotation_A","PUBLISHED","2012","EUR","ALB","Yes","","","",""
"W7_rotation_A","PUBLISHED","2014","EUR","ALB","Yes","","","",""
"W7_rotation_A","PUBLISHED","2016","EUR","ALB","Yes","","","",""
"W7_rotation_A","PUBLISHED","2018","EUR","ALB","Yes","","","",""
"W7_rotation_A","PUBLISHED","2007","EUR","AND","Not applicable","","","",""
"W7_rotation_A","PUBLISHED","2008","EUR","AND","Not applicable","","","",""
"W7_rotation_A","PUBLISHED","2010","EUR","AND","Not applicable","","","",""
"W7_rotation_A","PUBLISHED","2012","EUR","AND","Not applicable","","","",""
"W7_rotation_A","PUBLISHED","2014","EUR","AND","Not applicable","","","",""
"W7_rotation_A","PUBLISHED","2016","EUR","AND","Not applicable","","","",""
"W7_rotation_A","PUBLISHED","2018","EUR","AND","Not applicable","","","",""
"W7_rotation_A","PUBLISHED","2007","EMR","ARE","No","","","",""
"W7_rotation_A","PUBLISHED","2008","EMR","ARE","No","","","",""
"W7_rotation_A","PUBLISHED","2010","EMR","ARE","No","","","",""
"W7_rotation_A","PUBLISHED","2012","EMR","ARE","Yes","","","",""
"W7_rotation_A","PUBLISHED","2014","EMR","ARE","Yes","","","",""
"W7_rotation_A","PUBLISHED","2016","EMR","ARE","Yes","","","",""
"W7_rotation_A","PUBLISHED","2018","EMR","ARE","Yes","","","",""
"W7_rotation_A","PUBLISHED","2007","AMR","ARG","No","","","",""
"W7_rotation_A","PUBLISHED","2008","AMR","ARG","No","","","",""
"W7_rotation_A","PUBLISHED","2010","AMR","ARG","No","","","",""
"W7_rotation_A","PUBLISHED","2012","AMR","ARG","Yes","","","",""
