"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"W8_princ_langs_A","PUBLISHED","2007","EMR","AFG","Not applicable","","","",""
"W8_princ_langs_A","PUBLISHED","2008","EMR","AFG","Not applicable","","","",""
"W8_princ_langs_A","PUBLISHED","2010","EMR","AFG","Not applicable","","","",""
"W8_princ_langs_A","PUBLISHED","2012","EMR","AFG","Not applicable","","","",""
"W8_princ_langs_A","PUBLISHED","2014","EMR","AFG","Not applicable","","","",""
"W8_princ_langs_A","PUBLISHED","2016","EMR","AFG","No","","","",""
"W8_princ_langs_A","PUBLISHED","2018","EMR","AFG","No","","","",""
"W8_princ_langs_A","PUBLISHED","2007","AFR","AGO","Not applicable","","","",""
"W8_princ_langs_A","PUBLISHED","2008","AFR","AGO","Not applicable","","","",""
"W8_princ_langs_A","PUBLISHED","2010","AFR","AGO","Not applicable","","","",""
"W8_princ_langs_A","PUBLISHED","2012","AFR","AGO","Not applicable","","","",""
"W8_princ_langs_A","PUBLISHED","2014","AFR","AGO","Not applicable","","","",""
"W8_princ_langs_A","PUBLISHED","2016","AFR","AGO","Not applicable","","","",""
"W8_princ_langs_A","PUBLISHED","2018","AFR","AGO","Not applicable","","","",""
"W8_princ_langs_A","PUBLISHED","2007","EUR","ALB","Yes","","","",""
"W8_princ_langs_A","PUBLISHED","2008","EUR","ALB","Yes","","","",""
"W8_princ_langs_A","PUBLISHED","2010","EUR","ALB","Yes","","","",""
"W8_princ_langs_A","PUBLISHED","2012","EUR","ALB","Yes","","","",""
"W8_princ_langs_A","PUBLISHED","2014","EUR","ALB","Yes","","","",""
"W8_princ_langs_A","PUBLISHED","2016","EUR","ALB","Yes","","","",""
"W8_princ_langs_A","PUBLISHED","2018","EUR","ALB","Yes","","","",""
"W8_princ_langs_A","PUBLISHED","2007","EUR","AND","Not applicable","","","",""
"W8_princ_langs_A","PUBLISHED","2008","EUR","AND","Not applicable","","","",""
"W8_princ_langs_A","PUBLISHED","2010","EUR","AND","Not applicable","","","",""
"W8_princ_langs_A","PUBLISHED","2012","EUR","AND","Not applicable","","","",""
"W8_princ_langs_A","PUBLISHED","2014","EUR","AND","Not applicable","","","",""
"W8_princ_langs_A","PUBLISHED","2016","EUR","AND","Not applicable","","","",""
"W8_princ_langs_A","PUBLISHED","2018","EUR","AND","Not applicable","","","",""
