"GHO","PUBLISHSTATE","YEAR","REGION","UNREGION","WORLDBANKINCOMEGROUP","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"WHOSIS_000003","PUBLISHED","1996","EMR","","","AFG","BTSX","65.7","65.67110","59.40363","72.46575",""
"WHOSIS_000003","PUBLISHED","1997","EMR","","","AFG","BTSX","64.3","64.34481","58.35495","70.92460",""
"WHOSIS_000003","PUBLISHED","1998","EMR","","","AFG","BTSX","63.1","63.07214","57.27969","69.48922",""
"WHOSIS_000003","PUBLISHED","1999","EMR","","","AFG","BTSX","61.9","61.85019","56.20270","68.13250",""
"WHOSIS_000003","PUBLISHED","2013","EMR","","","AFG","BTSX","43","42.99490","37.72995","48.80173",""
"WHOSIS_000003","PUBLISHED","2014","EMR","","","AFG","BTSX","41.6","41.61608","36.03816","47.86063",""
"WHOSIS_000003","PUBLISHED","2015","EMR","","","AFG","BTSX","40.3","40.27052","34.33988","46.94010",""
"WHOSIS_000003","PUBLISHED","2016","EMR","","","AFG","BTSX","39.1","39.05227","32.58671","46.17071",""
"WHOSIS_000003","PUBLISHED","1999","AFR","","","AGO","BTSX","51.1","51.12355","42.75362","61.27757",""
"WHOSIS_000003","PUBLISHED","2000","AFR","","","AGO","BTSX","50.3","50.28426","41.86484","60.38014",""
"WHOSIS_000003","PUBLISHED","2001","AFR","","","AGO","BTSX","49.2","49.24041","40.68250","59.35671",""
"WHOSIS_000003","PUBLISHED","2002","AFR","","","AGO","BTSX","47.9","47.94725","39.54899","57.88101",""
"WHOSIS_000003","PUBLISHED","2015","AFR","","","AGO","BTSX","30.6","30.63347","15.64536","53.27440",""
"WHOSIS_000003","PUBLISHED","2016","AFR","","","AGO","BTSX","29.8","29.77726","14.54751","53.42298",""
"WHOSIS_000003","PUBLISHED","2017","AFR","","","AGO","BTSX","29","29.00269","13.70458","53.58295",""
"WHOSIS_000003","PUBLISHED","2018","AFR","","","AGO","BTSX","28.3","28.25211","12.82763","53.61759",""
"WHOSIS_000003","PUBLISHED","2019","AFR","","","AGO","BTSX","27.6","27.57348","12.16560","53.69734",""
"WHOSIS_000003","PUBLISHED","1991","EUR","","","ALB","BTSX","12.4","12.38132","9.61390","15.47765",""
"WHOSIS_000003","PUBLISHED","1992","EUR","","","ALB","BTSX","12.3","12.32434","9.52717","15.34648",""
"WHOSIS_000003","PUBLISHED","1993","EUR","","","ALB","BTSX","12.3","12.32160","9.63592","15.25310",""
"WHOSIS_000003","PUBLISHED","1994","EUR","","","ALB","BTSX","12.4","12.39032","9.90955","15.23079",""
"WHOSIS_000003","PUBLISHED","2008","EUR","","","ALB","BTSX","8.3","8.26528","7.41963","9.09410",""
"WHOSIS_000003","PUBLISHED","2009","EUR","","","ALB","BTSX","7.4","7.37319","6.61263","8.13014",""
"WHOSIS_000003","PUBLISHED","2010","EUR","","","ALB","BTSX","6.7","6.66147","5.94768","7.37054",""
"WHOSIS_000003","PUBLISHED","2011","EUR","","","ALB","BTSX","6.2","6.22647","5.58914","6.86495",""
"WHOSIS_000003","PUBLISHED","1994","EUR","","","AND","BTSX","5.6","5.57412","1.85748","16.01372",""
"WHOSIS_000003","PUBLISHED","1995","EUR","","","AND","BTSX","5.2","5.22960","1.85897","14.12697",""
"WHOSIS_000003","PUBLISHED","1996","EUR","","","AND","BTSX","4.9","4.93847","1.88699","12.42596",""
"WHOSIS_000003","PUBLISHED","1997","EUR","","","AND","BTSX","4.7","4.67684","1.91108","11.01866",""
"WHOSIS_000003","PUBLISHED","2010","EUR","","","AND","BTSX","2.2","2.18728","0.96673","4.77630",""
"WHOSIS_000003","PUBLISHED","2011","EUR","","","AND","BTSX","2.1","2.08191","0.87637","4.81416",""
"WHOSIS_000003","PUBLISHED","2012","EUR","","","AND","BTSX","2","1.98255","0.79240","4.90449",""
"WHOSIS_000003","PUBLISHED","2013","EUR","","","AND","BTSX","1.9","1.89283","0.70086","5.01473",""
"WHOSIS_000003","PUBLISHED","1985","EMR","","","ARE","BTSX","10.7","10.74597","8.65066","13.05450",""
"WHOSIS_000003","PUBLISHED","1986","EMR","","","ARE","BTSX","10.1","10.11539","8.17580","12.25703",""
"WHOSIS_000003","PUBLISHED","1987","EMR","","","ARE","BTSX","9.6","9.56072","7.78264","11.57662",""
"WHOSIS_000003","PUBLISHED","1988","EMR","","","ARE","BTSX","9.1","9.08384","7.44395","10.99102",""
"WHOSIS_000003","PUBLISHED","2002","EMR","","","ARE","BTSX","5.6","5.62016","5.03391","6.51823",""
"WHOSIS_000003","PUBLISHED","2003","EMR","","","ARE","BTSX","5.5","5.47363","4.91446","6.34574",""
"WHOSIS_000003","PUBLISHED","2004","EMR","","","ARE","BTSX","5.3","5.32184","4.78759","6.15191",""
"WHOSIS_000003","PUBLISHED","2005","EMR","","","ARE","BTSX","5.2","5.17966","4.65642","5.98262",""
"WHOSIS_000003","PUBLISHED","2018","EMR","","","ARE","BTSX","4.1","4.05046","3.44544","4.72585",""
"WHOSIS_000003","PUBLISHED","2019","EMR","","","ARE","BTSX","4","3.97888","3.27383","4.79318",""
"WHOSIS_000003","PUBLISHED","1970","AMR","","","ARG","BTSX","24.9","24.85124","23.33525","26.45713",""
