"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"WHOSIS_000007","PUBLISHED","2000","EMR","AFG","MLE","10.1","10.08104","","",""
"WHOSIS_000007","PUBLISHED","2005","EMR","AFG","MLE","10.4","10.39300","","",""
"WHOSIS_000007","PUBLISHED","2010","EMR","AFG","MLE","10.6","10.64522","","",""
"WHOSIS_000007","PUBLISHED","2015","EMR","AFG","MLE","10.8","10.84142","","",""
"WHOSIS_000007","PUBLISHED","2016","EMR","AFG","MLE","10.9","10.91189","","",""
"WHOSIS_000007","PUBLISHED","2000","EMR","AFG","FMLE","10.6","10.59198","","",""
"WHOSIS_000007","PUBLISHED","2005","EMR","AFG","FMLE","11.0","10.97639","","",""
"WHOSIS_000007","PUBLISHED","2010","EMR","AFG","FMLE","11.3","11.33166","","",""
"WHOSIS_000007","PUBLISHED","2015","EMR","AFG","FMLE","11.6","11.62604","","",""
"WHOSIS_000007","PUBLISHED","2016","EMR","AFG","FMLE","11.7","11.69931","","",""
"WHOSIS_000007","PUBLISHED","2000","EMR","AFG","BTSX","10.3","10.33411","","",""
"WHOSIS_000007","PUBLISHED","2005","EMR","AFG","BTSX","10.7","10.68118","","",""
"WHOSIS_000007","PUBLISHED","2010","EMR","AFG","BTSX","11.0","10.99311","","",""
"WHOSIS_000007","PUBLISHED","2015","EMR","AFG","BTSX","11.2","11.23655","","",""
"WHOSIS_000007","PUBLISHED","2016","EMR","AFG","BTSX","11.3","11.30735","","",""
"WHOSIS_000007","PUBLISHED","2000","AFR","AGO","MLE","10.5","10.51838","","",""
"WHOSIS_000007","PUBLISHED","2005","AFR","AGO","MLE","11.3","11.34477","","",""
"WHOSIS_000007","PUBLISHED","2010","AFR","AGO","MLE","12.1","12.08839","","",""
"WHOSIS_000007","PUBLISHED","2015","AFR","AGO","MLE","12.8","12.75133","","",""
"WHOSIS_000007","PUBLISHED","2016","AFR","AGO","MLE","12.9","12.87368","","",""
"WHOSIS_000007","PUBLISHED","2000","AFR","AGO","FMLE","11.8","11.75885","","",""
"WHOSIS_000007","PUBLISHED","2005","AFR","AGO","FMLE","12.6","12.55564","","",""
"WHOSIS_000007","PUBLISHED","2010","AFR","AGO","FMLE","13.4","13.40637","","",""
"WHOSIS_000007","PUBLISHED","2015","AFR","AGO","FMLE","14.2","14.17170","","",""
"WHOSIS_000007","PUBLISHED","2016","AFR","AGO","FMLE","14.3","14.29200","","",""
"WHOSIS_000007","PUBLISHED","2000","AFR","AGO","BTSX","11.2","11.18996","","",""
"WHOSIS_000007","PUBLISHED","2005","AFR","AGO","BTSX","12.0","12.00098","","",""
