"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"WHOSIS_000009","NLIS_312436","PUBLISHED","2000","WPR","MNG","MLE","13.2","13.20000","","",""
"WHOSIS_000009","NLIS_313195","PUBLISHED","2010","WPR","MNG","MLE","8.2","8.20000","","",""
"WHOSIS_000009","NLIS_313179","PUBLISHED","2008-2011","WPR","KOR","BTSX","6.7","6.70000","","",""
"WHOSIS_000009","NLIS_313195","PUBLISHED","2010","WPR","MNG","BTSX","6.7","6.70000","","",""
"WHOSIS_000009","NLIS_312945","PUBLISHED","2007","WPR","TUV","BTSX","6.3","6.30000","","",""
"WHOSIS_000009","NLIS_312966","PUBLISHED","2003","WPR","KOR","BTSX","6.2","6.20000","","",""
"WHOSIS_000009","NLIS_313153","PUBLISHED","2004","WPR","FJI","MLE","5.4","5.40000","","",""
"WHOSIS_000009","NLIS_313277","PUBLISHED","2013-2014","WPR","PHL","MLE","5.4","5.40000","","",""
"WHOSIS_000009","NLIS_313153","PUBLISHED","2004","WPR","FJI","BTSX","5.1","5.10000","","",""
"WHOSIS_000009","NLIS_313179","PUBLISHED","2008-2011","WPR","KOR","FMLE","5.1","5.10000","","",""
"WHOSIS_000009","NLIS_313195","PUBLISHED","2010","WPR","MNG","FMLE","5.1","5.10000","","",""
"WHOSIS_000009","NLIS_312312","PUBLISHED","2000","WPR","KHM","MLE","4.1","4.10000","","",""
"WHOSIS_000009","NLIS_310320","PUBLISHED","1970","WPR","SLB","MLE","4.1","4.10000","","",""
"WHOSIS_000009","NLIS_310320","PUBLISHED","1970","WPR","SLB","FMLE","4.1","4.10000","","",""
"WHOSIS_000009","NLIS_313072","PUBLISHED","2008","WPR","PHL","MLE","3.6","3.60000","","",""
"WHOSIS_000009","NLIS_310325","PUBLISHED","1978-1981","WPR","JPN","BTSX","2.9","2.90000","","",""
"WHOSIS_000009","NLIS_312355","PUBLISHED","2000","WPR","LAO","FMLE","2.9","2.90000","","",""
"WHOSIS_000009","NLIS_312355","PUBLISHED","2000","WPR","LAO","BTSX","2.7","2.70000","","",""
"WHOSIS_000009","NLIS_312772","PUBLISHED","2003","WPR","PHL","MLE","2.7","2.70000","","",""
"WHOSIS_000009","NLIS_312947","PUBLISHED","2006-2007","WPR","SLB","BTSX","2.5","2.50000","","",""
