"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"WHOSIS_000010","PUBLISHED","2008","EMR","WB_LI","AFG","MLE","1.5 [0.1-5.2]","1.50000","0.10000","5.20000",""
"WHOSIS_000010","PUBLISHED","2008","AFR","WB_UMI","DZA","MLE","10.7 [6.5-16.4]","10.70000","6.50000","16.40000",""
"WHOSIS_000010","PUBLISHED","2008","EUR","WB_HI","AUT","MLE","19.2 [9.8-28.9]","19.20000","9.80000","28.90000",""
"WHOSIS_000010","PUBLISHED","2008","AMR","WB_HI","BHS","MLE","26.7 [12.8-41.1]","26.70000","12.80000","41.10000",""
"WHOSIS_000010","PUBLISHED","2008","EUR","WB_HI","BEL","MLE","21.2 [14.4-27.6]","21.20000","14.40000","27.60000",""
"WHOSIS_000010","PUBLISHED","2008","AFR","WB_LI","BEN","MLE","3.5 [2.2-5.0]","3.50000","2.20000","5.00000",""
"WHOSIS_000010","PUBLISHED","2008","EUR","WB_UMI","BGR","MLE","22.0 [16.0-27.6]","22.00000","16.00000","27.60000",""
"WHOSIS_000010","PUBLISHED","2008","AFR","WB_LI","BDI","MLE","2.8 [0.3-8.6]","2.80000","0.30000","8.60000",""
"WHOSIS_000010","PUBLISHED","2008","AMR","WB_UMI","CHL","MLE","24.5 [18.6-29.8]","24.50000","18.60000","29.80000",""
"WHOSIS_000010","PUBLISHED","2008","AMR","WB_UMI","COL","MLE","11.9 [9.0-15.3]","11.90000","9.00000","15.30000",""
"WHOSIS_000010","PUBLISHED","2008","AFR","WB_LMI","CIV","MLE","3.9 [1.3-7.8]","3.90000","1.30000","7.80000",""
"WHOSIS_000010","PUBLISHED","2008","AMR","WB_UMI","CUB","MLE","13.3 [7.9-20.5]","13.30000","7.90000","20.50000",""
"WHOSIS_000010","PUBLISHED","2008","AMR","WB_UMI","DMA","MLE","10.1 [7.3-13.9]","10.10000","7.30000","13.90000",""
"WHOSIS_000010","PUBLISHED","2008","AMR","WB_LMI","ECU","MLE","15.7 [8.0-25.7]","15.70000","8.00000","25.70000",""
"WHOSIS_000010","PUBLISHED","2008","WPR","WB_UMI","FJI","MLE","21.3 [14.3-28.0]","21.30000","14.30000","28.00000",""
"WHOSIS_000010","PUBLISHED","2008","EUR","WB_HI","FRA","MLE","16.8 [13.3-20.1]","16.80000","13.30000","20.10000",""
"WHOSIS_000010","PUBLISHED","2008","AFR","WB_LI","GHA","MLE","4.4 [3.0-5.9]","4.40000","3.00000","5.90000",""
"WHOSIS_000010","PUBLISHED","2008","AMR","WB_UMI","GRD","MLE","14.9 [5.1-28.1]","14.90000","5.10000","28.10000",""
"WHOSIS_000010","PUBLISHED","2008","EUR","WB_HI","HUN","MLE","26.2 [17.0-36.3]","26.20000","17.00000","36.30000",""
"WHOSIS_000010","PUBLISHED","2008","SEAR","WB_LMI","IND","MLE","1.3 [0.9-1.9]","1.30000","0.90000","1.90000",""
"WHOSIS_000010","PUBLISHED","2008","AMR","WB_UMI","JAM","MLE","10.0 [7.6-12.9]","10.00000","7.60000","12.90000",""
"WHOSIS_000010","PUBLISHED","2008","EMR","WB_LMI","JOR","MLE","27.3 [23.4-31.4]","27.30000","23.40000","31.40000",""
"WHOSIS_000010","PUBLISHED","2008","EUR","WB_LI","KGZ","MLE","11.7 [5.0-21.4]","11.70000","5.00000","21.40000",""
"WHOSIS_000010","PUBLISHED","2008","EUR","WB_UMI","LVA","MLE","21.5 [13.2-30.4]","21.50000","13.20000","30.40000",""
"WHOSIS_000010","PUBLISHED","2008","AFR","WB_LI","MDG","MLE","1.8 [0.8-3.4]","1.80000","0.80000","3.40000",""
"WHOSIS_000010","PUBLISHED","2008","WPR","WB_UMI","MYS","MLE","10.4 [8.1-13.4]","10.40000","8.10000","13.40000",""
"WHOSIS_000010","PUBLISHED","2008","AMR","WB_UMI","MEX","MLE","26.7 [22.4-30.5]","26.70000","22.40000","30.50000",""
"WHOSIS_000010","PUBLISHED","2008","EUR","WB_HI","MCO","MLE","...","","","",""
"WHOSIS_000010","PUBLISHED","2008","SEAR","WB_LI","MMR","MLE","2.0 [1.2-3.1]","2.00000","1.20000","3.10000",""
"WHOSIS_000010","PUBLISHED","2008","WPR","","NRU","MLE","67.5 [60.1-74.6]","67.50000","60.10000","74.60000",""
"WHOSIS_000010","PUBLISHED","2008","WPR","","NIU","MLE","...","","","",""
"WHOSIS_000010","PUBLISHED","2008","EMR","WB_HI","OMN","MLE","19.4 [13.2-25.7]","19.40000","13.20000","25.70000",""
"WHOSIS_000010","PUBLISHED","2008","WPR","WB_LMI","PHL","MLE","4.5 [2.7-6.8]","4.50000","2.70000","6.80000",""
"WHOSIS_000010","PUBLISHED","2008","EUR","WB_HI","PRT","MLE","20.4 [14.9-25.6]","20.40000","14.90000","25.60000",""
"WHOSIS_000010","PUBLISHED","2008","EUR","WB_UMI","RUS","MLE","18.4 [15.1-21.8]","18.40000","15.10000","21.80000",""
"WHOSIS_000010","PUBLISHED","2008","AMR","WB_UMI","KNA","MLE","32.0 [25.5-39.0]","32.00000","25.50000","39.00000",""
"WHOSIS_000010","PUBLISHED","2008","AFR","WB_LI","SEN","MLE","3.2 [0.8-7.8]","3.20000","0.80000","7.80000",""
"WHOSIS_000010","PUBLISHED","2008","AFR","WB_UMI","SYC","MLE","15.1 [10.0-21.0]","15.10000","10.00000","21.00000",""
