"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","UNSDGREGION","Display Value","Numeric","Low","High","Comments"
"WHOSIS_000014","PUBLISHED","2015","AFR","ZWE","","20.6","20.60000","","",""
"WHOSIS_000014","PUBLISHED","2015","WPR","TUV","","13.8","13.80000","","",""
"WHOSIS_000014","PUBLISHED","2015","EUR","TKM","","17.0","17.00000","","",""
"WHOSIS_000014","PUBLISHED","2015","EUR","TUR","","7.0","7.00000","","",""
"WHOSIS_000014","PUBLISHED","2015","EMR","TUN","","9.2","9.20000","","",""
"WHOSIS_000014","PUBLISHED","2015","SEAR","LKA","","4.9","4.90000","","",""
"WHOSIS_000014","PUBLISHED","2015","EUR","ESP","","2.9","2.90000","","",""
"WHOSIS_000014","PUBLISHED","2015","AFR","SSD","","30.1","30.10000","","",""
"WHOSIS_000014","PUBLISHED","2015","AFR","ZAF","","17.4","17.40000","","",""
"WHOSIS_000014","PUBLISHED","2015","WPR","WSM","","11.1","11.10000","","",""
"WHOSIS_000014","PUBLISHED","2015","AMR","VCT","","10.7","10.70000","","",""
"WHOSIS_000014","PUBLISHED","2015","AMR","LCA","","12.1","12.10000","","",""
"WHOSIS_000014","PUBLISHED","2015","AMR","KNA","","7.5","7.50000","","",""
"WHOSIS_000014","PUBLISHED","2015","AFR","RWA","","17.3","17.30000","","",""
"WHOSIS_000014","PUBLISHED","2015","WPR","PLW","","8.4","8.40000","","",""
"WHOSIS_000014","PUBLISHED","2015","EMR","PAK","","43.1","43.10000","","",""
"WHOSIS_000014","PUBLISHED","2015","EMR","OMN","","8.5","8.50000","","",""
"WHOSIS_000014","PUBLISHED","2015","EUR","NOR","","2.2","2.20000","","",""
"WHOSIS_000014","PUBLISHED","2015","WPR","MNG","","7.3","7.30000","","",""
"WHOSIS_000014","PUBLISHED","2015","EUR","MCO","","5.7","5.70000","","",""
"WHOSIS_000014","PUBLISHED","2015","WPR","FSM","","17.8","17.80000","","",""
"WHOSIS_000014","PUBLISHED","2015","AMR","MEX","","5.5","5.50000","","",""
"WHOSIS_000014","PUBLISHED","2015","AFR","LSO","","19.5","19.50000","","",""
"WHOSIS_000014","PUBLISHED","2015","EMR","LBN","","9.9","9.90000","","",""
"WHOSIS_000014","PUBLISHED","2015","EUR","LVA","","3.6","3.60000","","",""
"WHOSIS_000014","PUBLISHED","2015","WPR","LAO","","23.7","23.70000","","",""
"WHOSIS_000014","PUBLISHED","2015","EMR","IRN","","6.4","6.40000","","",""
"WHOSIS_000014","PUBLISHED","2015","SEAR","IDN","","13.2","13.20000","","",""
"WHOSIS_000014","PUBLISHED","2015","SEAR","IND","","23.0","23.00000","","",""
"WHOSIS_000014","PUBLISHED","2015","EUR","ISL","","1.3","1.30000","","",""
"WHOSIS_000014","PUBLISHED","2015","AFR","GAB","","14.0","14.00000","","",""
"WHOSIS_000014","PUBLISHED","2015","EUR","FRA","","4.7","4.70000","","",""
"WHOSIS_000014","PUBLISHED","2015","EUR","FIN","","1.8","1.80000","","",""
"WHOSIS_000014","PUBLISHED","2015","WPR","FJI","","11.9","11.90000","","",""
"WHOSIS_000014","PUBLISHED","2015","EUR","CZE","","2.5","2.50000","","",""
