"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","Display Value","Numeric","Low","High","Comments"
"WHS2_152","PUBLISHED","2006","AFR","","104","104.00000","104.00000","104.00000",""
"WHS2_152","PUBLISHED","2006","AMR","","...","","","",""
"WHS2_152","PUBLISHED","2006","EMR","","7","7.00000","7.00000","7.00000",""
"WHS2_152","PUBLISHED","2006","NOTSPEC","WB_WORLD_INCOME","17","17.00000","17.00000","17.00000",""
"WHS2_152","PUBLISHED","2006","NOTSPEC","WB_LI","61","61.00000","61.00000","61.00000",""
"WHS2_152","PUBLISHED","2006","NOTSPEC","WB_LMI","3","3.00000","3.00000","3.00000",""
"WHS2_152","PUBLISHED","2006","SEAR","","2","2.00000","2.00000","2.00000",""
"WHS2_152","PUBLISHED","2006","NOTSPEC","WB_UMI","...","","","",""
"WHS2_152","PUBLISHED","2006","WPR","","...","","","",""
"WHS2_152","PUBLISHED","2006","GLOBAL","","17","17.00000","17.00000","17.00000",""
