"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"WHS4_154","PUBLISHED","2008-2011","EMR","AFG","14.6","14.60000","","","MICS 2010-11. Central Statistics Organisation (CSO), UNICEF. Afghanistan Multiple Indicator Cluster Survey 2010-2011: Final Report. Kabul: Central Statistics Organisation (CSO), UNICEF; 2012."
"WHS4_154","PUBLISHED","2005-2010","EMR","AFG","16.1","16.10000","","","APHI/MoPH [Afghanistan], CSO [Afghanistan], ICF Macro, IIHMR [India], WHO/EMRO; 2011.Afghanistan Mortality Survey 2010. Calverton: Afghan Public Health Institute, Ministry of Public Health (APHI/MoPH) [Afghanistan], Central Statistics Organization (CSO) [Afghanistan], ICF Macro, Indian Institute of Health Management Research (IIHMR) [India], and World Health Organization Regional Office for the Eastern Mediterranean (WHO/EMRO) [Egypt]; 2011."
"WHS4_154","PUBLISHED","2006-2012","EMR","AFG","9.9","9.90000","","","Central Statistics Organization (CSO) [Afghanistan]; 2014.National Risk and Vulnerability Assessment 2011-12. Afghanistan Living Condition Survey. Kabul: Central Statistics Organization (CSO); 2014."
"WHS4_154","PUBLISHED","2009-2014","EMR","AFG","22.7","22.70000","","","Central Statistics Organization (CSO) [Afghanistan]; 2016.Afghanistan Living Conditions Survey 2013-14. National Risk and Vulnerability Assessment. Kabul: Central Statistics Organization (CSO); 2016."
"WHS4_154","PUBLISHED","2010-2015","EMR","AFG","17.8","17.80000","","","DHS 2015. Central Statistics Organization (CSO), Ministry of Public Health (MoPH), ICF. Afghanistan Demographic and Health Survey 2015. Kabul, Afghanistan: Central Statistics Organization; 2017."
"WHS4_154","PUBLISHED","2011-2017","EMR","AFG","16.3","16.30000","","","Central Statistics Organization (CSO) [Afghanistan]; 2018.Afghanistan Living Conditions Survey 2016-17. Kabul: Central Statistics Organization (CSO); 2018."
"WHS4_154","PUBLISHED","2016-2018","EMR","AFG","20.9","20.90000","","","Afghanistan Health Survey 2018.Afghanistan Health Survey 2018. Amsterdam: KIT Royal Tropical Institute; 2018. "
"WHS4_154","PUBLISHED","2003-2009","EUR","ALB","66.8","66.80000","","","DHS 2008-09. Institute of Statistics, Institute of Public Health [Albania], ICF Macro. Albania Demographic and Health Survey 2008-09. Tirana, Albania: Institute of Statistics, Institute of Public Health, ICF Macro; 2010. "
"WHS4_154","PUBLISHED","1987-1992","AFR","DZA","12.4","12.40000","","","Ministère de la Santé et de la Population, Office National des Statistique [Algeria], Ligue des Etats Arabes; 1993.Enquête Algérienne sur la Santé de la Mère et de l'Enfant. Rapport Principal. Alger: Ministère de la Santé et de la Population, Office National des Statistique, Ligue des Etats Arabes; 1993 (in French)."
"WHS4_154","PUBLISHED","2010-2013","AFR","DZA","67.3","67.30000","","","MICS 2012-2013. Enquête par Grappes à Indicateurs Multiples (MICS) [Multiple Indicator Cluster Survey (MICS)] République Algérienne Démocratique et Populaire 2012-2013. Rapport final. Algérie: Ministère de la Santé, de la Population et de la Réforme Hospitalière, Fonds des Nations unies pour l’enfance (UNICEF), Fonds des Nations Unies pour la Population (FNUAP/UNFPA); 2015 (in French).  "
"WHS4_154","PUBLISHED","1994-1996","AFR","AGO","31.5","31.50000","","","MICS 1996. Angola Multiple Indicator Survey 1996. Luanda: National Statistics Office, United Nations Children's Fund (UNICEF); 1998."
"WHS4_154","PUBLISHED","2010-2016","AFR","AGO","61.4","61.40000","","","DHS 2015-2016. Instituto Nacional de Estatística (INE), Ministério da Saúde (MINSA), Ministério do Planeamento e do Desenvolvimento Territorial (MINPLAN), ICF. Inquérito de Indicadores Múltiplos e de Saúde em Angola 2015-2016. Luanda, Angola e Rockville, Maryland, EUA: INE, MINSA, MINPLAN, ICF; 2017 (in Portuguese). "
"WHS4_154","PUBLISHED","2010","AMR","ATG","100","100.00000","","","WHO/PAHO; 2011. Health Situation in the Americas: Basic Indicators 2011. Washington, DC: Pan American Health Organization/World Health Organization (PAHO/WHO), Health Information and Analysis Project; 2011."
