"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","Display Value","Numeric","Low","High","Comments"
"WHS6_520","PUBLISHED","2008","AFR","WB_LI","BEN","0.23","","","",""
"WHS6_520","PUBLISHED","2006","AFR","WB_LI","BFA","<0.05","","","",""
"WHS6_520","PUBLISHED","2005","SEAR","WB_LI","BGD","0.43","","","",""
"WHS6_520","PUBLISHED","2004","EMR","WB_HI","BHR","4","","","",""
"WHS6_520","PUBLISHED","2009","AMR","WB_LMI","BLZ","2.06","","","",""
"WHS6_520","PUBLISHED","2000","AMR","WB_UMI","BRA","9.7","","","",""
"WHS6_520","PUBLISHED","2005","AMR","WB_HI","BRB","7.19","","","",""
"WHS6_520","PUBLISHED","2007","SEAR","WB_LMI","BTN","0.35","","","",""
"WHS6_520","PUBLISHED","2004","AFR","WB_UMI","BWA","1","","","",""
"WHS6_520","PUBLISHED","2004","AFR","WB_LI","CAF","0.1","","","",""
"WHS6_520","PUBLISHED","2006","AMR","WB_HI","CAN","0.42","","","",""
"WHS6_520","PUBLISHED","1992","AMR","WB_UMI","CHL","0.26","","","",""
"WHS6_520","PUBLISHED","2008","AFR","WB_LMI","CIV","0.74","","","",""
"WHS6_520","PUBLISHED","2004","AFR","WB_LMI","CMR","<0.01","","","",""
"WHS6_520","PUBLISHED","2007","AFR","WB_LMI","COG","<0.05","","","",""
"WHS6_520","PUBLISHED","2004","AFR","WB_LI","COM","0.2","","","",""
"WHS6_520","PUBLISHED","2004","AFR","WB_LMI","CPV","0.2","","","",""
"WHS6_520","PUBLISHED","2000","AMR","WB_UMI","CRI","3.2","","","",""
"WHS6_520","PUBLISHED","2007","AMR","WB_UMI","CUB","3.02","","","",""
"WHS6_520","PUBLISHED","2005","EMR","WB_LMI","DJI","0.25","","","",""
"WHS6_520","PUBLISHED","2007","AFR","WB_UMI","DZA","0.72","","","",""
"WHS6_520","PUBLISHED","2004","EMR","WB_LMI","EGY","1.3","","","",""
"WHS6_520","PUBLISHED","2004","AFR","WB_LI","ERI","0.2","","","",""
"WHS6_520","PUBLISHED","2000","EUR","WB_HI","EST","0.8","","","",""
"WHS6_520","PUBLISHED","2007","AFR","WB_LI","ETH","0.14","","","",""
"WHS6_520","PUBLISHED","2004","AFR","WB_UMI","GAB","1.1","","","",""
"WHS6_520","PUBLISHED","2008","AFR","WB_LI","GMB","0.48","","","",""
"WHS6_520","PUBLISHED","2004","AFR","WB_HI","GNQ","0.4","","","",""
"WHS6_520","PUBLISHED","2003","SEAR","WB_LI","PRK","1.2","","","",""
"WHS6_520","PUBLISHED","2004","AFR","WB_LI","TCD","0.3","","","",""
"WHS6_520","PUBLISHED","2008","AFR","WB_LI","GHA","<0.05","","","",""
"WHS6_520","PUBLISHED","2005","AFR","WB_LI","GIN","0.07","","","",""
"WHS6_520","PUBLISHED","2008","AFR","WB_LI","GNB","0.34","","","",""
"WHS6_520","PUBLISHED","2000","AMR","WB_LMI","HND","0.3","","","",""
"WHS6_520","PUBLISHED","2003","SEAR","WB_LMI","IDN","0.3","","","",""
"WHS6_520","PUBLISHED","1991","SEAR","WB_LMI","IND","0.5","","","",""
"WHS6_520","PUBLISHED","2004","EMR","WB_LMI","IRN","1.4","","","",""
"WHS6_520","PUBLISHED","2004","EMR","WB_LMI","IRQ","1","","","",""
"WHS6_520","PUBLISHED","2004","EMR","WB_LMI","JOR","2.5","","","",""
"WHS6_520","PUBLISHED","2004","AFR","WB_LI","KEN","2","","","",""
"WHS6_520","PUBLISHED","2008","AFR","WB_LI","LBR","0.11","","","",""
"WHS6_520","PUBLISHED","2003","AFR","WB_LMI","LSO","0.3","","","",""
"WHS6_520","PUBLISHED","2004","EMR","WB_LMI","MAR","0.2","","","",""
"WHS6_520","PUBLISHED","2004","AFR","WB_LI","MDG","0.1","","","",""
"WHS6_520","PUBLISHED","1996","SEAR","WB_LMI","MDV","1.86","","","",""
"WHS6_520","PUBLISHED","2008","AFR","WB_LI","MLI","0.07","","","",""
"WHS6_520","PUBLISHED","2008","SEAR","WB_LI","MMR","0.39","","","",""
"WHS6_520","PUBLISHED","2002","WPR","WB_LMI","MNG","0.3","","","",""
"WHS6_520","PUBLISHED","2004","AFR","WB_LI","MOZ","0.3","","","",""
"WHS6_520","PUBLISHED","2009","AFR","WB_LI","MRT","0.57","","","",""
"WHS6_520","PUBLISHED","2004","AFR","WB_UMI","MUS","1.9","","","",""
"WHS6_520","PUBLISHED","2008","AFR","WB_LI","MWI","0.23","","","",""
"WHS6_520","PUBLISHED","2007","AFR","WB_UMI","NAM","0.96","","","",""
"WHS6_520","PUBLISHED","2008","AFR","WB_LI","NER","0.09","","","",""
"WHS6_520","PUBLISHED","2008","AFR","WB_LMI","NGA","0.31","","","",""
"WHS6_520","PUBLISHED","2004","SEAR","WB_LI","NPL","0.1","","","",""
"WHS6_520","PUBLISHED","2008","EMR","WB_HI","OMN","0.76","","","",""
"WHS6_520","PUBLISHED","2004","EMR","WB_LMI","PAK","<0.01","","","",""
"WHS6_520","PUBLISHED","1997","EUR","WB_HI","GBR","2.5","","","",""
"WHS6_520","PUBLISHED","2000","AMR","WB_UMI","KNA","4.05","","","",""
"WHS6_520","PUBLISHED","2007","SEAR","WB_LMI","LKA","1.14","","","",""
"WHS6_520","PUBLISHED","2000","AMR","WB_UMI","PAN","3.2","","","",""
"WHS6_520","PUBLISHED","2009","AMR","WB_UMI","PER","<0.05","","","",""
"WHS6_520","PUBLISHED","2002","AMR","WB_LMI","PRY","0.2","","","",""
"WHS6_520","PUBLISHED","2000","EUR","WB_UMI","RUS","5","","","",""
"WHS6_520","PUBLISHED","2005","AFR","WB_LI","RWA","<0.05","","","",""
"WHS6_520","PUBLISHED","2006","EMR","WB_LMI","SDN","0.78","","","",""
"WHS6_520","PUBLISHED","2008","AFR","WB_LI","SEN","0.97","","","",""
"WHS6_520","PUBLISHED","2008","AFR","WB_LI","SLE","0.23","","","",""
"WHS6_520","PUBLISHED","2005","EMR","WB_LI","SOM","0.05","","","",""
"WHS6_520","PUBLISHED","2004","AFR","WB_LMI","STP","1.2","","","",""
"WHS6_520","PUBLISHED","2004","AFR","WB_LMI","SWZ","1","","","",""
"WHS6_520","PUBLISHED","2004","AFR","WB_UMI","SYC","9.6","","","",""
"WHS6_520","PUBLISHED","2008","AFR","WB_LI","TGO","0.1","","","",""
"WHS6_520","PUBLISHED","2000","SEAR","WB_LMI","THA","0.4","","","",""
"WHS6_520","PUBLISHED","2004","SEAR","WB_LMI","TLS","0.3","","","",""
"WHS6_520","PUBLISHED","2004","EMR","WB_LMI","TUN","0.9","","","",""
"WHS6_520","PUBLISHED","2008","EUR","WB_UMI","TUR","2.54","","","",""
"WHS6_520","PUBLISHED","2002","AFR","WB_LI","TZA","0.5","","","",""
"WHS6_520","PUBLISHED","2004","AFR","WB_LI","UGA","0.4","","","",""
"WHS6_520","PUBLISHED","2004","EMR","WB_LI","YEM","0.4","","","",""
"WHS6_520","PUBLISHED","2004","AFR","WB_UMI","ZAF","0.6","","","",""
"WHS6_520","PUBLISHED","2006","AFR","WB_LI","ZMB","0.68","","","",""
"WHS6_520","PUBLISHED","2004","AFR","WB_LI","ZWE","1.4","","","",""
"WHS6_520","PUBLISHED","2008","AMR","","CAN","0.38","0.38000","","",""
"WHS6_520","PUBLISHED","2009","WPR","","COK","0.56","0.56000","","",""
"WHS6_520","PUBLISHED","2010","AMR","","CUB","2.46","2.46000","","",""
"WHS6_520","PUBLISHED","2008","EUR","","CYP","1.1","1.10000","","",""
"WHS6_520","PUBLISHED","2009","WPR","","FJI","1.35","1.35000","","",""
"WHS6_520","PUBLISHED","2008","WPR","","FSM","3.54","3.54000","","",""
"WHS6_520","PUBLISHED","2010","EUR","","ISL","1.76","1.76000","","",""
"WHS6_520","PUBLISHED","2008","WPR","","KIR","1.24","1.24000","","",""
"WHS6_520","PUBLISHED","2008","WPR","","MHL","1.47","1.47000","","",""
"WHS6_520","PUBLISHED","2008","WPR","","NIU","20","20.00000","","",""
"WHS6_520","PUBLISHED","2009","WPR","","NRU","7.14","7.14000","","",""
"WHS6_520","PUBLISHED","2009","WPR","","TON","2.43","2.43000","","",""
"WHS6_520","PUBLISHED","2008","WPR","","TUV","10.91","10.91000","","",""
"WHS6_520","PUBLISHED","2007","WPR","","VUT","0.46","0.46000","","",""
"WHS6_520","PUBLISHED","2008","WPR","","WSM","1.22","1.22000","","",""
"WHS6_520","PUBLISHED","2005","AFR","","","0.4","","","","Data for years 2000-2009"
"WHS6_520","PUBLISHED","2005","EMR","","","0.7","","","","Data for years 2000-2009"
"WHS6_520","PUBLISHED","2005","NOTSPEC","WB_LI","","0.4","","","","Data for years 2000-2009"
"WHS6_520","PUBLISHED","2005","NOTSPEC","WB_UMI","","4.7","","","","Data for years 2000-2009"
"WHS6_520","PUBLISHED","2007","NOTSPEC","WB_LI","","0","0.00000","","",""
"WHS6_520","PUBLISHED","2007","AFR","","","0","0.30000","","",""
