"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","Display Value","Numeric","Low","High","Comments"
"WHS7_104","NHA_AFG","PUBLISHED","2011","EMR","WB_LI","AFG","13.84","13.84155","","",""
"WHS7_104","","PUBLISHED","2000","AFR","WB_UMI","AGO","10.17","10.16889","","",""
"WHS7_104","","PUBLISHED","2009","AFR","WB_UMI","AGO","98.00","98.00425","","",""
"WHS7_104","","PUBLISHED","1998","EUR","WB_UMI","ALB","18.48","18.48258","","",""
"WHS7_104","","PUBLISHED","2012","EUR","WB_UMI","ALB","117.23","117.23315","","",""
"WHS7_104","","PUBLISHED","2014","EUR","WB_UMI","ALB","135.86","135.86250","","",""
"WHS7_104","","PUBLISHED","2001","EUR","WB_HI","AND","872.19","872.18543","","",""
"WHS7_104","","PUBLISHED","2003","EUR","WB_HI","AND","1255.52","1255.51800","","",""
"WHS7_104","","PUBLISHED","2012","EUR","WB_HI","AND","2279.62","2279.62331","","",""
"WHS7_104","","PUBLISHED","1997","EMR","WB_HI","ARE","591.87","591.87330","","",""
"WHS7_104","","PUBLISHED","2001","EMR","WB_HI","ARE","624.29","624.29180","","",""
"WHS7_104","","PUBLISHED","2006","EMR","WB_HI","ARE","593.82","593.81651","","",""
"WHS7_104","NHA_ARG","PUBLISHED","1995","AMR","WB_HI","ARG","366.29","366.28864","","",""
"WHS7_104","NHA_ARG","PUBLISHED","1997","AMR","WB_HI","ARG","372.29","372.29122","","",""
"WHS7_104","NHA_ARG","PUBLISHED","2004","AMR","WB_HI","ARG","166.71","166.70808","","",""
"WHS7_104","NHA_ARG","PUBLISHED","2006","AMR","WB_HI","ARG","244.59","244.59378","","",""
"WHS7_104","","PUBLISHED","2000","EUR","WB_LMI","ARM","7.06","7.06319","","",""
"WHS7_104","","PUBLISHED","2009","EUR","WB_LMI","ARM","58.60","58.60095","","",""
"WHS7_104","NHA_ATG","PUBLISHED","1998","AMR","WB_HI","ATG","263.53","263.53065","","",""
"WHS7_104","NHA_AUS","PUBLISHED","2001","WPR","WB_HI","AUS","1103.73","1103.72945","","",""
"WHS7_104","NHA_AUS","PUBLISHED","2003","WPR","WB_HI","AUS","1569.33","1569.32703","","",""
"WHS7_104","NHA_AUS","PUBLISHED","2012","WPR","WB_HI","AUS","4395.48","4395.47917","","",""
"WHS7_104","","PUBLISHED","2001","EUR","WB_HI","AUT","1793.28","1793.28227","","",""
"WHS7_104","","PUBLISHED","2006","EUR","WB_HI","AUT","3046.37","3046.37204","","",""
"WHS7_104","NHA_AZE","PUBLISHED","1995","EUR","WB_UMI","AZE","4.33","4.32989","","",""
"WHS7_104","NHA_AZE","PUBLISHED","2004","EUR","WB_UMI","AZE","10.55","10.54762","","",""
