"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"WHS9_87","PUBLISHED","2001","AFR","","DZA","MLE","96.2","96.16000","","",""
"WHS9_87","PUBLISHED","2002","AFR","","DZA","FMLE","94.5","94.46000","","",""
"WHS9_87","PUBLISHED","2002","AFR","","DZA","MLE","96.8","96.79000","","",""
"WHS9_87","PUBLISHED","2003","AFR","","DZA","FMLE","95.0","94.95000","","","Estimated by UNESCO Institute for Statistics"
"WHS9_87","PUBLISHED","2003","AFR","","DZA","MLE","97.0","96.98000","","","Estimated by UNESCO Institute for Statistics"
"WHS9_87","PUBLISHED","2010","AFR","","DZA","FMLE","96.4","96.38000","","",""
"WHS9_87","PUBLISHED","2010","AFR","","DZA","MLE","98.2","98.15000","","",""
"WHS9_87","PUBLISHED","2011","AFR","","DZA","FMLE","97.0","96.97000","","",""
"WHS9_87","PUBLISHED","2011","AFR","","DZA","MLE","98.4","98.37000","","",""
"WHS9_87","PUBLISHED","2008","EUR","","AND","MLE","83.7","83.71000","","",""
"WHS9_87","PUBLISHED","2009","EUR","","AND","FMLE","81.5","81.52000","","",""
"WHS9_87","PUBLISHED","2009","EUR","","AND","MLE","81.9","81.95000","","",""
"WHS9_87","PUBLISHED","2010","EUR","","AND","FMLE","79.4","79.43000","","",""
"WHS9_87","PUBLISHED","2009","AMR","","ATG","FMLE","88.5","88.54000","","",""
"WHS9_87","PUBLISHED","2009","AMR","","ATG","MLE","92.5","92.49000","","",""
"WHS9_87","PUBLISHED","2010","AMR","","ATG","FMLE","84.5","84.46000","","",""
"WHS9_87","PUBLISHED","2010","AMR","","ATG","MLE","91.1","91.14000","","",""
"WHS9_87","PUBLISHED","2005","EUR","","ARM","FMLE","89.7","89.72000","","",""
"WHS9_87","PUBLISHED","2005","EUR","","ARM","MLE","86.8","86.84000","","",""
"WHS9_87","PUBLISHED","2006","EUR","","ARM","FMLE","93.1","93.15000","","",""
"WHS9_87","PUBLISHED","2006","EUR","","ARM","MLE","90.4","90.42000","","",""
"WHS9_87","PUBLISHED","2003","WPR","","AUS","MLE","94.6","94.56000","","","Estimated by UNESCO Institute for Statistics"
"WHS9_87","PUBLISHED","2004","WPR","","AUS","FMLE","95.4","95.44000","","","Estimated by UNESCO Institute for Statistics"
"WHS9_87","PUBLISHED","2004","WPR","","AUS","MLE","94.7","94.73000","","","Estimated by UNESCO Institute for Statistics"
"WHS9_87","PUBLISHED","2005","WPR","","AUS","FMLE","95.6","95.59000","","",""
"WHS9_87","PUBLISHED","2000","EUR","","AZE","FMLE","88.0","88.01000","","","Estimated by UNESCO Institute for Statistics"
"WHS9_87","PUBLISHED","2000","EUR","","AZE","MLE","88.5","88.46000","","","Estimated by UNESCO Institute for Statistics"
