"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","Display Value","Numeric","Low","High","Comments"
"WHS9_CDR","PUBLISHED","2013","EMR","WB_LI","AFG","7.7","7.70000","","",""
"WHS9_CDR","PUBLISHED","2013","AFR","WB_UMI","AGO","13.9","13.90000","","",""
"WHS9_CDR","PUBLISHED","2013","EUR","WB_UMI","ALB","9.4","9.40000","","",""
"WHS9_CDR","PUBLISHED","2013","EUR","WB_HI","AND","8.4","8.40000","","",""
"WHS9_CDR","PUBLISHED","2013","EMR","WB_HI","ARE","1.1","1.10000","","",""
"WHS9_CDR","PUBLISHED","2013","AMR","WB_UMI","ARG","7.6","7.60000","","",""
"WHS9_CDR","PUBLISHED","2013","EUR","WB_LMI","ARM","12.6","12.60000","","",""
"WHS9_CDR","PUBLISHED","2013","AMR","WB_HI","ATG","6.8","6.80000","","",""
"WHS9_CDR","PUBLISHED","2013","WPR","WB_HI","AUS","6.4","6.40000","","",""
"WHS9_CDR","PUBLISHED","2013","EUR","WB_HI","AUT","9","9.00000","","",""
"WHS9_CDR","PUBLISHED","2013","EUR","WB_UMI","AZE","6.3","6.30000","","",""
"WHS9_CDR","PUBLISHED","2013","AFR","WB_LI","BDI","11.1","11.10000","","",""
"WHS9_CDR","PUBLISHED","2013","EUR","WB_HI","BEL","9.9","9.90000","","",""
"WHS9_CDR","PUBLISHED","2013","AFR","WB_LI","BEN","9.6","9.60000","","",""
"WHS9_CDR","PUBLISHED","2013","AFR","WB_LI","BFA","9.5","9.50000","","",""
"WHS9_CDR","PUBLISHED","2013","SEAR","WB_LI","BGD","5.7","5.70000","","",""
"WHS9_CDR","PUBLISHED","2013","EUR","WB_UMI","BGR","14.2","14.20000","","",""
"WHS9_CDR","PUBLISHED","2013","EMR","WB_HI","BHR","2.2","2.20000","","",""
"WHS9_CDR","PUBLISHED","2013","AMR","WB_HI","BHS","6.1","6.10000","","",""
"WHS9_CDR","PUBLISHED","2013","EUR","WB_UMI","BIH","9.4","9.40000","","",""
"WHS9_CDR","PUBLISHED","2013","EUR","WB_UMI","BLR","13.5","13.50000","","",""
"WHS9_CDR","PUBLISHED","2013","AMR","WB_UMI","BLZ","4","4.00000","","",""
"WHS9_CDR","PUBLISHED","2013","AMR","WB_LMI","BOL","7","7.00000","","",""
"WHS9_CDR","PUBLISHED","2013","AMR","WB_UMI","BRA","6.1","6.10000","","",""
