"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","Display Value","Numeric","Low","High","Comments"
"WHS_PBR","PUBLISHED","2010","EMR","","AFG","12.00","12.00000","","",""
"WHS_PBR","PUBLISHED","2010","EUR","","ALB","9.00","9.00000","","",""
"WHS_PBR","PUBLISHED","2010","AFR","","DZA","7.00","7.00000","","",""
"WHS_PBR","PUBLISHED","2010","AFR","","AGO","13.00","13.00000","","",""
"WHS_PBR","PUBLISHED","2010","AMR","","ATG","6.00","6.00000","","",""
"WHS_PBR","PUBLISHED","2010","AMR","","ARG","8.00","8.00000","","",""
"WHS_PBR","PUBLISHED","2010","EUR","","ARM","11.00","11.00000","","",""
"WHS_PBR","PUBLISHED","2010","WPR","","AUS","8.00","8.00000","","",""
"WHS_PBR","PUBLISHED","2010","EUR","","AUT","11.00","11.00000","","",""
"WHS_PBR","PUBLISHED","2010","EUR","","AZE","9.00","9.00000","","",""
"WHS_PBR","PUBLISHED","2010","AMR","","BHS","10.00","10.00000","","",""
"WHS_PBR","PUBLISHED","2010","EMR","","BHR","14.00","14.00000","","",""
"WHS_PBR","PUBLISHED","2010","SEAR","","BGD","14.00","14.00000","","",""
"WHS_PBR","PUBLISHED","2010","AMR","","BRB","9.00","9.00000","","",""
"WHS_PBR","PUBLISHED","2010","EUR","","BLR","4.00","4.00000","","",""
"WHS_PBR","PUBLISHED","2010","EUR","","BEL","8.00","8.00000","","",""
"WHS_PBR","PUBLISHED","2010","AMR","","BLZ","10.00","10.00000","","",""
"WHS_PBR","PUBLISHED","2010","AFR","","BEN","11.00","11.00000","","",""
"WHS_PBR","PUBLISHED","2010","SEAR","","BTN","10.00","10.00000","","",""
"WHS_PBR","PUBLISHED","2010","AMR","","BOL","9.00","9.00000","","",""
"WHS_PBR","PUBLISHED","2010","EUR","","BIH","8.00","8.00000","","",""
"WHS_PBR","PUBLISHED","2010","AFR","","BWA","15.00","15.00000","","",""
"WHS_PBR","PUBLISHED","2010","AMR","","BRA","9.00","9.00000","","",""
"WHS_PBR","PUBLISHED","2010","WPR","","BRN","12.00","12.00000","","",""
"WHS_PBR","PUBLISHED","2010","EUR","","BGR","8.00","8.00000","","",""
"WHS_PBR","PUBLISHED","2010","AFR","","BFA","11.00","11.00000","","",""
"WHS_PBR","PUBLISHED","2010","AFR","","BDI","11.00","11.00000","","",""
"WHS_PBR","PUBLISHED","2010","WPR","","KHM","11.00","11.00000","","",""
"WHS_PBR","PUBLISHED","2010","AFR","","CMR","13.00","13.00000","","",""
"WHS_PBR","PUBLISHED","2010","AMR","","CAN","8.00","8.00000","","",""
"WHS_PBR","PUBLISHED","2010","AFR","","CPV","11.00","11.00000","","",""
"WHS_PBR","PUBLISHED","2010","AFR","","CAF","13.00","13.00000","","",""
"WHS_PBR","PUBLISHED","2010","AFR","","TCD","13.00","13.00000","","",""
"WHS_PBR","PUBLISHED","2010","AMR","","CHL","7.00","7.00000","","",""
"WHS_PBR","PUBLISHED","2010","WPR","","CHN","7.00","7.00000","","",""
"WHS_PBR","PUBLISHED","2010","AMR","","COL","9.00","9.00000","","",""
"WHS_PBR","PUBLISHED","2010","AFR","","COM","17.00","17.00000","","",""
"WHS_PBR","PUBLISHED","2010","AFR","","COG","17.00","17.00000","","",""
"WHS_PBR","PUBLISHED","2010","AMR","","CRI","14.00","14.00000","","",""
"WHS_PBR","PUBLISHED","2010","AFR","","CIV","14.00","14.00000","","",""
"WHS_PBR","PUBLISHED","2010","EUR","","HRV","6.00","6.00000","","",""
"WHS_PBR","PUBLISHED","2010","AMR","","CUB","6.00","6.00000","","",""
"WHS_PBR","PUBLISHED","2010","EUR","","CYP","15.00","15.00000","","",""
"WHS_PBR","PUBLISHED","2010","EUR","","CZE","7.00","7.00000","","",""
"WHS_PBR","PUBLISHED","2010","SEAR","","PRK","11.00","11.00000","","",""
"WHS_PBR","PUBLISHED","2010","AFR","","COD","12.00","12.00000","","",""
"WHS_PBR","PUBLISHED","2010","EUR","","DNK","7.00","7.00000","","",""
"WHS_PBR","PUBLISHED","2010","EMR","","DJI","12.00","12.00000","","",""
"WHS_PBR","PUBLISHED","2010","AMR","","DMA","12.00","12.00000","","",""
"WHS_PBR","PUBLISHED","2010","AMR","","DOM","11.00","11.00000","","",""
"WHS_PBR","PUBLISHED","2010","AMR","","ECU","5.00","5.00000","","",""
"WHS_PBR","PUBLISHED","2010","EMR","","EGY","7.00","7.00000","","",""
"WHS_PBR","PUBLISHED","2010","AMR","","SLV","13.00","13.00000","","",""
"WHS_PBR","PUBLISHED","2010","AFR","","GNQ","17.00","17.00000","","",""
"WHS_PBR","PUBLISHED","2010","AFR","","ERI","12.00","12.00000","","",""
"WHS_PBR","PUBLISHED","2010","EUR","","EST","6.00","6.00000","","",""
"WHS_PBR","PUBLISHED","2010","AFR","","ETH","10.00","10.00000","","",""
"WHS_PBR","PUBLISHED","2010","WPR","","FJI","10.00","10.00000","","",""
"WHS_PBR","PUBLISHED","2010","EUR","","FIN","6.00","6.00000","","",""
"WHS_PBR","PUBLISHED","2010","EUR","","FRA","7.00","7.00000","","",""
"WHS_PBR","PUBLISHED","2010","AFR","","GAB","16.00","16.00000","","",""
